 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_GR9_P3_guides.tif:2021,1.642E-5,115.302,85.124,151.198,-179.653,0.104
2,BETALL_GR9_P3_guides.tif:2020,1.706E-5,126.630,99.667,164.333,180.000,0.108
3,BETALL_GR9_P3_guides.tif:2019,3.470E-5,130.665,101.333,163.667,180.000,0.220
4,BETALL_GR9_P3_guides.tif:2018,2.026E-5,127.453,105.667,153.333,180.000,0.129
5,BETALL_GR9_P3_guides.tif:2017,1.059E-5,116.935,85.545,144.207,179.597,0.067
6,BETALL_GR9_P3_guides.tif:2022,1.709E-5,123.353,75.000,163.667,180.000,0.108
7,BETALL_GR9_P3_guides.tif:2022,1.168E-5,106.549,85.000,144.258,56.986,0.074
8,BETALL_GR9_P3_guides.tif:2021,8.159E-6,123.813,89.309,161.476,61.640,0.052
9,BETALL_GR9_P3_guides.tif:2020,2.921E-5,118.607,88.140,164.992,63.174,0.185
10,BETALL_GR9_P3_guides.tif:2018,2.438E-5,115.325,83.858,145.978,57.475,0.155
11,BETALL_GR9_P3_guides.tif:2017,1.265E-5,120.843,85.000,150.949,57.995,0.080
12,BETALL_GR9_P3_guides.tif:2022,1.887E-5,129.827,100.000,156.958,-56.979,0.120
13,BETALL_GR9_P3_guides.tif:2021,1.394E-5,130.256,108.876,164.086,-58.125,0.088
14,BETALL_GR9_P3_guides.tif:2019,4.385E-5,131.702,94.603,166.231,-57.200,0.278
15,BETALL_GR9_P3_guides.tif:2018,2.468E-5,129.116,108.908,153.239,-57.317,0.157
16,BETALL_GR9_P3_guides.tif:2017,1.047E-5,121.395,85.000,155.671,-58.686,0.066
17,BETALL_GR9_P3_guides.tif:2019,3.160E-5,121.396,85.495,169.196,57.708,0.200
18,BETALL_GR9_P3_guides.tif:false,2.243E-4,122.813,93.000,170.000,0.000,0.000
19,BETALL_GR9_P3_guides.tif:false,2.243E-4,119.878,88.000,171.000,0.000,0.000
20,BETALL_GR9_P3_guides.tif:false,2.243E-4,127.318,99.000,164.000,0.000,0.000
21,BETALL_GR9_P3_guides.tif:2020,2.549E-5,127.783,105.499,161.142,-57.238,0.162
