 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5B_P3_guides.tif:False ring,0.001,142.412,116.000,192.000,0.000,0.000
2,BETPOP_GR5B_P3_guides.tif:False ring,9.379E-4,138.559,96.000,189.000,0.000,0.000
3,BETPOP_GR5B_P3_guides.tif:2022,3.509E-5,141.502,89.872,185.707,-144.849,0.223
4,BETPOP_GR5B_P3_guides.tif:2021,2.909E-5,138.529,98.291,168.967,-151.401,0.185
5,BETPOP_GR5B_P3_guides.tif:2020,4.132E-5,130.828,85.058,170.982,179.794,0.262
6,BETPOP_GR5B_P3_guides.tif:2019,7.348E-5,135.854,106.274,168.898,-179.923,0.466
7,BETPOP_GR5B_P3_guides.tif:2018,3.083E-5,110.232,68.333,152.000,180.000,0.196
8,BETPOP_GR5B_P3_guides.tif:2022,1.443E-5,127.845,92.264,157.334,55.380,0.091
9,BETPOP_GR5B_P3_guides.tif:2021,2.309E-5,129.968,85.686,172.809,53.746,0.146
10,BETPOP_GR5B_P3_guides.tif:2020,4.737E-5,134.510,90.734,173.518,55.436,0.301
11,BETPOP_GR5B_P3_guides.tif:2019,7.849E-5,121.525,70.176,172.815,56.265,0.498
12,BETPOP_GR5B_P3_guides.tif:2018,3.222E-5,89.221,63.195,138.637,57.265,0.204
13,BETPOP_GR5B_P3_guides.tif:2022,4.633E-5,96.291,0.000,160.665,-58.200,0.294
14,BETPOP_GR5B_P3_guides.tif:2021,1.862E-5,126.802,102.353,146.894,-57.582,0.118
15,BETPOP_GR5B_P3_guides.tif:2020,2.716E-5,79.313,0.000,169.489,-57.312,0.172
16,BETPOP_GR5B_P3_guides.tif:2019,6.041E-5,114.116,74.708,169.143,-57.426,0.383
17,BETPOP_GR5B_P3_guides.tif:2018,3.093E-5,102.562,69.856,169.539,-57.190,0.196
