 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5_P6_guides.tif:2022,1.694E-5,135.463,85.978,175.443,-175.292,0.107
2,BETPOP_GR5_P6_guides.tif:2021,1.347E-5,124.958,85.000,168.026,-179.577,0.085
3,BETPOP_GR5_P6_guides.tif:2020,1.917E-5,144.816,118.333,177.333,180.000,0.122
4,BETPOP_GR5_P6_guides.tif:2019,3.430E-5,143.700,114.010,181.626,-179.917,0.218
5,BETPOP_GR5_P6_guides.tif:2018,2.244E-5,133.010,93.735,207.484,179.873,0.142
6,BETPOP_GR5_P6_guides.tif:2017,7.762E-6,99.235,73.667,129.667,180.000,0.049
7,BETPOP_GR5_P6_guides.tif:2022,2.101E-5,128.969,87.242,171.174,60.860,0.133
8,BETPOP_GR5_P6_guides.tif:2021,2.063E-5,126.865,103.556,167.541,57.228,0.131
9,BETPOP_GR5_P6_guides.tif:2020,2.460E-5,113.435,85.000,152.736,57.995,0.156
10,BETPOP_GR5_P6_guides.tif:2019,4.459E-5,129.691,97.000,168.072,57.265,0.283
11,BETPOP_GR5_P6_guides.tif:2018,2.668E-5,116.608,89.403,166.781,57.418,0.169
12,BETPOP_GR5_P6_guides.tif:2017,7.589E-6,99.685,72.062,134.607,56.622,0.048
13,BETPOP_GR5_P6_guides.tif:2022,2.730E-5,133.723,101.976,182.616,-57.393,0.173
14,BETPOP_GR5_P6_guides.tif:2021,2.153E-5,139.198,85.000,176.448,-57.630,0.136
15,BETPOP_GR5_P6_guides.tif:2020,3.427E-5,132.717,86.061,169.172,-55.620,0.218
16,BETPOP_GR5_P6_guides.tif:2019,3.524E-5,128.027,94.066,168.981,-57.250,0.224
17,BETPOP_GR5_P6_guides.tif:2018,2.006E-5,118.611,94.937,153.904,-57.431,0.127
18,BETPOP_GR5_P6_guides.tif:2017,6.994E-6,88.515,50.807,121.667,-56.310,0.044
