"date","Avg Air Temp (˚F)","Max Air Temp (˚F)","Min Air Temp (˚F)","Total Precipitation","Leaf Wethess (hrs)","Relative Humidity (hrs >= 90)","Solar Radiation (langleys)","Avg Wind Speed (mph)","Avg Soil Temp (˚F)","Avg Soil Moisture (m3/m3)"
"12/31/2023","32.4","32.5","32.2","0","0","0","0","2.4","33.9","0.3"
"01/01/2024","31.1","38.5","23.7","0","5","0","115","2.9","29.7","0.3"
"01/02/2024","29.8","40.6","18.9","0","11","4","162","4.2","20","0.3"
"01/03/2024","33.1","41.9","24.4","0","7","0","134","4","31.8","0.3"
"01/04/2024","32.6","43.9","21.4","0","3","0","106","9.6","34.1","0.3"
"01/05/2024","26.4","32.9","19.8","0","0","0","170","9.3","22.6","0.3"
"01/06/2024","31.7","36.3","27.1","0.25","5","5","68","6","35.1","0.3"
"01/07/2024","28.6","34","23.2","0.56","24","24","29","11.7","35.3","0.4"
"01/08/2024","28.8","35.4","22.1","0.05","17","15","164","4.9","33.8","0.3"
"01/09/2024","34.0","48.9","19.2","0.98","24","16","94","8","35.7","0.4"
"01/10/2024","48.3","54.9","41.7","1.1","10","7","94","14.2","47.2","0.4"
"01/11/2024","38.4","43.9","32.9","0","2","0","113","9.4","38.4","0.4"
"01/12/2024","40.0","48.2","31.8","0","15","0","181","7","35.8","0.3"
"01/13/2024","48.3","60.3","36.3","1.15","14","11","79","15.1","45.5","0.4"
"01/14/2024","31.5","39.4","23.7","0","4","0","122","14.9","29.5","0.3"
"01/15/2024","26.2","32.2","20.1","0","1","0","177","5.8","23.7","0.3"
"01/16/2024","25.9","32.5","19.2","0.2","24","18","19","7.1","31.4","0.3"
"01/17/2024","20.6","25.9","15.4","0","15","0","192","8.8","29.2","0.3"
"01/18/2024","22.0","28.4","15.6","0","15","0","126","7.9","31.8","0.3"
"01/19/2024","22.3","29.1","15.4","0","22","3","84","7.2","26.2","0.3"
"01/20/2024","16.4","20.1","12.7","0","17","0","147","10.9","25.8","0.3"
"01/21/2024","20.2","27.3","13.1","0","12","0","199","11.1","26.1","0.3"
"01/22/2024","26.7","37.8","15.6","0.01","19","0","191","8.8","31","0.3"
"01/23/2024","35.5","39.6","31.3","0","24","5","67","5.2","34.8","0.3"
"01/24/2024","37.2","43.3","31.1","0.42","24","24","32","3","35.2","0.3"
