"date","Avg Air Temp (˚F)","Max Air Temp (˚F)","Min Air Temp (˚F)","Total Precipitation","Leaf Wethess (hrs)","Relative Humidity (hrs >= 90)","Solar Radiation (langleys)","Avg Wind Speed (mph)","Avg Soil Temp (˚F)","Avg Soil Moisture (m3/m3)"
"12/31/2019","36.0","36.3","35.8","0","3","2","0","4.2","N/A","N/A"
"01/01/2020","35.9","39.2","32.5","0","7","0","157","6.5","N/A","N/A"
"01/02/2020","38.3","47.1","29.5","0","2","0","143","4.4","N/A","N/A"
"01/03/2020","44.5","48.4","40.6","0","7","0","49","2.3","N/A","N/A"
"01/04/2020","39.6","44.4","34.9","0.23","24","21","22","2.4","N/A","N/A"
"01/05/2020","31.3","37.4","25.2","0.11","7","4","131","6.5","N/A","N/A"
"01/06/2020","28.9","36.3","21.6","0","20","0","101","2.2","N/A","N/A"
"01/07/2020","34.0","41","27.1","0","9","2","137","2","N/A","N/A"
"01/08/2020","32.3","40.8","23.7","0","6","2","128","7","N/A","N/A"
"01/09/2020","24.4","29.7","19.2","0","0","0","200","4.1","N/A","N/A"
"01/10/2020","38.0","51.3","24.8","0","20","0","82","6.1","N/A","N/A"
"01/11/2020","57.6","67.6","47.7","0","24","2","151","8.4","N/A","N/A"
"01/12/2020","53.6","70.9","36.3","0.07","9","4","156","8.7","N/A","N/A"
"01/13/2020","36.5","39.6","33.3","0","20","16","31","3.1","N/A","N/A"
"01/14/2020","36.8","39.4","34.3","0.02","24","13","76","1.8","N/A","N/A"
"01/15/2020","40.4","48.7","32","0","16","6","160","2.8","N/A","N/A"
"01/16/2020","32.5","42.6","22.3","0.14","10","7","101","7.7","N/A","N/A"
"01/17/2020","16.6","22.1","11.1","0","0","0","218","7.9","N/A","N/A"
"01/18/2020","17.9","25","10.8","0","8","7","81","2.1","N/A","N/A"
"01/19/2020","30.3","41.9","18.7","0.34","11","7","167","5.8","N/A","N/A"
"01/20/2020","21.9","28.4","15.3","0","0","0","204","5.1","N/A","N/A"
"01/21/2020","18.6","24.6","12.6","0","8","0","196","2.1","N/A","N/A"
"01/22/2020","24.9","37.9","11.8","0","13","0","217","1.9","N/A","N/A"
"01/23/2020","35.0","48.2","21.9","0","0","0","186","2.8","N/A","N/A"
"01/24/2020","37.1","44.8","29.5","0","21","1","201","3.3","N/A","N/A"
"01/25/2020","45.1","51.3","39","0.53","23","16","41","6.5","N/A","N/A"
"01/26/2020","42.0","48.4","35.6","0","8","5","207","5.6","N/A","N/A"
"01/27/2020","40.0","44.8","35.2","0","1","0","145","4.8","N/A","N/A"
"01/28/2020","34.9","37.9","31.8","0","0","0","80","4.7","N/A","N/A"
"01/29/2020","31.4","39.6","23.2","0","0","0","244","5","N/A","N/A"
"01/30/2020","26.6","35.2","18","0","2","0","249","2.1","N/A","N/A"
"01/31/2020","33.4","44.4","22.3","0","13","2","218","2.2","N/A","N/A"
"02/01/2020","34.2","39.2","29.1","0.01","24","19","60","0.5","N/A","N/A"
"02/02/2020","33.6","39.9","27.3","0","11","5","116","1.7","N/A","N/A"
"02/03/2020","35.7","44.8","26.6","0","16","2","186","2.6","N/A","N/A"
"02/04/2020","38.9","47.1","30.6","0.02","21","6","88","0.6","N/A","N/A"
"02/05/2020","35.0","39.4","30.6","0.05","8","4","111","2.4","N/A","N/A"
"02/06/2020","34.5","38.3","30.6","0.53","24","22","35","4.8","N/A","N/A"
"02/07/2020","34.3","44.1","24.5","0.39","14","13","43","6.2","N/A","N/A"
"02/08/2020","26.0","33.6","18.3","0","1","0","248","6.5","N/A","N/A"
"02/09/2020","26.4","37.4","15.4","0","13","0","191","2.4","N/A","N/A"
"02/10/2020","41.1","43.9","38.3","0.19","24","18","56","4.8","N/A","N/A"
"02/11/2020","39.1","41.4","36.9","0.2","24","23","23","1.8","N/A","N/A"
"02/12/2020","38.1","43.5","32.7","0.02","6","1","229","4.6","N/A","N/A"
"02/13/2020","34.7","37","32.4","0.66","24","24","34","0.5","N/A","N/A"
"02/14/2020","20.9","33.3","8.6","0","5","1","306","6.4","N/A","N/A"
"02/15/2020","18.1","29.3","6.8","0","0","0","305","4.2","N/A","N/A"
"02/16/2020","35.1","41.9","28.4","0","4","0","123","3.5","N/A","N/A"
"02/17/2020","36.7","45","28.4","0","6","0","308","3.5","N/A","N/A"
"02/18/2020","33.1","39","27.3","0.49","15","11","59","2.5","N/A","N/A"
"02/19/2020","33.6","42.1","25.2","0","5","1","301","6.2","N/A","N/A"
"02/20/2020","24.6","32.4","16.9","0","0","0","251","4.6","N/A","N/A"
"02/21/2020","22.9","32.2","13.6","0","0","0","335","3.9","N/A","N/A"
"02/22/2020","34.7","45.5","23.9","0","0","0","337","4.3","N/A","N/A"
"02/23/2020","41.2","54.5","27.9","0","1","0","333","2.9","N/A","N/A"
"02/24/2020","47.3","62.4","32.2","0","5","0","332","4.3","N/A","N/A"
"02/25/2020","47.8","53.2","42.3","0.38","18","10","157","2.4","N/A","N/A"
"02/26/2020","43.3","45.9","40.8","0.07","19","18","156","4.3","N/A","N/A"
"02/27/2020","39.5","49.8","29.1","0.8","10","8","222","10","N/A","N/A"
"02/28/2020","30.6","37.6","23.7","0","0","0","335","6","N/A","N/A"
"02/29/2020","28.2","36.7","19.6","0","0","0","258","5","N/A","N/A"
