"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-01","4.2",,"0.0","0.0","-4.4","-1.6","-7.1","  270","  270","9.8","13.0",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-02","7.8",,"9.7","269.0","-6.4","-3.2","-16.6","   50","   60","14.3","17.0",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-03","7.6",,"4.8","114.0","-14.2","-9.9","-16.6","  350","  350","11.6","16.1",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-04","5.5",,"0.0","0.0","-12.0","-2.7","-16.6","  230","  240","10.7","13.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-05","3.6",,"1.0","0.0","-1.7","3.3","-4.3","  240","  230","10.3","13.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-06","6.2",,"8.1","0.0","6.8","13.3","-1.6","  290","  290","11.2","14.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-07","8.8",,"0.0","0.0","-6.3","-1.6","-12.7","  280","  280","13.4","18.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-08","5.7",,"0.0","0.0","-10.6","-5.5","-13.8","  250","  240","10.3","14.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-09","3.8",,"0.0","0.0","-5.2","-1.0","-7.1","  300","  270","7.6","10.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-10","2.2",,"0.5","5.0","-3.8","2.8","-7.7","  220","  220","5.4","6.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-11","5.1",,"13.7","0.0","6.2","15.0","1.1","  200","  200","13.9","18.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-12","7.2",,"0.0","0.0","8.8","12.2","2.8","  280","  270","13.0","17.0",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-13","5.1",,"0.0","0.0","4.6","10.6","-0.5","  270","  270","9.4","11.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-14","3.5",,"20.1","0.0","8.3","10.0","6.7","  280","  270","7.6","9.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-15","2.9",,"0.0","0.0","6.1","8.9","1.7","  280","  270","6.7","8.1","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-16","1.4",,"0.0","0.0","2.8","3.9","0.6","   20","  330","3.6","4.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-17","3.5",,"0.0","0.0","4.0","7.8","0.6","  220","  250","7.6","10.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-18","3.1",,"20.1","51.0","1.8","3.3","0.0","  340","  350","5.4","7.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-19","6.6",,"0.8","5.0","0.4","1.7","-1.0","  250","  250","11.6","15.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-20","6.7",,"0.0","0.0","1.6","5.0","-3.2","  300","  300","11.2","14.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-21","5.2",,"2.8","99.0","-6.6","-3.2","-11.6","  350","  350","9.8","12.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-22","7.4",,"0.0","8.0","-11.3","-7.7","-13.8","  350","  350","10.7","13.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-23","5.7",,"0.0","0.0","-10.9","-5.5","-14.3","  290","  290","9.8","12.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-24","6.1",,"0.0","0.0","-10.7","-7.1","-13.8","  290","  290","9.8","11.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-25","7.7",,"0.0","3.0","-4.3","3.3","-9.3","  210","  210","16.5","21.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-26","7.0",,"0.0","0.0","-5.6","-3.2","-8.8","  280","  280","14.3","19.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-27","6.2",,"0.5","0.0","-0.5","8.3","-6.0","  200","  200","12.5","17.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-28","5.7",,"0.0","0.0","-7.4","-6.0","-10.5","  300","  310","11.2","14.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-29","4.4",,"0.3","0.0","-6.9","-2.7","-9.3","  240","  290","9.8","12.5",,,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-30","4.4",,"0.0","0.0","-5.4","-1.0","-8.8","  200","  210","7.6","9.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-01-31","4.1",,"0.0","0.0","-1.1","6.1","-5.5","  250","  300","8.1","9.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-01","3.7",,"0.0","0.0","3.3","5.6","0.0","  110","  190","7.6","8.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-02","3.0",,"0.5","0.0","4.4","12.8","-0.5","  290","  280","6.7","8.1",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-03","4.1",,"4.3","41.0","2.4","5.0","-2.7","  330","  330","6.7","8.1",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-04","2.7",,"0.0","0.0","-1.8","1.7","-4.9","  350","  330","5.4","6.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-05","4.8",,"28.2","272.0","-0.7","0.6","-4.3","   70","   90","9.8","14.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-06","3.5",,"0.0","0.0","-4.8","-2.1","-7.1","  320","  320","7.6","9.8","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-07","4.8",,"0.0","0.0","-4.3","-1.0","-7.1","  260","  270","8.1","10.3",,,,,,,,
