Date,Time,"Wetness (S-LWA 20759914:9895688-1), %","Solar Radiation (S-LIB 20759914:9903142-1), W/m^2","RH (S-THB 20759914:9909397-2), %","Dew Point (S-THB 20759914:9909397-3), *F","Pressure (S-BPB 20759914:10661037-1), inHg","Rain (S-RGF 20759914:20538794-1), in","Water Content (S-SMD 20759914:20538936-1), m^3/m^3","Battery (RX3000 BATTERY 20759914:20759914-B), V","Wind Speed (S-WCF 20759914:20941310-1), mph","Gust Speed (S-WCF 20759914:20941310-2), mph","Wind Direction (S-WCF 20759914:20941310-3), *","Temperature (S-THB 20759914:9909397-1), *F","Temperature (S-TMB 20759914:20160651-1), *F","Wind Speed (S-WCA 20759914:9907761-1), mph","Gust Speed (S-WCA 20759914:9907761-2), mph","Wind Direction (S-WCA 20759914:9907761-3), *","Temperature (S-THB 20759914:9909397-1), *F","Temperature (S-TMB 20759914:20160651-1), *F","Wetness (S-LWA 20759914:9895688-1), %","Solar Radiation (S-LIB 20759914:9903142-1), W/m^2","Wind Speed (S-WCA 20759914:9907761-1), mph","Gust Speed (S-WCA 20759914:9907761-2), mph","Wind Direction (S-WCA 20759914:9907761-3), *","Temperature (S-THB 20759914:9909397-1), *F","RH (S-THB 20759914:9909397-2), %","Dew Point (S-THB 20759914:9909397-3), *F","Pressure (S-BPB 20759914:10661037-1), inHg","Temperature (S-TMB 20759914:20160651-1), *F","Rain (S-RGF 20759914:20538794-1), in","Water Content (S-SMD 20759914:20538936-1), m^3/m^3","Battery (RX3000 BATTERY 20759914:20759914-B), V"
08/25/20,12:20:00,,,,,,,,,,,,,,,,,,,4.1,429,0.4,5.8,0,83.56,64.40,70.32,29.582,72.61,0.000,0.2494,4.316
08/25/20,12:25:00,,,,,,,,,,,,,,,,,,,4.1,614,1.2,10.8,0,83.15,65.90,70.61,29.585,72.65,0.000,0.2505,4.307
08/25/20,12:30:00,,,,,,,,,,,,,,,,,,,4.7,671,0.0,0.4,0,85.67,63.60,71.95,29.576,72.70,0.000,0.2509,4.302
08/25/20,12:35:00,,,,,,,,,,,,,,,,,,,3.5,526,0.0,0.4,0,85.76,62.10,71.32,29.573,72.70,0.000,0.2335,4.302
08/25/20,12:40:00,,,,,,,,,,,,,,,,,,,3.5,703,0.0,0.8,0,85.53,61.20,70.68,29.573,72.74,0.000,0.2174,4.301
08/25/20,12:45:00,,,,,,,,,,,,,,,,,,,3.5,679,0.0,0.8,0,86.80,58.10,70.34,29.573,72.78,0.000,0.2174,4.299
08/25/20,12:50:00,,,,,,,,,,,,,,,,,,,2.4,567,0.4,2.9,0,86.39,53.50,67.55,29.570,72.78,0.000,0.2148,4.314
08/25/20,12:55:00,,,,,,,,,,,,,,,,,,,2.4,656,1.2,7.5,0,85.40,54.50,67.17,29.567,72.83,0.000,0.2148,4.304
08/25/20,13:00:00,,,,,,,,,,,,,,,,,,,2.4,541,0.8,7.1,0,86.12,53.00,67.02,29.570,72.87,0.000,0.2139,4.301
08/25/20,13:05:00,,,,,,,,,,,,,,,,,,,1.8,409,1.2,11.6,0,84.54,54.20,66.21,29.570,72.91,0.000,0.2153,4.301
