"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 03/05/2026

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 42.3125 North,-71.1042 East" 
Variable List: 
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
vpd: vpd (Vapor Pressure Deficit)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
srad: srad (Downward Radiation)
********************************************************
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),vpd(kPa),PDSI(unitless),srad(W/m^2)
1970,1,-2.3,-12.4,36,99.9,0.13,0.95,81.6
1970,2,4.1,-6.9,123.6,99.9,0.24,1.5,110.2
1970,3,6.1,-3.7,95.6,99.9,0.27,1.43,156.7
1970,4,14.5,2.7,66.2,99.9,0.54,0.7,220.8
1970,5,20.9,8.9,59.7,58.6,0.75,-1.03,225.1
1970,6,25.1,12.9,87.8,38.4,0.83,-1.1,228.7
1970,7,28.9,17.3,42.7,26.1,1.08,-1.72,244.5
1970,8,28.3,16.5,66.6,20.1,1.01,-2.18,226.2
1970,9,23.8,12.2,121.4,42.2,0.69,-1.61,149.3
1970,10,17.9,6.7,82.2,57.3,0.45,-1.48,106.1
1970,11,11.1,2.6,93.5,99.9,0.27,-1.54,55.9
1970,12,1.5,-7,120.3,99.9,0.15,-0.78,53.9
1971,1,-0.5,-11.5,56.7,99.9,0.14,-1.28,75.7
1971,2,2.7,-7,88.7,99.9,0.17,-1.06,101.2
1971,3,6.8,-2.7,77.9,99.9,0.32,-1.37,158
1971,4,12.5,1.5,82.4,99.9,0.45,-1.42,172.4
1971,5,18.8,7.5,114.1,99.9,0.61,-0.72,190.2
1971,6,26.3,13.4,18,36.7,1.03,-1.24,279.9
1971,7,28.9,16.8,48.6,25.4,1.2,-1.9,252
1971,8,28.5,16.3,76.3,19.7,1.09,-2.34,241.6
1971,9,25,13.7,86.7,17.8,0.72,-2.23,155.7
1971,10,19.9,8.6,58.6,15.7,0.5,-2.52,114.3
1971,11,9.6,0,159.2,99.9,0.3,-2.17,76.7
1971,12,5.7,-3.8,66.6,99.9,0.24,-2.24,60.1
1972,1,4.4,-6.3,56.1,99.9,0.22,-2.63,64.1
1972,2,2.2,-7.7,117.7,99.9,0.21,-1.78,107.6
1972,3,6.4,-3.1,137.2,99.9,0.26,-1.03,124.1
1972,4,12,0.4,93.2,99.9,0.45,-0.93,189.1
1972,5,20,7.5,163,99.9,0.68,2.04,207.4
1972,6,22.8,12.8,189.3,99.9,0.57,3.61,180.8
1972,7,27.8,16.6,58.3,51.7,0.83,3.59,229.2
1972,8,26.9,15.3,55.6,30.8,0.93,2.74,220.9
1972,9,23.3,11.9,168.2,99.9,0.6,3.5,159.6
1972,10,15.7,3.9,116.3,99.9,0.46,3.69,117.4
1972,11,8.9,0.3,165.4,99.9,0.26,4.55,58.7
1972,12,4.5,-3.8,176.8,99.9,0.16,5.34,43.7
1973,1,3.7,-6,67.1,99.9,0.24,4.33,78.4
1973,2,3.1,-6.6,72.8,99.9,0.25,3.67,108.3
1973,3,10.2,0.6,74.8,99.9,0.34,2.72,122
1973,4,15,4.1,164.2,99.9,0.55,3.39,179.8
1973,5,18.6,7.8,97.5,96.5,0.54,3.38,190.7
1973,6,26.1,14.9,102.3,83.1,0.82,3.67,206.8
1973,7,28.6,17.4,115.4,65.8,0.91,4.19,229.4
1973,8,29.1,17.9,58.9,34,0.98,3.66,206.7
1973,9,23.9,11.5,38.8,24.2,0.77,2.49,172.5
1973,10,18.2,6.3,90.9,33,0.59,2.06,120
1973,11,10.9,1.3,79,57.2,0.39,1.22,79.8
1973,12,7.5,-2.2,191.4,99.9,0.24,1.6,51.1
1974,1,3.9,-6,93.4,99.9,0.17,1.39,67.4
1974,2,2.9,-7.4,65.6,99.9,0.24,0.94,109
1974,3,8.8,-1.7,115.8,99.9,0.41,0.65,145
1974,4,16.3,3.6,99.1,99.9,0.57,-1.13,192.8
1974,5,18.3,7.1,67.8,71.3,0.64,-1.15,206.3
1974,6,24.3,12.5,90.4,55.1,0.72,-0.79,224.9
1974,7,28.5,16.6,32.4,31.7,1.06,-1.32,239.9
1974,8,28.4,16,101.8,23.1,0.99,-1.23,217.5
1974,9,22.8,11.9,142.8,73.4,0.56,0.72,146
1974,10,15.9,3,66.7,67.4,0.53,-0.26,129.7
1974,11,11.5,1.3,65.7,86.2,0.34,-0.75,71.2
