 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_GR8_P16_guides.tif:2022,7.415E-6,181.075,137.351,219.955,179.423,0.047
2,ALNINC_GR8_P16_guides.tif:2021,2.867E-5,140.079,85.000,197.514,-179.950,0.182
3,ALNINC_GR8_P16_guides.tif:2020,3.646E-6,199.588,174.968,229.863,179.608,0.023
4,ALNINC_GR8_P16_guides.tif:2018,3.226E-5,138.665,85.000,201.108,179.912,0.205
5,ALNINC_GR8_P16_guides.tif:2017,3.536E-5,185.287,133.251,225.756,179.879,0.224
6,ALNINC_GR8_P16_guides.tif:2016,8.680E-6,113.694,83.750,165.163,-179.672,0.055
7,ALNINC_GR8_P16_guides.tif:2022,4.786E-6,197.073,144.561,223.254,46.685,0.030
8,ALNINC_GR8_P16_guides.tif:2021,1.932E-5,207.053,103.729,241.056,50.581,0.123
9,ALNINC_GR8_P16_guides.tif:2020,5.456E-6,200.926,115.769,233.524,60.158,0.034
10,ALNINC_GR8_P16_guides.tif:2018,2.661E-5,158.169,85.000,227.488,57.111,0.169
11,ALNINC_GR8_P16_guides.tif:2017,3.132E-5,177.679,140.972,225.450,57.494,0.199
12,ALNINC_GR8_P16_guides.tif:2016,9.771E-6,141.354,78.338,192.000,56.836,0.062
13,ALNINC_GR8_P16_guides.tif:2022,6.175E-6,199.350,157.000,228.620,-57.015,0.039
14,ALNINC_GR8_P16_guides.tif:2021,2.602E-5,200.986,165.962,237.335,-57.189,0.165
15,ALNINC_GR8_P16_guides.tif:2020,2.406E-6,199.481,183.446,215.056,-55.154,0.015
16,ALNINC_GR8_P16_guides.tif:2018,2.230E-5,169.353,85.000,228.710,-57.088,0.141
17,ALNINC_GR8_P16_guides.tif:2017,3.594E-5,141.739,86.524,201.763,-57.319,0.228
18,ALNINC_GR8_P16_guides.tif:2016,9.275E-6,121.259,86.692,185.383,-57.246,0.059
19,ALNINC_GR8_P16_guides.tif:2019,1.982E-5,181.955,85.000,231.256,-0.431,0.126
20,ALNINC_GR8_P16_guides.tif:2019,1.523E-5,179.685,85.755,223.019,-56.776,0.097
21,ALNINC_GR8_P16_guides.tif:2019,1.592E-5,196.771,165.000,231.154,56.706,0.101
