 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_HF2_P1_guides.tif:2022,6.423E-6,137.471,101.333,175.667,180.000,0.041
2,ALNINC_HF2_P1_guides.tif:2021,1.706E-5,145.448,110.000,171.911,-178.999,0.108
3,ALNINC_HF2_P1_guides.tif:2020,7.638E-6,143.035,123.980,169.026,0.373,0.048
4,ALNINC_HF2_P1_guides.tif:2019,1.835E-5,141.461,85.345,171.946,1.473,0.116
5,ALNINC_HF2_P1_guides.tif:2018,2.792E-5,131.640,85.024,178.599,-0.560,0.177
6,ALNINC_HF2_P1_guides.tif:2022,6.845E-6,123.727,83.000,149.033,57.465,0.043
7,ALNINC_HF2_P1_guides.tif:2021,2.582E-5,127.963,85.804,163.141,49.327,0.164
8,ALNINC_HF2_P1_guides.tif:2020,8.134E-6,133.043,88.527,176.251,-128.797,0.052
9,ALNINC_HF2_P1_guides.tif:2019,2.004E-5,128.508,86.611,178.380,-125.463,0.127
10,ALNINC_HF2_P1_guides.tif:2018,2.691E-5,130.713,85.000,157.752,-123.719,0.171
11,ALNINC_HF2_P1_guides.tif:2022,4.811E-6,134.597,108.877,151.899,-55.981,0.030
12,ALNINC_HF2_P1_guides.tif:2021,1.783E-5,138.474,86.536,162.234,-52.986,0.113
13,ALNINC_HF2_P1_guides.tif:2020,6.324E-6,141.729,85.000,175.588,120.809,0.040
14,ALNINC_HF2_P1_guides.tif:2019,1.600E-5,144.848,85.306,176.007,124.183,0.101
15,ALNINC_HF2_P1_guides.tif:2018,2.177E-5,138.923,111.841,165.667,122.802,0.138
16,ALNINC_HF2_P1_guides.tif:2017,1.394E-5,121.294,76.984,156.364,-57.670,0.088
17,ALNINC_HF2_P1_guides.tif:2017,1.364E-5,121.856,71.224,149.000,-179.061,0.086
18,ALNINC_HF2_P1_guides.tif:2017,1.481E-5,124.766,74.012,157.493,57.750,0.094
