 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_SH3_P16_guides.tif:2022,9.350E-6,143.269,74.000,167.333,179.390,0.059
2,ALNINC_SH3_P16_guides.tif:2021,3.182E-5,146.275,85.228,175.079,179.419,0.202
3,ALNINC_SH3_P16_guides.tif:2019,3.648E-5,130.195,99.934,160.237,179.883,0.231
4,ALNINC_SH3_P16_guides.tif:2018,4.050E-5,127.250,94.333,165.333,180.000,0.257
5,ALNINC_SH3_P16_guides.tif:2017,1.141E-5,108.315,73.745,143.562,-179.251,0.072
6,ALNINC_SH3_P16_guides.tif:2022,7.911E-6,129.959,87.245,153.900,57.308,0.050
7,ALNINC_SH3_P16_guides.tif:2021,3.231E-5,132.220,87.581,163.382,51.739,0.205
8,ALNINC_SH3_P16_guides.tif:2019,3.499E-5,124.881,96.703,152.863,56.716,0.222
9,ALNINC_SH3_P16_guides.tif:2018,3.353E-5,115.925,87.460,150.668,57.334,0.213
10,ALNINC_SH3_P16_guides.tif:2017,1.136E-5,108.121,71.922,136.209,57.875,0.072
11,ALNINC_SH3_P16_guides.tif:2022,6.101E-6,131.867,99.034,148.299,-56.505,0.039
12,ALNINC_SH3_P16_guides.tif:2021,2.954E-5,131.494,85.420,161.667,-57.765,0.187
13,ALNINC_SH3_P16_guides.tif:2019,2.909E-5,136.221,108.185,167.748,-57.124,0.185
14,ALNINC_SH3_P16_guides.tif:2018,4.258E-5,126.548,85.944,155.918,-57.421,0.270
15,ALNINC_SH3_P16_guides.tif:2017,1.089E-5,112.743,71.147,143.069,-57.398,0.069
16,ALNINC_SH3_P16_guides.tif:2020,1.619E-5,132.482,85.000,162.130,48.979,0.103
17,ALNINC_SH3_P16_guides.tif:2020,1.679E-5,133.819,97.990,157.109,-57.815,0.106
18,ALNINC_SH3_P16_guides.tif:2020,1.570E-5,113.718,85.000,157.785,0.181,0.100
