 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_WM5B_P16_guides.tif:Real,2.902E-4,119.489,74.000,152.000,0.000,0.000
2,ALNINC_WM5B_P16_guides.tif:Real,2.902E-4,118.636,87.000,159.000,0.000,0.000
3,ALNINC_WM5B_P16_guides.tif:Real,2.902E-4,121.821,84.000,163.000,0.000,0.000
4,ALNINC_WM5B_P16_guides.tif:Real,2.902E-4,125.431,86.000,163.000,0.000,0.000
5,ALNINC_WM5B_P16_guides.tif:2022,7.217E-6,124.336,85.000,150.959,176.842,0.046
6,ALNINC_WM5B_P16_guides.tif:2021,5.535E-5,117.185,85.239,150.196,-178.510,0.351
7,ALNINC_WM5B_P16_guides.tif:2020,1.773E-5,116.440,85.012,154.172,-176.709,0.112
8,ALNINC_WM5B_P16_guides.tif:2019,3.060E-5,119.279,85.180,160.810,-178.699,0.194
9,ALNINC_WM5B_P16_guides.tif:2018,1.416E-5,102.176,84.120,138.667,179.899,0.090
10,ALNINC_WM5B_P16_guides.tif:2022,1.317E-5,110.468,83.667,154.956,57.330,0.083
11,ALNINC_WM5B_P16_guides.tif:2021,5.654E-5,135.824,85.162,172.136,57.398,0.359
12,ALNINC_WM5B_P16_guides.tif:2020,2.081E-5,105.545,85.000,141.590,57.372,0.132
13,ALNINC_WM5B_P16_guides.tif:2019,3.266E-5,115.989,87.822,158.000,57.155,0.207
14,ALNINC_WM5B_P16_guides.tif:2018,1.738E-5,111.896,79.848,149.325,57.717,0.110
15,ALNINC_WM5B_P16_guides.tif:2022,8.482E-6,113.192,85.000,148.109,-57.103,0.054
16,ALNINC_WM5B_P16_guides.tif:2021,3.534E-5,114.833,85.000,159.062,-57.158,0.224
17,ALNINC_WM5B_P16_guides.tif:2020,1.952E-5,106.313,85.000,147.137,-57.199,0.124
18,ALNINC_WM5B_P16_guides.tif:2019,3.551E-5,106.363,85.107,143.213,-57.154,0.225
19,ALNINC_WM5B_P16_guides.tif:2018,1.746E-5,107.244,74.810,144.490,-57.373,0.111
