 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_GR13_P15_guides-1.tif:2022,2.604E-6,123.125,0,255.000,178.898,0.016
2,BETALL_GR13_P15_guides-1.tif:2021,1.272E-5,162.595,0,255.000,180.000,0.081
3,BETALL_GR13_P15_guides-1.tif:2020,3.050E-6,137.714,0,255.000,-179.530,0.019
4,BETALL_GR13_P15_guides-1.tif:2018,1.099E-5,162.348,0,255.000,180.000,0.070
5,BETALL_GR13_P15_guides-1.tif:2017,2.182E-5,153.967,0,255.000,179.479,0.138
6,BETALL_GR13_P15_guides-1.tif:2022,7.217E-6,152.469,0,216.988,57.407,0.046
7,BETALL_GR13_P15_guides-1.tif:2021,2.346E-5,157.733,0,171.131,57.352,0.149
8,BETALL_GR13_P15_guides-1.tif:2020,2.827E-6,143.371,0,206.055,66.602,0.018
9,BETALL_GR13_P15_guides-1.tif:2018,9.126E-6,151.200,0,203.930,57.002,0.058
10,BETALL_GR13_P15_guides-1.tif:2017,1.977E-5,151.141,0,191.232,58.308,0.125
11,BETALL_GR13_P15_guides-1.tif:2022,7.911E-6,160.328,0,230.277,-56.810,0.050
12,BETALL_GR13_P15_guides-1.tif:2021,1.964E-5,161.365,0,253.057,-57.657,0.125
13,BETALL_GR13_P15_guides-1.tif:2020,1.513E-6,142.251,0,238.000,-50.440,0.009
14,BETALL_GR13_P15_guides-1.tif:2018,6.423E-6,155.049,0,213.554,-56.864,0.041
15,BETALL_GR13_P15_guides-1.tif:2017,1.560E-5,155.489,0,189.393,-56.437,0.099
16,BETALL_GR13_P15_guides-1.tif:2016,1.676E-5,153.147,0,183.600,-57.158,0.106
17,BETALL_GR13_P15_guides-1.tif:2016,1.622E-5,151.933,0,205.866,57.186,0.103
18,BETALL_GR13_P15_guides-1.tif:2016,1.959E-5,165.616,0,255.000,0.000,0.124
19,BETALL_GR13_P15_guides-1.tif:2019,1.081E-5,152.881,0,255.000,0.395,0.069
20,BETALL_GR13_P15_guides-1.tif:2019,1.138E-5,152.192,0,193.168,56.657,0.072
21,BETALL_GR13_P15_guides-1.tif:2019,8.482E-6,163.077,0,202.707,-53.936,0.054
22,BETALL_GR13_P15_guides-1.tif:2019,8.482E-6,163.077,0,202.707,-53.936,0.054
23,BETALL_GR13_P15_guides-1.tif:2019,8.482E-6,163.077,0,202.707,-53.936,0.054
