 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_SH9_P9_guides.tif:2022,2.301E-5,156.279,91.958,201.575,168.423,0.146
2,BETALL_SH9_P9_guides.tif:2021,7.366E-6,159.454,86.836,205.716,165.118,0.047
3,BETALL_SH9_P9_guides.tif:2020,1.890E-5,154.129,90.616,211.578,171.998,0.120
4,BETALL_SH9_P9_guides.tif:2019,2.202E-5,164.741,87.393,217.375,174.174,0.140
5,BETALL_SH9_P9_guides.tif:2018,1.004E-5,171.798,85.390,201.739,172.312,0.064
6,BETALL_SH9_P9_guides.tif:2017,1.481E-5,170.830,85.000,221.477,-179.808,0.094
7,BETALL_SH9_P9_guides.tif:2022,1.600E-5,151.377,101.749,217.602,58.334,0.101
8,BETALL_SH9_P9_guides.tif:2021,3.745E-6,143.638,127.000,166.540,55.886,0.024
9,BETALL_SH9_P9_guides.tif:2020,1.133E-5,152.748,99.789,214.306,59.725,0.072
10,BETALL_SH9_P9_guides.tif:2019,1.116E-5,128.862,101.709,166.454,69.384,0.071
11,BETALL_SH9_P9_guides.tif:2018,4.266E-6,136.990,99.393,159.893,83.290,0.027
12,BETALL_SH9_P9_guides.tif:2022,3.596E-5,123.043,83.215,191.622,-57.253,0.228
13,BETALL_SH9_P9_guides.tif:2021,1.840E-5,157.814,85.000,229.993,-57.339,0.117
14,BETALL_SH9_P9_guides.tif:2020,5.389E-5,133.507,85.068,221.041,-57.181,0.342
15,BETALL_SH9_P9_guides.tif:2019,3.673E-5,123.678,88.775,194.541,-57.223,0.233
16,BETALL_SH9_P9_guides.tif:2018,1.344E-5,127.166,86.401,192.727,-56.985,0.085
17,BETALL_SH9_P9_guides.tif:2017,1.111E-5,117.837,85.470,170.781,-57.411,0.070
