 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_WM8A_P5_guides_1.tif:2016,3.737E-5,103.181,80.765,143.330,-179.962,0.237
2,BETALL_WM8A_P5_guides_1.tif:2016,3.958E-5,114.668,45.185,164.806,56.948,0.251
3,BETALL_WM8A_P5_guides_1.tif:2016,3.393E-5,98.270,40.406,159.595,-67.148,0.215
4,BETALL_WM8A_P5_guides_1.tif:2017,4.099E-5,128.970,93.864,176.541,179.861,0.260
5,BETALL_WM8A_P5_guides_1.tif:2017,3.524E-5,134.965,88.731,177.344,57.653,0.224
6,BETALL_WM8A_P5_guides_1.tif:2017,4.199E-5,119.278,95.939,168.746,-58.339,0.266
7,BETALL_WM8A_P5_guides_1.tif:2018,2.850E-5,139.460,110.667,189.220,-179.800,0.181
8,BETALL_WM8A_P5_guides_1.tif:2018,3.122E-5,146.090,113.463,185.409,57.068,0.198
9,BETALL_WM8A_P5_guides_1.tif:2018,3.804E-5,126.863,105.425,184.810,-61.228,0.241
10,BETALL_WM8A_P5_guides_1.tif:2019,2.991E-5,141.607,111.041,193.007,-179.762,0.190
11,BETALL_WM8A_P5_guides_1.tif:2019,3.571E-5,144.476,86.928,183.811,56.509,0.227
12,BETALL_WM8A_P5_guides_1.tif:2019,3.532E-5,135.849,110.442,180.190,-55.997,0.224
13,BETALL_WM8A_P5_guides_1.tif:2021,1.260E-5,141.038,85.969,168.954,174.222,0.080
14,BETALL_WM8A_P5_guides_1.tif:2021,1.208E-5,131.934,103.595,174.371,57.095,0.077
15,BETALL_WM8A_P5_guides_1.tif:2021,1.557E-5,103.982,65.211,158.182,-45.194,0.099
16,BETALL_WM8A_P5_guides_1.tif:2022,2.487E-5,139.718,78.000,179.687,176.281,0.158
17,BETALL_WM8A_P5_guides_1.tif:2022,1.446E-5,119.353,81.621,158.968,56.201,0.092
18,BETALL_WM8A_P5_guides_1.tif:2022,3.487E-5,130.874,86.362,181.483,-54.500,0.221
19,BETALL_WM8A_P5_guides_1.tif:2020,3.358E-5,133.344,85.171,186.582,177.967,0.213
20,BETALL_WM8A_P5_guides_1.tif:2020,3.058E-5,142.272,85.257,179.080,58.271,0.194
21,BETALL_WM8A_P5_guides_1.tif:2020,3.368E-5,131.545,60.713,192.087,-52.184,0.214
