 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_WM8D_P5_guides.tif:22,1.131E-5,149.339,85.000,220.874,0.378,0.072
2,BETALL_WM8D_P5_guides.tif:21,4.786E-6,166.644,133.944,219.677,0.298,0.030
3,BETALL_WM8D_P5_guides.tif:20,1.488E-5,167.539,116.233,222.898,0.096,0.094
4,BETALL_WM8D_P5_guides.tif:19,2.411E-5,174.085,120.251,217.084,0.472,0.153
5,BETALL_WM8D_P5_guides.tif:18,2.827E-6,185.760,146.029,227.381,177.466,0.018
6,BETALL_WM8D_P5_guides.tif:17,4.008E-5,187.979,144.429,236.333,179.965,0.254
7,BETALL_WM8D_P5_guides.tif:16,4.062E-5,127.300,85.050,192.616,179.930,0.258
8,BETALL_WM8D_P5_guides.tif:22,9.399E-6,142.178,86.255,215.612,-122.343,0.059
9,BETALL_WM8D_P5_guides.tif:21,6.770E-6,141.944,85.298,221.254,-123.280,0.043
10,BETALL_WM8D_P5_guides.tif:20,1.634E-5,157.417,85.000,232.780,-122.338,0.104
11,BETALL_WM8D_P5_guides.tif:19,3.038E-5,165.696,125.306,220.973,57.270,0.193
12,BETALL_WM8D_P5_guides.tif:18,3.869E-6,146.211,85.000,185.790,58.151,0.024
13,BETALL_WM8D_P5_guides.tif:17,4.938E-5,150.601,76.178,216.538,57.436,0.313
14,BETALL_WM8D_P5_guides.tif:16,3.594E-5,138.096,69.868,204.354,57.353,0.228
15,BETALL_WM8D_P5_guides.tif:22,1.287E-5,150.521,117.874,186.227,179.005,0.082
16,BETALL_WM8D_P5_guides.tif:21,1.203E-5,151.205,58.052,200.417,178.816,0.076
17,BETALL_WM8D_P5_guides.tif:20,1.193E-5,151.752,75.062,203.208,178.807,0.076
18,BETALL_WM8D_P5_guides.tif:19,2.691E-5,172.014,146.755,217.984,0.846,0.171
19,BETALL_WM8D_P5_guides.tif:18,4.910E-6,177.326,155.100,218.232,-176.225,0.031
20,BETALL_WM8D_P5_guides.tif:17,4.905E-5,178.272,113.565,233.314,-0.029,0.311
21,BETALL_WM8D_P5_guides.tif:16,3.951E-5,167.244,50.856,228.821,-18.913,0.251
22,BETALL_WM8D_P5_guides.tif:23,4.615E-5,161.638,85.394,224.123,-0.739,0.293
23,BETALL_WM8D_P5_guides.tif:23,3.943E-5,154.128,85.048,226.758,-122.930,0.250
24,BETALL_WM8D_P5_guides.tif:23,4.824E-5,156.503,90.364,205.628,179.175,0.306
