 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_WM_8B_P12_guides.tif:2022,5.258E-6,148.107,124.617,170.433,-58.339,0.033
2,BETALL_WM_8B_P12_guides.tif:2021,6.969E-6,143.288,123.818,176.914,-57.560,0.044
3,BETALL_WM_8B_P12_guides.tif:2020,1.456E-5,131.129,86.218,166.220,-58.264,0.092
4,BETALL_WM_8B_P12_guides.tif:2019,3.316E-5,143.110,111.079,177.366,-57.285,0.210
5,BETALL_WM_8B_P12_guides.tif:2018,4.032E-5,146.452,86.053,188.193,-56.799,0.256
6,BETALL_WM_8B_P12_guides.tif:2017,1.347E-5,139.975,85.000,173.770,-56.896,0.085
7,BETALL_WM_8B_P12_guides.tif:2022,7.638E-6,143.321,122.016,168.546,57.242,0.048
8,BETALL_WM_8B_P12_guides.tif:2021,4.935E-6,143.430,117.994,167.222,56.310,0.031
9,BETALL_WM_8B_P12_guides.tif:2020,1.282E-5,144.243,115.000,174.195,57.665,0.081
10,BETALL_WM_8B_P12_guides.tif:2019,2.356E-5,144.693,88.925,190.029,56.611,0.149
11,BETALL_WM_8B_P12_guides.tif:2018,3.586E-5,148.063,117.691,182.465,57.091,0.228
12,BETALL_WM_8B_P12_guides.tif:2017,1.185E-5,133.843,85.569,160.529,57.842,0.075
13,BETALL_WM_8B_P12_guides.tif:2022,7.291E-6,160.893,142.583,174.586,-135.000,0.046
14,BETALL_WM_8B_P12_guides.tif:2021,4.390E-6,145.240,130.345,164.339,-131.769,0.028
15,BETALL_WM_8B_P12_guides.tif:2020,1.548E-5,150.882,127.134,181.295,-141.254,0.098
16,BETALL_WM_8B_P12_guides.tif:2019,4.499E-5,145.257,119.019,185.944,-155.258,0.286
17,BETALL_WM_8B_P12_guides.tif:2018,5.250E-5,151.235,126.156,183.564,-155.251,0.333
18,BETALL_WM_8B_P12_guides.tif:2017,1.394E-5,146.201,85.000,173.643,-154.348,0.088
19,BETALL_WM_8B_P12_guides.tif:2023,3.918E-6,141.854,99.771,174.517,-66.705,0.025
20,BETALL_WM_8B_P12_guides.tif:2023,4.340E-6,147.246,94.000,165.345,49.185,0.027
21,BETALL_WM_8B_P12_guides.tif:2023,6.398E-6,154.705,130.117,172.887,-126.602,0.040
