 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_WM_9_P5_guides.tif:23,2.743E-5,117.675,85.000,161.244,20.665,0.174
2,BETALL_WM_9_P5_guides.tif:22,1.453E-5,117.175,89.536,160.773,-165.536,0.092
3,BETALL_WM_9_P5_guides.tif:21,1.014E-5,116.554,85.513,148.910,-163.785,0.064
4,BETALL_WM_9_P5_guides.tif:20,2.011E-5,121.095,86.683,168.852,-166.719,0.128
5,BETALL_WM_9_P5_guides.tif:19,2.408E-5,124.731,88.485,173.754,-163.470,0.153
6,BETALL_WM_9_P5_guides.tif:18,4.595E-5,109.894,80.158,160.679,-169.072,0.292
7,BETALL_WM_9_P5_guides.tif:17,3.896E-5,112.402,76.333,157.667,180.000,0.247
8,BETALL_WM_9_P5_guides.tif:16,7.366E-6,101.604,70.971,134.261,179.613,0.047
9,BETALL_WM_9_P5_guides.tif:23,3.023E-5,124.360,76.000,170.152,29.342,0.192
10,BETALL_WM_9_P5_guides.tif:22,1.486E-5,137.766,99.424,177.584,29.781,0.094
11,BETALL_WM_9_P5_guides.tif:21,1.587E-5,125.095,100.757,170.362,22.351,0.101
12,BETALL_WM_9_P5_guides.tif:20,2.103E-5,101.899,76.731,146.800,22.479,0.133
13,BETALL_WM_9_P5_guides.tif:19,2.512E-5,100.701,79.746,124.328,33.266,0.159
14,BETALL_WM_9_P5_guides.tif:18,2.490E-5,130.016,85.995,167.196,36.116,0.158
15,BETALL_WM_9_P5_guides.tif:17,4.008E-5,111.080,82.420,158.943,57.284,0.254
16,BETALL_WM_9_P5_guides.tif:16,8.085E-6,92.366,67.760,123.322,57.043,0.051
17,BETALL_WM_9_P5_guides.tif:23,4.551E-5,136.188,99.538,174.754,-71.595,0.289
18,BETALL_WM_9_P5_guides.tif:22,1.582E-5,131.592,96.579,168.652,-81.336,0.100
19,BETALL_WM_9_P5_guides.tif:21,2.311E-5,130.353,104.927,170.341,-78.292,0.147
20,BETALL_WM_9_P5_guides.tif:20,2.282E-5,132.724,89.999,181.708,-77.370,0.145
21,BETALL_WM_9_P5_guides.tif:19,2.269E-5,135.870,95.192,174.616,-71.625,0.144
22,BETALL_WM_9_P5_guides.tif:18,3.063E-5,130.330,96.487,175.041,-69.803,0.194
23,BETALL_WM_9_P5_guides.tif:17,3.360E-5,114.223,82.938,160.889,-57.120,0.213
24,BETALL_WM_9_P5_guides.tif:16,7.911E-6,106.383,78.830,150.687,-56.160,0.050
25,BETALL_WM_9_P5_guides.tif:22,2.795E-5,0.000,0.000,0.000,-96.633,0.177
26,BETALL_WM_9_P5_guides.tif:21,2.138E-5,0.000,0.000,0.000,-98.281,0.136
27,BETALL_WM_9_P5_guides.tif:20,1.989E-5,72.275,0.000,97.448,-98.757,0.126
28,BETALL_WM_9_P5_guides.tif:19,3.789E-5,100.783,74.469,141.872,-99.882,0.240
