 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_GR5A_P2_guides.tif:2022,3.274E-6,162.568,141.333,192.333,180.000,0.021
2,BETPAP_GR5A_P2_guides.tif:2021,2.497E-5,158.433,138.510,199.064,-179.886,0.158
3,BETPAP_GR5A_P2_guides.tif:2020,3.063E-5,156.866,134.331,198.370,-179.907,0.194
4,BETPAP_GR5A_P2_guides.tif:2019,1.957E-5,145.949,95.017,180.976,179.855,0.124
5,BETPAP_GR5A_P2_guides.tif:2022,1.934E-6,163.690,142.954,184.429,56.725,0.012
6,BETPAP_GR5A_P2_guides.tif:2021,1.022E-5,157.219,142.827,187.900,57.935,0.065
7,BETPAP_GR5A_P2_guides.tif:2020,2.106E-5,164.795,138.468,186.814,57.135,0.133
8,BETPAP_GR5A_P2_guides.tif:2019,1.726E-5,152.007,87.275,185.417,57.225,0.109
9,BETPAP_GR5A_P2_guides.tif:2022,2.282E-6,156.590,103.330,189.858,-43.210,0.014
10,BETPAP_GR5A_P2_guides.tif:2021,6.994E-6,156.631,92.488,188.222,-50.194,0.044
11,BETPAP_GR5A_P2_guides.tif:2020,2.800E-5,154.775,88.170,184.275,-56.648,0.178
12,BETPAP_GR5A_P2_guides.tif:2019,2.061E-5,122.179,0.000,181.693,-56.999,0.131
