 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_HF16B_P6_guides.tif:2022,7.093E-6,148.483,111.333,167.000,180.000,0.045
2,BETPAP_HF16B_P6_guides.tif:2021,1.133E-5,159.924,137.333,183.333,180.000,0.072
3,BETPAP_HF16B_P6_guides.tif:2020,1.654E-5,146.765,110.952,179.423,-179.484,0.105
4,BETPAP_HF16B_P6_guides.tif:2019,2.435E-5,143.683,112.125,189.453,179.474,0.154
5,BETPAP_HF16B_P6_guides.tif:2018,2.041E-5,147.538,116.000,183.000,180.000,0.129
6,BETPAP_HF16B_P6_guides.tif:2017,1.364E-5,131.560,78.162,170.481,-179.374,0.086
7,BETPAP_HF16B_P6_guides.tif:2022,1.099E-5,137.787,85.000,162.834,58.036,0.070
8,BETPAP_HF16B_P6_guides.tif:2021,2.775E-5,145.676,123.531,174.280,57.163,0.176
9,BETPAP_HF16B_P6_guides.tif:2020,2.602E-5,136.551,97.360,172.663,57.629,0.165
10,BETPAP_HF16B_P6_guides.tif:2019,3.219E-5,145.286,123.307,176.673,57.376,0.204
11,BETPAP_HF16B_P6_guides.tif:2018,2.120E-5,140.878,118.341,173.000,57.482,0.134
12,BETPAP_HF16B_P6_guides.tif:2017,1.061E-5,126.866,75.504,163.456,56.757,0.067
13,BETPAP_HF16B_P6_guides.tif:2022,5.853E-6,149.379,86.297,181.080,-54.888,0.037
14,BETPAP_HF16B_P6_guides.tif:2021,1.982E-5,136.896,85.839,172.162,-56.967,0.126
15,BETPAP_HF16B_P6_guides.tif:2020,2.453E-5,152.744,129.197,185.580,-57.275,0.156
16,BETPAP_HF16B_P6_guides.tif:2019,3.259E-5,149.103,124.311,182.622,-57.218,0.207
17,BETPAP_HF16B_P6_guides.tif:2018,2.014E-5,143.446,107.088,170.722,-57.074,0.128
18,BETPAP_HF16B_P6_guides.tif:2017,1.337E-5,130.288,79.401,165.460,-55.689,0.085
