 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_HF_16A_P6_guides.tif:2022,2.490E-5,128.512,80.092,174.563,179.943,0.158
2,BETPAP_HF_16A_P6_guides.tif:2021,2.282E-6,120.287,105.667,141.286,-177.483,0.014
3,BETPAP_HF_16A_P6_guides.tif:2020,2.755E-5,122.185,85.000,170.741,-179.845,0.175
4,BETPAP_HF_16A_P6_guides.tif:2019,2.160E-5,121.549,85.000,165.491,-179.802,0.137
5,BETPAP_HF_16A_P6_guides.tif:2018,2.354E-5,126.994,85.000,170.255,-179.637,0.149
6,BETPAP_HF_16A_P6_guides.tif:2017,2.572E-5,129.130,99.000,168.333,180.000,0.163
7,BETPAP_HF_16A_P6_guides.tif:2016,1.451E-5,117.329,92.046,152.733,-179.804,0.092
8,BETPAP_HF_16A_P6_guides.tif:2022,2.058E-5,151.421,86.297,183.103,51.416,0.131
9,BETPAP_HF_16A_P6_guides.tif:2021,2.108E-6,158.465,138.063,182.939,-134.519,0.013
10,BETPAP_HF_16A_P6_guides.tif:2020,2.227E-5,152.277,121.000,175.582,-129.936,0.141
11,BETPAP_HF_16A_P6_guides.tif:2019,2.177E-5,146.748,87.520,181.594,-124.542,0.138
12,BETPAP_HF_16A_P6_guides.tif:2018,2.282E-5,134.310,86.201,173.247,-124.399,0.145
13,BETPAP_HF_16A_P6_guides.tif:2017,2.559E-5,130.941,101.526,168.741,-122.889,0.162
14,BETPAP_HF_16A_P6_guides.tif:2016,1.366E-5,127.697,85.667,167.203,-123.950,0.087
15,BETPAP_HF_16A_P6_guides.tif:2022,2.579E-5,122.045,76.031,182.102,-57.334,0.164
16,BETPAP_HF_16A_P6_guides.tif:2021,2.182E-6,162.653,145.959,176.127,125.154,0.014
17,BETPAP_HF_16A_P6_guides.tif:2020,2.316E-5,148.423,85.308,185.076,123.418,0.147
18,BETPAP_HF_16A_P6_guides.tif:2019,2.512E-5,138.318,117.017,169.650,124.570,0.159
19,BETPAP_HF_16A_P6_guides.tif:2018,2.626E-5,135.509,93.374,175.186,123.119,0.167
20,BETPAP_HF_16A_P6_guides.tif:2017,2.654E-5,137.416,107.347,171.566,122.784,0.168
21,BETPAP_HF_16A_P6_guides.tif:2016,1.267E-5,130.343,98.587,160.061,123.721,0.080
22,BETPAP_HF_16A_P6_guides.tif:2015,8.035E-6,109.656,82.248,150.709,-56.605,0.051
23,BETPAP_HF_16A_P6_guides.tif:2015,6.919E-6,115.823,87.667,166.000,180.000,0.044
24,BETPAP_HF_16A_P6_guides.tif:2015,8.432E-6,107.345,81.000,157.477,57.529,0.053
