 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_SH1A_P1_guides.tif:2022,7.571E-5,161.327,85.094,210.000,179.549,0.481
2,BETPAP_SH1A_P1_guides.tif:2021,2.629E-5,163.993,85.078,212.801,177.835,0.167
3,BETPAP_SH1A_P1_guides.tif:2020,5.392E-5,166.860,85.805,213.769,178.734,0.342
4,BETPAP_SH1A_P1_guides.tif:2019,2.267E-5,182.332,85.589,223.721,177.614,0.144
5,BETPAP_SH1A_P1_guides.tif:2018,2.205E-5,184.425,85.761,224.613,178.581,0.140
6,BETPAP_SH1A_P1_guides.tif:2017,3.142E-5,160.496,85.263,215.613,177.011,0.199
7,BETPAP_SH1A_P1_guides.tif:2016,2.619E-5,143.477,74.934,189.332,179.728,0.166
8,BETPAP_SH1A_P1_guides.tif:2022,7.036E-5,149.622,85.452,207.587,57.397,0.447
9,BETPAP_SH1A_P1_guides.tif:2021,3.415E-5,143.893,85.000,219.887,57.165,0.217
10,BETPAP_SH1A_P1_guides.tif:2020,5.897E-5,161.236,91.388,209.240,60.285,0.374
11,BETPAP_SH1A_P1_guides.tif:2019,3.824E-5,161.575,86.156,206.825,58.507,0.243
12,BETPAP_SH1A_P1_guides.tif:False ring,3.754E-4,152.984,99.000,213.000,0.000,0.000
13,BETPAP_SH1A_P1_guides.tif:2018,3.311E-5,171.819,86.320,222.264,68.861,0.210
14,BETPAP_SH1A_P1_guides.tif:2017,3.445E-5,168.971,112.172,222.352,80.212,0.219
15,BETPAP_SH1A_P1_guides.tif:2016,4.655E-5,138.480,80.550,202.139,57.360,0.295
16,BETPAP_SH1A_P1_guides.tif:2022,8.844E-5,140.458,80.883,210.453,-57.300,0.561
17,BETPAP_SH1A_P1_guides.tif:2021,4.367E-5,133.997,93.528,195.700,-57.249,0.277
18,BETPAP_SH1A_P1_guides.tif:2020,8.430E-5,167.204,97.990,215.406,-57.180,0.535
19,BETPAP_SH1A_P1_guides.tif:2019,4.365E-5,147.174,85.235,225.552,-57.159,0.277
20,BETPAP_SH1A_P1_guides.tif:2018,2.373E-5,131.831,85.000,206.781,-57.207,0.151
21,BETPAP_SH1A_P1_guides.tif:2017,4.176E-5,136.511,85.000,209.722,-57.179,0.265
22,BETPAP_SH1A_P1_guides.tif:2016,2.723E-5,125.418,84.529,189.561,-56.976,0.173
