 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5A_P12_guides.tif:2022,3.611E-5,146.803,109.000,184.392,-179.527,0.229
2,BETPOP_GR5A_P12_guides.tif:2021,1.565E-5,150.911,122.733,186.524,-179.454,0.099
3,BETPOP_GR5A_P12_guides.tif:2020,4.444E-5,142.298,112.513,178.600,179.712,0.282
4,BETPOP_GR5A_P12_guides.tif:2019,2.785E-5,139.826,107.353,175.451,179.438,0.177
5,BETPOP_GR5A_P12_guides.tif:2018,1.758E-5,116.478,85.000,166.968,179.838,0.111
6,BETPOP_GR5A_P12_guides.tif:2017,2.969E-5,108.287,77.333,155.000,180.000,0.188
7,BETPOP_GR5A_P12_guides.tif:2016,1.118E-5,99.487,76.410,126.853,179.745,0.071
8,BETPOP_GR5A_P12_guides.tif:2022,2.160E-5,126.272,71.942,165.593,58.064,0.137
9,BETPOP_GR5A_P12_guides.tif:2020,5.091E-5,138.439,85.000,183.486,57.657,0.323
10,BETPOP_GR5A_P12_guides.tif:2019,2.760E-5,141.720,110.333,180.136,57.339,0.175
11,BETPOP_GR5A_P12_guides.tif:2018,2.299E-5,133.982,86.338,174.645,55.692,0.146
12,BETPOP_GR5A_P12_guides.tif:2017,3.217E-5,126.208,85.000,166.820,56.236,0.204
13,BETPOP_GR5A_P12_guides.tif:2016,1.210E-5,111.671,71.443,149.407,57.583,0.077
14,BETPOP_GR5A_P12_guides.tif:2022,1.610E-5,138.157,93.667,177.099,-63.989,0.102
15,BETPOP_GR5A_P12_guides.tif:2020,4.305E-5,134.438,86.685,179.310,-57.519,0.273
16,BETPOP_GR5A_P12_guides.tif:2019,2.859E-5,125.994,92.389,173.218,-57.193,0.181
17,BETPOP_GR5A_P12_guides.tif:2018,2.195E-5,120.036,92.312,157.850,-56.813,0.139
18,BETPOP_GR5A_P12_guides.tif:2017,2.822E-5,117.435,86.880,156.136,-57.204,0.179
19,BETPOP_GR5A_P12_guides.tif:2016,1.208E-5,113.638,73.692,147.091,-57.095,0.077
20,BETPOP_GR5A_P12_guides.tif:2021,1.389E-5,140.145,121.197,171.190,56.083,0.088
21,BETPOP_GR5A_P12_guides.tif:2021,1.255E-5,148.736,99.271,180.908,-60.846,0.080
