 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5_P6_guides.tif:2023,1.270E-5,136.501,85.764,175.307,-171.902,0.080
2,BETPOP_GR5_P6_guides.tif:2021,6.274E-6,134.615,88.600,160.762,-169.939,0.040
3,BETPOP_GR5_P6_guides.tif:2019,1.917E-5,144.816,118.333,177.333,180.000,0.122
4,BETPOP_GR5_P6_guides.tif:2018,3.430E-5,143.700,114.010,181.626,-179.917,0.218
5,BETPOP_GR5_P6_guides.tif:2017,2.244E-5,133.010,93.735,207.484,179.873,0.142
6,BETPOP_GR5_P6_guides.tif:2016,7.762E-6,99.235,73.667,129.667,180.000,0.049
7,BETPOP_GR5_P6_guides.tif:2023,1.394E-5,125.796,83.060,159.986,73.213,0.088
8,BETPOP_GR5_P6_guides.tif:2022,6.374E-6,116.337,86.537,151.725,-121.769,0.040
9,BETPOP_GR5_P6_guides.tif:2019,2.460E-5,113.435,85.000,152.736,57.995,0.156
10,BETPOP_GR5_P6_guides.tif:2018,4.459E-5,129.691,97.000,168.072,57.265,0.283
11,BETPOP_GR5_P6_guides.tif:2017,2.668E-5,116.608,89.403,166.781,57.418,0.169
12,BETPOP_GR5_P6_guides.tif:2016,7.589E-6,99.685,72.062,134.607,56.622,0.048
13,BETPOP_GR5_P6_guides.tif:2023,2.083E-5,122.891,85.000,169.090,-57.010,0.132
14,BETPOP_GR5_P6_guides.tif:2022,6.498E-6,154.189,115.317,183.937,-57.529,0.041
15,BETPOP_GR5_P6_guides.tif:2019,3.427E-5,132.717,86.061,169.172,-55.620,0.218
16,BETPOP_GR5_P6_guides.tif:2018,3.524E-5,128.027,94.066,168.981,-57.250,0.224
17,BETPOP_GR5_P6_guides.tif:2017,2.006E-5,118.611,94.937,153.904,-57.431,0.127
18,BETPOP_GR5_P6_guides.tif:2016,6.994E-6,88.515,50.807,121.667,-56.310,0.044
19,BETPOP_GR5_P6_guides.tif:2021,9.672E-6,125.844,104.066,164.495,57.291,0.061
20,BETPOP_GR5_P6_guides.tif:2022,4.142E-6,141.174,87.022,174.140,-165.379,0.026
21,BETPOP_GR5_P6_guides.tif:2020,7.068E-6,113.851,85.000,144.606,179.798,0.045
22,BETPOP_GR5_P6_guides.tif:2021,1.180E-5,138.886,86.761,182.160,-56.511,0.075
23,BETPOP_GR5_P6_guides.tif:2020,1.109E-5,122.401,86.733,167.859,58.022,0.070
24,BETPOP_GR5_P6_guides.tif:2020,9.870E-6,136.298,113.665,167.306,-61.113,0.063
