 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR_5C_P12_guides.tif:2022,1.729E-5,149.984,88.126,181.191,-172.732,0.110
2,BETPOP_GR_5C_P12_guides.tif:2021,2.088E-5,142.818,85.137,176.716,-177.546,0.132
3,BETPOP_GR_5C_P12_guides.tif:2020,2.651E-5,133.194,85.370,167.783,-178.927,0.168
4,BETPOP_GR_5C_P12_guides.tif:2019,4.298E-5,110.856,78.158,153.330,179.868,0.273
5,BETPOP_GR_5C_P12_guides.tif:2018,2.155E-5,111.930,89.859,152.307,179.736,0.137
6,BETPOP_GR_5C_P12_guides.tif:2017,2.502E-5,113.444,86.988,151.111,-179.318,0.159
7,BETPOP_GR_5C_P12_guides.tif:2016,1.304E-5,96.996,74.867,129.000,179.236,0.083
8,BETPOP_GR_5C_P12_guides.tif:2022,2.101E-5,154.348,119.333,177.502,19.335,0.133
9,BETPOP_GR_5C_P12_guides.tif:2021,2.562E-5,151.238,120.948,184.859,17.662,0.162
10,BETPOP_GR_5C_P12_guides.tif:2020,2.306E-5,136.977,110.595,171.855,23.612,0.146
11,BETPOP_GR_5C_P12_guides.tif:2019,1.639E-5,138.685,110.788,167.024,25.284,0.104
12,BETPOP_GR_5C_P12_guides.tif:2018,1.525E-5,122.237,96.085,143.089,29.027,0.097
13,BETPOP_GR_5C_P12_guides.tif:2017,2.222E-5,122.299,98.886,157.167,35.039,0.141
14,BETPOP_GR_5C_P12_guides.tif:2016,1.205E-5,109.318,70.457,141.830,35.002,0.076
15,BETPOP_GR_5C_P12_guides.tif:2022,3.053E-5,156.149,120.000,181.861,-18.096,0.194
16,BETPOP_GR_5C_P12_guides.tif:2021,2.336E-5,154.715,133.383,181.553,-19.359,0.148
17,BETPOP_GR_5C_P12_guides.tif:2020,2.492E-5,138.751,104.752,174.291,-17.930,0.158
18,BETPOP_GR_5C_P12_guides.tif:2019,1.748E-5,137.114,109.929,166.988,-17.689,0.111
19,BETPOP_GR_5C_P12_guides.tif:2018,1.473E-5,126.645,105.583,157.352,-17.763,0.093
20,BETPOP_GR_5C_P12_guides.tif:2017,2.036E-5,130.596,104.552,164.816,-18.347,0.129
21,BETPOP_GR_5C_P12_guides.tif:2016,1.235E-5,113.227,71.159,153.592,-18.399,0.078
22,BETPOP_GR_5C_P12_guides.tif:10875-04095,1.408E-4,136.271,71.640,181.471,-144.983,0.894
