 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_HF4_P9_guides.tif:False ring,1.907E-4,193.514,162.000,231.000,0.000,0.000
2,BETPOP_HF4_P9_guides.tif:Real ring,2.553E-4,198.390,159.000,240.000,0.000,0.000
3,BETPOP_HF4_P9_guides.tif:22,1.545E-5,198.259,146.477,231.108,-171.023,0.098
4,BETPOP_HF4_P9_guides.tif:21,2.559E-5,186.065,87.361,233.475,-175.994,0.162
5,BETPOP_HF4_P9_guides.tif:20,9.151E-6,174.136,85.000,220.616,-178.755,0.058
6,BETPOP_HF4_P9_guides.tif:19,1.322E-5,179.103,86.196,226.528,175.040,0.084
7,BETPOP_HF4_P9_guides.tif:18,2.185E-5,184.284,87.277,234.573,174.652,0.139
8,BETPOP_HF4_P9_guides.tif:17,9.325E-6,177.055,90.841,219.203,169.230,0.059
9,BETPOP_HF4_P9_guides.tif:16,2.076E-5,176.996,134.667,228.444,178.219,0.132
10,BETPOP_HF4_P9_guides.tif:15,2.081E-5,142.705,85.197,214.434,179.727,0.132
11,BETPOP_HF4_P9_guides.tif:22,3.628E-5,161.280,85.000,232.427,57.397,0.230
12,BETPOP_HF4_P9_guides.tif:21,5.585E-5,153.651,85.000,230.860,57.185,0.355
13,BETPOP_HF4_P9_guides.tif:20,2.631E-5,171.328,85.000,217.998,57.479,0.167
14,BETPOP_HF4_P9_guides.tif:19,1.805E-5,164.885,85.772,222.732,57.819,0.114
15,BETPOP_HF4_P9_guides.tif:18,2.676E-5,161.580,85.439,229.104,57.504,0.170
16,BETPOP_HF4_P9_guides.tif:17,4.216E-6,154.652,95.228,226.808,59.500,0.027
17,BETPOP_HF4_P9_guides.tif:16,2.187E-5,176.253,134.322,230.598,57.140,0.139
18,BETPOP_HF4_P9_guides.tif:15,2.086E-5,145.178,85.000,204.760,57.445,0.132
19,BETPOP_HF4_P9_guides.tif:22,2.641E-5,177.802,116.019,214.539,-16.596,0.168
20,BETPOP_HF4_P9_guides.tif:21,4.811E-5,184.840,136.703,235.582,-11.542,0.305
21,BETPOP_HF4_P9_guides.tif:20,1.505E-5,171.169,132.550,223.850,-4.921,0.095
22,BETPOP_HF4_P9_guides.tif:19,1.959E-5,166.415,134.701,212.438,-2.325,0.124
23,BETPOP_HF4_P9_guides.tif:18,2.802E-5,170.162,132.624,221.739,-13.938,0.178
24,BETPOP_HF4_P9_guides.tif:17,1.104E-5,159.889,137.333,201.667,-13.536,0.070
25,BETPOP_HF4_P9_guides.tif:16,3.331E-5,175.475,136.406,228.789,-37.006,0.211
26,BETPOP_HF4_P9_guides.tif:15,2.140E-5,157.293,41.275,225.827,-37.082,0.136
