 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_WM-7_P2_guides.tif:realring,8.275E-4,140.335,96.000,184.000,0.000,0.000
2,BETPOP_WM-7_P2_guides.tif:realring,4.076E-4,142.669,97.000,184.000,0.000,0.000
3,BETPOP_WM-7_P2_guides.tif:realring,2.698E-4,137.037,98.000,181.000,0.000,0.000
4,BETPOP_WM-7_P2_guides.tif:realring,2.698E-4,133.348,104.000,169.000,0.000,0.000
5,BETPOP_WM-7_P2_guides.tif:2023,3.722E-5,142.340,95.325,177.507,179.885,0.236
6,BETPOP_WM-7_P2_guides.tif:2022,1.334E-5,139.194,93.000,177.231,179.680,0.085
7,BETPOP_WM-7_P2_guides.tif:2021,5.754E-5,141.894,93.667,176.000,180.000,0.365
8,BETPOP_WM-7_P2_guides.tif:2020,1.967E-5,138.539,106.856,179.182,179.566,0.125
9,BETPOP_WM-7_P2_guides.tif:2019,3.559E-5,144.879,110.667,180.001,179.880,0.226
10,BETPOP_WM-7_P2_guides.tif:2018,8.529E-5,147.267,94.675,180.441,-179.950,0.541
11,BETPOP_WM-7_P2_guides.tif:2017,5.322E-5,124.357,88.667,163.000,180.000,0.338
12,BETPOP_WM-7_P2_guides.tif:2023,3.871E-5,146.259,70.353,175.203,52.425,0.246
13,BETPOP_WM-7_P2_guides.tif:2022,2.368E-5,150.389,101.987,184.856,48.695,0.150
14,BETPOP_WM-7_P2_guides.tif:2021,5.139E-5,147.242,87.332,179.601,52.416,0.326
15,BETPOP_WM-7_P2_guides.tif:2020,3.474E-5,145.314,90.586,174.263,51.263,0.220
16,BETPOP_WM-7_P2_guides.tif:2019,5.444E-5,148.012,85.256,193.775,52.221,0.345
17,BETPOP_WM-7_P2_guides.tif:2018,8.462E-5,136.211,87.820,182.148,48.923,0.537
18,BETPOP_WM-7_P2_guides.tif:2017,5.622E-5,125.287,87.918,167.100,55.027,0.357
19,BETPOP_WM-7_P2_guides.tif:2016,9.498E-6,116.097,73.372,163.873,57.184,0.060
20,BETPOP_WM-7_P2_guides.tif:2016,7.614E-6,115.407,75.667,158.451,179.438,0.048
21,BETPOP_WM-7_P2_guides.tif:2023,3.995E-5,138.491,79.829,171.315,-57.169,0.254
22,BETPOP_WM-7_P2_guides.tif:2022,1.545E-5,147.812,128.492,166.978,-56.999,0.098
23,BETPOP_WM-7_P2_guides.tif:2021,4.320E-5,145.634,113.161,178.653,-57.241,0.274
24,BETPOP_WM-7_P2_guides.tif:2020,1.518E-5,148.485,118.000,179.462,-56.622,0.096
25,BETPOP_WM-7_P2_guides.tif:2019,4.067E-5,140.822,117.179,172.275,-56.194,0.258
26,BETPOP_WM-7_P2_guides.tif:2018,8.010E-5,140.329,94.673,175.331,-47.447,0.509
27,BETPOP_WM-7_P2_guides.tif:2017,6.086E-5,121.909,82.467,161.974,-49.862,0.386
28,BETPOP_WM-7_P2_guides.tif:2016,9.201E-6,119.084,82.701,144.878,-57.600,0.058
