 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_WM7_P3_guides-1.tif:2022,1.332E-5,140.260,89.653,180.478,167.622,0.084
2,BETPOP_WM7_P3_guides-1.tif:2021,4.524E-5,148.611,86.964,183.321,175.628,0.287
3,BETPOP_WM7_P3_guides-1.tif:2019,6.691E-5,136.957,100.333,181.000,180.000,0.425
4,BETPOP_WM7_P3_guides-1.tif:2018,9.798E-5,136.978,85.147,179.751,-179.695,0.622
5,BETPOP_WM7_P3_guides-1.tif:2017,6.131E-5,125.019,86.183,172.138,179.977,0.389
6,BETPOP_WM7_P3_guides-1.tif:2016,7.688E-6,84.991,82.333,85.000,180.000,0.049
7,BETPOP_WM7_P3_guides-1.tif:2022,1.503E-5,134.266,85.000,171.697,43.325,0.095
8,BETPOP_WM7_P3_guides-1.tif:2021,5.141E-5,139.255,86.350,179.896,50.364,0.326
9,BETPOP_WM7_P3_guides-1.tif:2019,5.364E-5,137.319,85.764,184.961,53.862,0.340
10,BETPOP_WM7_P3_guides-1.tif:2018,7.797E-5,137.484,104.089,184.083,56.209,0.495
11,BETPOP_WM7_P3_guides-1.tif:2017,5.424E-5,117.547,86.042,157.605,56.986,0.344
12,BETPOP_WM7_P3_guides-1.tif:2016,9.176E-6,99.231,72.820,137.177,58.504,0.058
13,BETPOP_WM7_P3_guides-1.tif:2022,1.238E-5,147.049,98.149,181.259,-29.602,0.078
14,BETPOP_WM7_P3_guides-1.tif:2021,3.350E-5,142.980,91.945,187.167,-40.555,0.213
15,BETPOP_WM7_P3_guides-1.tif:2019,5.017E-5,133.840,89.320,175.902,-47.766,0.318
16,BETPOP_WM7_P3_guides-1.tif:2018,7.616E-5,138.923,105.543,182.192,-55.471,0.483
17,BETPOP_WM7_P3_guides-1.tif:2017,6.304E-5,126.726,88.079,169.593,-57.192,0.400
18,BETPOP_WM7_P3_guides-1.tif:2016,6.349E-6,99.190,76.815,129.860,-56.497,0.040
19,BETPOP_WM7_P3_guides-1.tif:2020,1.910E-5,141.439,96.210,181.885,-33.111,0.121
20,BETPOP_WM7_P3_guides-1.tif:2020,2.755E-5,144.002,87.847,184.062,170.877,0.175
21,BETPOP_WM7_P3_guides-1.tif:2020,2.569E-5,134.716,85.000,175.880,45.939,0.163
22,BETPOP_WM7_P3_guides-1.tif:2023,3.968E-5,151.497,90.339,195.511,-133.479,0.252
23,BETPOP_WM7_P3_guides-1.tif:2023,3.621E-5,144.311,96.042,182.422,-20.372,0.230
24,BETPOP_WM7_P3_guides-1.tif:2023,4.067E-5,150.160,85.319,200.464,-5.954,0.258
