 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_GR8B_P5_guides.tif:2022,5.382E-6,141.262,85.000,181.694,-179.469,0.034
2,ALNINC_GR8B_P5_guides.tif:2021,2.016E-5,157.898,71.385,198.067,179.929,0.128
3,ALNINC_GR8B_P5_guides.tif:2020,3.244E-5,123.695,85.000,191.546,-179.956,0.206
4,ALNINC_GR8B_P5_guides.tif:2019,2.869E-5,155.995,112.000,200.667,180.000,0.182
5,ALNINC_GR8B_P5_guides.tif:2018,1.267E-5,111.546,85.000,159.340,179.775,0.080
6,ALNINC_GR8B_P5_guides.tif:2022,3.336E-5,182.974,85.310,233.443,57.516,0.212
7,ALNINC_GR8B_P5_guides.tif:2021,3.581E-5,173.851,85.541,222.728,57.742,0.227
8,ALNINC_GR8B_P5_guides.tif:2020,4.851E-5,177.180,136.413,222.905,57.367,0.308
9,ALNINC_GR8B_P5_guides.tif:2019,2.944E-5,140.414,85.000,201.337,57.329,0.187
10,ALNINC_GR8B_P5_guides.tif:2018,1.478E-5,124.243,90.231,190.495,57.218,0.094
11,ALNINC_GR8B_P5_guides.tif:2022,1.327E-5,158.300,102.859,186.155,-61.227,0.084
12,ALNINC_GR8B_P5_guides.tif:2021,3.244E-5,164.010,94.634,205.272,-61.239,0.206
13,ALNINC_GR8B_P5_guides.tif:2020,4.424E-5,164.260,131.333,203.559,-58.110,0.281
14,ALNINC_GR8B_P5_guides.tif:2019,2.921E-5,152.817,108.926,193.257,-57.282,0.185
15,ALNINC_GR8B_P5_guides.tif:2018,1.242E-5,134.709,85.000,182.555,-57.072,0.079
16,ALNINC_GR8B_P5_guides.tif:False ring,6.649E-4,189.913,125.000,235.000,0.000,0.000
17,ALNINC_GR8B_P5_guides.tif:may be 2023 ring,0.002,201.564,150.000,245.000,0.000,0.000
