 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_SH4_P2_guides.tif:06473-08289,0.005,170.682,76.000,234.000,0.000,0.000
2,ALNINC_SH4_P2_guides.tif:06503-09599,0.005,161.436,106.000,236.000,0.000,0.000
3,ALNINC_SH4_P2_guides.tif:06549-11175,0.005,178.085,83.000,240.000,0.000,0.000
4,ALNINC_SH4_P2_guides.tif:06548-12787,0.005,179.456,93.000,240.000,0.000,0.000
5,ALNINC_SH4_P2_guides.tif:06542-14167,0.005,175.563,112.000,233.000,0.000,0.000
6,ALNINC_SH4_P2_guides.tif:07191-15383,0.014,120.588,0.000,240.000,0.000,0.000
7,ALNINC_SH4_P2_guides.tif:22,5.654E-6,130.729,85.000,169.172,179.748,0.036
8,ALNINC_SH4_P2_guides.tif:21,6.324E-6,181.506,152.000,219.333,0.000,0.040
9,ALNINC_SH4_P2_guides.tif:20,6.448E-6,177.105,143.000,213.333,0.000,0.041
10,ALNINC_SH4_P2_guides.tif:19,3.685E-5,129.640,85.040,205.357,-179.923,0.234
11,ALNINC_SH4_P2_guides.tif:18,4.107E-5,85.000,85.000,85.000,180.000,0.261
12,ALNINC_SH4_P2_guides.tif:17,3.881E-5,85.000,85.000,85.000,180.000,0.246
13,ALNINC_SH4_P2_guides.tif:16,3.127E-5,126.251,85.000,196.411,179.955,0.198
14,ALNINC_SH4_P2_guides.tif:15,1.386E-5,123.552,85.088,185.014,179.897,0.088
15,ALNINC_SH4_P2_guides.tif:22,7.762E-6,126.727,85.000,202.469,57.022,0.049
16,ALNINC_SH4_P2_guides.tif:21,1.138E-5,146.165,85.000,211.831,57.039,0.072
17,ALNINC_SH4_P2_guides.tif:20,6.126E-6,159.298,103.082,189.120,57.475,0.039
18,ALNINC_SH4_P2_guides.tif:19,2.964E-5,174.475,97.101,229.104,57.175,0.188
19,ALNINC_SH4_P2_guides.tif:18,4.638E-5,159.244,86.023,230.311,57.322,0.294
20,ALNINC_SH4_P2_guides.tif:17,3.269E-5,181.045,85.153,224.288,55.393,0.207
21,ALNINC_SH4_P2_guides.tif:16,2.991E-5,177.856,85.000,219.353,56.099,0.190
22,ALNINC_SH4_P2_guides.tif:15,1.379E-5,134.551,85.000,216.113,57.370,0.087
23,ALNINC_SH4_P2_guides.tif:22,7.390E-6,155.801,85.000,202.169,-56.685,0.047
24,ALNINC_SH4_P2_guides.tif:21,6.944E-6,114.145,85.000,151.446,-57.277,0.044
25,ALNINC_SH4_P2_guides.tif:20,3.323E-6,160.006,93.260,181.945,-68.839,0.021
26,ALNINC_SH4_P2_guides.tif:19,2.215E-5,154.213,85.214,210.247,-56.987,0.140
27,ALNINC_SH4_P2_guides.tif:18,3.690E-5,159.642,85.000,217.107,-57.133,0.234
28,ALNINC_SH4_P2_guides.tif:17,3.040E-5,152.254,85.602,230.784,-57.062,0.193
29,ALNINC_SH4_P2_guides.tif:16,3.100E-5,146.919,85.307,215.746,-57.124,0.197
30,ALNINC_SH4_P2_guides.tif:15,1.419E-5,125.462,85.138,186.416,-57.006,0.090
