 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_WM1_P1_guides.tif:22,4.216E-6,153.812,88.332,172.945,9.518,0.027
2,ALNINC_WM1_P1_guides.tif:21,6.795E-6,155.049,90.575,176.702,-167.289,0.043
3,ALNINC_WM1_P1_guides.tif:20,6.597E-6,148.856,87.154,175.120,-173.278,0.042
4,ALNINC_WM1_P1_guides.tif:19,2.398E-5,145.518,82.562,183.097,-176.498,0.152
5,ALNINC_WM1_P1_guides.tif:18,3.271E-5,124.645,80.177,168.703,-179.913,0.208
6,ALNINC_WM1_P1_guides.tif:17,1.582E-5,143.620,53.000,185.667,0.000,0.100
7,ALNINC_WM1_P1_guides.tif:22,3.373E-6,133.927,92.432,155.603,67.413,0.021
8,ALNINC_WM1_P1_guides.tif:21,9.746E-6,150.664,87.729,172.250,63.304,0.062
9,ALNINC_WM1_P1_guides.tif:20,1.270E-5,154.332,82.873,178.445,62.231,0.080
10,ALNINC_WM1_P1_guides.tif:19,3.596E-5,137.307,82.875,172.296,57.232,0.228
11,ALNINC_WM1_P1_guides.tif:18,3.804E-5,142.975,74.897,177.095,57.254,0.241
12,ALNINC_WM1_P1_guides.tif:17,1.612E-5,122.927,0.000,173.353,57.143,0.102
13,ALNINC_WM1_P1_guides.tif:22,1.389E-6,142.237,106.000,159.385,-56.023,0.009
14,ALNINC_WM1_P1_guides.tif:21,6.002E-6,120.478,85.000,167.013,-57.565,0.038
15,ALNINC_WM1_P1_guides.tif:20,6.721E-6,139.842,118.189,167.804,-57.252,0.043
16,ALNINC_WM1_P1_guides.tif:19,2.686E-5,141.063,74.786,185.820,-59.454,0.170
17,ALNINC_WM1_P1_guides.tif:18,3.638E-5,145.898,106.668,183.999,-57.166,0.231
18,ALNINC_WM1_P1_guides.tif:17,1.592E-5,125.296,76.874,186.626,-57.227,0.101
