 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_SH4_P3_guides.tif:18,1.327E-5,168.531,119.905,204.345,64.011,0.084
2,BETALL_SH4_P3_guides.tif:19,2.527E-5,181.933,107.455,220.544,68.324,0.160
3,BETALL_SH4_P3_guides.tif:20,3.462E-5,194.945,172.542,227.766,74.529,0.220
4,BETALL_SH4_P3_guides.tif:21,2.450E-5,188.877,171.533,226.947,69.913,0.155
5,BETALL_SH4_P3_guides.tif:22,1.825E-5,189.434,157.667,220.243,64.724,0.116
6,BETALL_SH4_P3_guides.tif:20,3.204E-5,192.833,171.452,233.772,-92.397,0.203
7,BETALL_SH4_P3_guides.tif:22,1.066E-5,190.076,167.601,217.479,75.964,0.068
8,BETALL_SH4_P3_guides.tif:21,1.652E-5,194.979,171.000,224.712,80.311,0.105
9,BETALL_SH4_P3_guides.tif:19,2.460E-5,184.894,152.789,213.354,-76.693,0.156
10,BETALL_SH4_P3_guides.tif:18,1.220E-5,160.332,113.540,200.297,-70.974,0.077
