 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETAL_GR9_P3_guides.tif:22,5.258E-6,180.595,145.699,221.538,-100.670,0.033
2,BETAL_GR9_P3_guides.tif:21,6.051E-6,192.613,176.667,215.299,-99.230,0.038
3,BETAL_GR9_P3_guides.tif:19,2.368E-5,196.794,180.343,231.402,-105.698,0.150
4,BETAL_GR9_P3_guides.tif:18,2.949E-5,195.986,163.667,233.879,-111.640,0.187
5,BETAL_GR9_P3_guides.tif:17,2.351E-5,193.562,0.000,234.071,-126.761,0.149
6,BETAL_GR9_P3_guides.tif:17,2.197E-5,193.770,156.272,230.479,130.601,0.139
7,BETAL_GR9_P3_guides.tif:18,2.936E-5,195.254,171.653,233.257,111.882,0.186
8,BETAL_GR9_P3_guides.tif:19,2.200E-5,185.034,151.235,225.749,110.215,0.139
9,BETAL_GR9_P3_guides.tif:22,6.622E-6,189.155,151.153,223.588,106.390,0.042
10,BETAL_GR9_P3_guides.tif:20,7.291E-6,195.978,182.318,213.940,103.610,0.046
11,BETAL_GR9_P3_guides.tif:21,7.142E-6,195.382,171.534,219.052,-76.109,0.045
12,BETAL_GR9_P3_guides.tif:20,9.548E-6,189.654,170.688,224.106,-103.710,0.060
