 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_GR13_P2_guides-1.tif:21,4.764E-5,187.183,162.642,224.260,-85.549,0.302
2,BETALL_GR13_P2_guides-1.tif:19,3.098E-5,165.560,140.688,215.305,-85.496,0.197
3,BETALL_GR13_P2_guides-1.tif:18,4.290E-5,169.733,101.249,221.170,-74.396,0.272
4,BETALL_GR13_P2_guides-1.tif:21,5.163E-5,191.730,162.451,233.970,86.750,0.328
5,BETALL_GR13_P2_guides-1.tif:20,6.696E-6,183.151,163.709,215.623,83.589,0.042
6,BETALL_GR13_P2_guides-1.tif:19,1.855E-5,176.891,137.801,231.094,71.492,0.118
7,BETALL_GR13_P2_guides-1.tif:18,3.824E-5,169.129,138.922,222.467,75.342,0.243
8,BETALL_GR13_P2_guides-1.tif:20,9.350E-6,169.536,149.454,217.016,-84.971,0.059
9,BETALL_GR13_P2_guides-1.tif:22,2.354E-5,188.851,145.489,221.000,-88.912,0.149
10,BETALL_GR13_P2_guides-1.tif:22,2.416E-5,190.531,129.526,235.925,-86.820,0.153
