 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5A_P3_guides.tif:22,7.366E-6,168.786,136.749,218.425,-78.690,0.047
2,BETPOP_GR5A_P3_guides.tif:21,2.423E-5,170.433,151.508,222.379,-85.948,0.154
3,BETPOP_GR5A_P3_guides.tif:20,4.400E-5,186.236,153.408,222.052,-88.740,0.279
4,BETPOP_GR5A_P3_guides.tif:19,2.944E-5,174.434,105.508,212.382,-91.885,0.187
5,BETPOP_GR5A_P3_guides.tif:18,7.911E-6,165.065,86.711,210.478,-91.081,0.050
6,BETPOP_GR5A_P3_guides.tif:22,1.461E-5,179.951,130.803,215.760,-89.026,0.093
7,BETPOP_GR5A_P3_guides.tif:21,2.480E-5,193.466,164.176,233.364,-90.172,0.157
8,BETPOP_GR5A_P3_guides.tif:20,4.838E-5,186.141,154.807,222.056,94.676,0.307
9,BETPOP_GR5A_P3_guides.tif:19,2.435E-5,177.708,158.035,216.839,-85.440,0.155
10,BETPOP_GR5A_P3_guides.tif:18,8.432E-6,168.712,94.752,205.366,-88.479,0.053
