 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5B_P3_guides.tif:17,4.114E-5,164.928,85.248,204.381,69.149,0.261
2,BETPOP_GR5B_P3_guides.tif:19,3.328E-5,186.306,144.705,225.005,88.290,0.211
3,BETPOP_GR5B_P3_guides.tif:20,3.070E-5,176.376,91.064,218.290,92.039,0.195
4,BETPOP_GR5B_P3_guides.tif:21,5.729E-6,194.784,173.336,210.533,89.004,0.036
5,BETPOP_GR5B_P3_guides.tif:22,2.877E-6,187.546,135.333,223.307,87.013,0.018
6,BETPOP_GR5B_P3_guides.tif:17,4.261E-5,167.694,108.009,209.486,-81.360,0.270
7,BETPOP_GR5B_P3_guides.tif:18,8.186E-5,181.482,99.713,223.012,-85.098,0.520
8,BETPOP_GR5B_P3_guides.tif:19,4.070E-5,187.226,138.359,231.098,-99.474,0.258
9,BETPOP_GR5B_P3_guides.tif:21,1.391E-5,188.302,160.168,218.301,-101.330,0.088
10,BETPOP_GR5B_P3_guides.tif:20,1.364E-5,192.269,163.355,225.867,-103.276,0.086
11,BETPOP_GR5B_P3_guides.tif:22,8.854E-6,166.804,137.333,211.685,-98.722,0.056
12,BETPOP_GR5B_P3_guides.tif:18,6.609E-5,171.804,139.670,217.218,-95.342,0.419
