 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_WM7_P3_guides.tif:16,5.778E-6,135.483,96.460,174.724,87.039,0.037
2,BETPOP_WM7_P3_guides.tif:16,2.892E-5,155.316,124.597,185.424,104.513,0.183
3,BETPOP_WM7_P3_guides.tif:17,4.206E-5,168.882,136.453,212.547,106.168,0.267
4,BETPOP_WM7_P3_guides.tif:18,3.060E-5,169.909,128.451,204.791,92.231,0.194
5,BETPOP_WM7_P3_guides.tif:19,3.958E-5,171.632,136.149,211.972,95.325,0.251
6,BETPOP_WM7_P3_guides.tif:20,9.622E-6,170.296,153.442,198.667,-82.875,0.061
7,BETPOP_WM7_P3_guides.tif:21,6.488E-5,185.707,166.054,224.834,94.210,0.412
8,BETPOP_WM7_P3_guides.tif:17,3.271E-5,151.619,86.964,186.559,-81.624,0.208
9,BETPOP_WM7_P3_guides.tif:18,3.966E-5,169.235,138.728,206.285,-84.832,0.252
10,BETPOP_WM7_P3_guides.tif:19,3.177E-5,179.144,150.583,217.146,-90.358,0.202
11,BETPOP_WM7_P3_guides.tif:20,3.465E-5,183.067,156.079,219.932,-91.313,0.220
12,BETPOP_WM7_P3_guides.tif:21,4.546E-5,193.793,155.543,226.914,-90.625,0.289
13,BETPOP_WM7_P3_guides.tif:22,8.407E-6,190.478,136.667,226.000,-95.440,0.053
14,BETPOP_WM7_P3_guides.tif:22,2.182E-5,186.838,133.113,218.759,97.586,0.138
