 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_XX_P3_guides.tif:17,4.809E-5,161.400,97.300,197.371,87.279,0.305
2,BETPOP_XX_P3_guides.tif:18,6.904E-5,162.400,119.095,208.161,86.416,0.438
3,BETPOP_XX_P3_guides.tif:19,5.833E-5,159.234,126.174,216.792,84.435,0.370
4,BETPOP_XX_P3_guides.tif:20,2.006E-5,162.278,129.935,211.338,84.036,0.127
5,BETPOP_XX_P3_guides.tif:21,4.633E-5,168.179,138.974,228.746,85.206,0.294
6,BETPOP_XX_P3_guides.tif:22,1.508E-5,168.880,136.543,224.999,86.035,0.096
7,BETPOP_XX_P3_guides.tif:22,2.108E-5,164.507,118.333,209.333,-81.469,0.134
8,BETPOP_XX_P3_guides.tif:21,5.602E-5,169.915,134.088,209.816,-85.274,0.356
9,BETPOP_XX_P3_guides.tif:20,2.324E-5,160.463,135.368,208.034,-89.265,0.147
10,BETPOP_XX_P3_guides.tif:19,5.166E-5,164.653,124.020,212.081,90.495,0.328
11,BETPOP_XX_P3_guides.tif:18,6.490E-5,170.115,121.000,212.000,90.000,0.412
12,BETPOP_XX_P3_guides.tif:17,4.841E-5,164.222,102.988,200.579,94.939,0.307
