 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_HF8_P12_guides.tif:22,1.004E-5,183.155,153.300,211.660,-90.567,0.064
2,ALNINC_HF8_P12_guides.tif:22,7.291E-6,191.809,163.312,220.394,79.380,0.046
3,ALNINC_HF8_P12_guides.tif:21,2.549E-5,192.951,164.333,226.927,84.639,0.162
4,ALNINC_HF8_P12_guides.tif:20,1.091E-5,182.463,158.000,220.263,85.301,0.069
5,ALNINC_HF8_P12_guides.tif:19,3.365E-5,182.153,136.921,218.110,95.332,0.214
6,ALNINC_HF8_P12_guides.tif:18,4.139E-5,178.924,142.333,210.507,96.818,0.263
7,ALNINC_HF8_P12_guides.tif:17,2.210E-5,162.550,121.679,198.324,110.511,0.140
8,ALNINC_HF8_P12_guides.tif:21,3.777E-5,184.616,152.151,205.613,-93.957,0.240
9,ALNINC_HF8_P12_guides.tif:20,7.217E-6,191.938,169.634,207.666,-103.173,0.046
10,ALNINC_HF8_P12_guides.tif:19,2.254E-5,199.121,164.509,218.699,-95.880,0.143
11,ALNINC_HF8_P12_guides.tif:18,3.641E-5,193.499,159.208,219.297,-97.285,0.231
12,ALNINC_HF8_P12_guides.tif:17,1.788E-5,184.478,101.053,213.508,-114.108,0.113
