 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_SH4A_P9_guides.tif:22,8.010E-6,196.277,168.667,224.848,-100.751,0.051
2,BETALL_SH4A_P9_guides.tif:21,2.582E-5,196.681,176.976,231.249,-101.764,0.164
3,BETALL_SH4A_P9_guides.tif:20,1.332E-5,196.620,169.977,226.574,-109.855,0.084
4,BETALL_SH4A_P9_guides.tif:19,1.302E-5,191.359,168.441,221.887,-105.945,0.083
5,BETALL_SH4A_P9_guides.tif:18,1.580E-5,183.901,123.409,208.084,-112.370,0.100
6,BETALL_SH4A_P9_guides.tif:22,7.663E-6,198.636,159.000,223.756,83.660,0.048
7,BETALL_SH4A_P9_guides.tif:21,1.907E-5,192.493,164.976,219.264,94.330,0.121
8,BETALL_SH4A_P9_guides.tif:20,1.381E-5,192.211,174.765,221.613,102.037,0.088
9,BETALL_SH4A_P9_guides.tif:19,7.762E-6,191.965,171.333,216.986,104.837,0.049
10,BETALL_SH4A_P9_guides.tif:18,1.185E-5,180.103,129.522,215.138,107.827,0.075
