 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_HF5_P6_guides.tif:22,1.138E-5,197.098,167.012,222.093,-95.511,0.072
2,BETPOP_HF5_P6_guides.tif:21,3.913E-5,190.286,166.602,221.712,-92.180,0.248
3,BETPOP_HF5_P6_guides.tif:20,1.788E-5,184.010,160.333,222.926,-88.727,0.113
4,BETPOP_HF5_P6_guides.tif:19,5.387E-5,178.607,151.220,217.734,-84.184,0.342
5,BETPOP_HF5_P6_guides.tif:22,7.366E-6,185.168,160.195,215.289,97.966,0.047
6,BETPOP_HF5_P6_guides.tif:21,1.875E-5,187.103,163.304,216.392,96.466,0.119
7,BETPOP_HF5_P6_guides.tif:20,9.126E-6,188.079,165.052,209.717,95.152,0.058
8,BETPOP_HF5_P6_guides.tif:19,2.659E-5,176.633,149.000,219.695,89.519,0.169
9,BETPOP_HF5_P6_guides.tif:18,3.946E-5,161.306,128.559,198.987,90.432,0.250
10,BETPOP_HF5_P6_guides.tif:17,3.440E-5,152.293,111.312,199.706,91.488,0.218
11,BETPOP_HF5_P6_guides.tif:16,2.101E-5,142.105,91.284,182.440,91.828,0.133
12,BETPOP_HF5_P6_guides.tif:16,1.907E-5,147.932,74.083,209.292,91.193,0.121
13,BETPOP_HF5_P6_guides.tif:17,4.449E-5,159.930,87.520,204.657,91.534,0.282
14,BETPOP_HF5_P6_guides.tif:18,7.648E-5,167.812,107.742,213.212,94.764,0.485
