"treeid","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.04,-0.197,-0.053,0.134,0.292,15157.6628670572,0.999584647689321
"10",-0.037,-0.301,-0.132,0.061,0.211,13481.9732890099,0.999864420975962
"11",-0.087,-0.373,-0.19,0.019,0.173,10099.5360555513,0.999644702953228
"12",0.072,-0.178,-0.026,0.17,0.343,11492.3348900998,1.00006366127691
"13",0.027,-0.223,-0.07,0.124,0.285,13498.7855253686,0.999805044197513
"14",-0.074,-0.36,-0.178,0.03,0.18,11255.4629419341,0.999798364243013
"15",0.133,-0.121,0.015,0.241,0.428,7280.485964949,0.999953677542803
"16",0.012,-0.261,-0.091,0.115,0.288,16177.072950019,0.999553464140445
"17",0.003,-0.253,-0.096,0.103,0.263,15581.5487380118,0.99977883291574
"18",0.071,-0.172,-0.027,0.167,0.342,10789.0677098956,0.999826968838857
"19",0.064,-0.188,-0.036,0.162,0.337,12098.0096856924,0.99985099526063
"2",0.021,-0.226,-0.073,0.117,0.281,16625.0726128606,0.999607174678175
"20",-0.082,-0.375,-0.188,0.025,0.184,10216.5539233733,0.999792938246034
"21",-0.107,-0.412,-0.213,0.004,0.163,8824.92947002427,0.999781574710416
"22",0.003,-0.252,-0.096,0.102,0.261,14279.4161790949,0.999658467287798
"23",0.018,-0.232,-0.078,0.113,0.28,13721.7447527079,0.999784089213222
"24",-0.038,-0.301,-0.134,0.058,0.217,13458.6542455209,0.999901046116481
"25",0.047,-0.217,-0.054,0.148,0.328,13468.2827229309,0.999793959765145
"26",0.052,-0.198,-0.05,0.152,0.327,11598.528825128,0.999760717432601
"27",-0.02,-0.276,-0.114,0.074,0.231,14061.1264983566,0.999996989726972
"28",-0.019,-0.28,-0.116,0.076,0.235,14949.3707746034,0.999922441132167
"29",0.054,-0.21,-0.049,0.155,0.335,12005.9383280844,0.999877731840289
"3",0.048,-0.198,-0.048,0.14,0.308,12926.2778538854,0.999895750575354
"30",0.077,-0.162,-0.021,0.171,0.342,12112.9617618132,0.999693999332955
"31",-0.023,-0.289,-0.119,0.074,0.23,14906.5074749297,0.999561116660325
"32",-0.03,-0.299,-0.126,0.069,0.222,14204.4780383914,1.00009547167988
"33",-0.328,-0.695,-0.465,-0.172,-0.003,3106.822925437,0.999996429150009
"34",0.105,-0.135,-0.001,0.203,0.39,8411.40346937414,0.999641393652259
"35",-0.123,-0.415,-0.226,-0.007,0.127,8424.11623958837,0.999619527487507
"36",0.178,-0.075,0.051,0.291,0.48,5639.0668311537,1.00013694155459
"37",0.072,-0.178,-0.029,0.17,0.341,11505.9753966202,1.00017079233965
"38",-0.019,-0.278,-0.117,0.079,0.231,16044.4790428762,0.999696050686234
"39",-0.142,-0.433,-0.248,-0.023,0.108,7019.66039907401,0.999754683821919
"4",0.047,-0.209,-0.051,0.145,0.314,14254.9060181841,0.99983174862583
"40",-0.056,-0.329,-0.153,0.045,0.197,12606.694810911,0.99971174763048
"41",0.159,-0.091,0.036,0.269,0.461,6269.91125753449,0.999772312219964
"42",0.007,-0.249,-0.089,0.103,0.261,13889.7152633131,1.0000853677037
"43",0.055,-0.197,-0.045,0.152,0.326,13734.1514630875,0.999578078294961
"44",0.095,-0.162,-0.015,0.201,0.387,9084.46946803633,0.999849430476933
"45",-0.126,-0.408,-0.228,-0.012,0.115,7916.12363095482,0.99970862383373
"46",0.215,-0.043,0.077,0.333,0.541,4260.70797366372,1.00025208259894
"47",0.032,-0.219,-0.068,0.133,0.296,14497.0416202541,0.999856832574885
"48",-0.228,-0.555,-0.35,-0.087,0.043,4582.86249576504,0.999715422916732
"49",0.073,-0.173,-0.026,0.171,0.341,12389.5592705931,0.999881421217594
"5",-0.181,-0.492,-0.291,-0.053,0.067,5467.45004614812,1.00007419617538
"50",0.124,-0.145,0.001,0.236,0.439,8793.55926704657,0.999910189141157
"51",-0.292,-0.663,-0.428,-0.13,0.01,3468.78865695989,0.999929139111992
"52",0.047,-0.225,-0.057,0.15,0.338,12375.2464978094,0.999661544403466
"53",-0.072,-0.355,-0.174,0.032,0.183,11646.918325938,0.999711912388028
"54",-0.003,-0.276,-0.102,0.097,0.264,14257.101198749,0.999554369744841
"55",0.049,-0.207,-0.053,0.147,0.323,13053.2116139459,0.999676494023118
"56",0.136,-0.118,0.017,0.245,0.437,7362.00613438342,1.00012864555451
"57",0.076,-0.199,-0.039,0.185,0.389,10876.2092543127,0.999783125918515
"58",-0.057,-0.352,-0.162,0.047,0.212,13823.4275365994,0.999788076657978
"59",0.019,-0.26,-0.084,0.124,0.299,14965.076345241,0.999805175450067
"6",-0.037,-0.308,-0.135,0.062,0.214,13161.1463480119,0.999721317270622
"60",-0.069,-0.338,-0.17,0.031,0.18,11634.8578667166,0.999725631091971
"61",-0.015,-0.274,-0.112,0.082,0.236,15224.4180826647,0.999664972120014
"62",0.053,-0.209,-0.049,0.152,0.337,13646.1738779948,0.999898787476907
"63",0.044,-0.206,-0.054,0.138,0.312,15551.8997360565,1.00008057251636
"64",0.078,-0.173,-0.022,0.177,0.354,11581.5958912679,0.999767963228865
"65",-0.006,-0.277,-0.103,0.095,0.257,14632.9402637137,0.99961128453728
"66",-0.063,-0.332,-0.161,0.036,0.181,10759.9461654982,0.999750883854706
"67",0.049,-0.206,-0.054,0.148,0.323,14137.8904347254,0.999586884966179
"68",-0.002,-0.282,-0.103,0.102,0.271,15087.9470550426,0.999705527683997
"69",-0.074,-0.35,-0.173,0.025,0.177,11469.5837257775,0.999692879224923
"7",0.045,-0.203,-0.053,0.14,0.308,15217.7692426766,0.999667855003349
"70",-0.042,-0.318,-0.139,0.058,0.218,14345.0180568747,0.999653606493549
"71",-0.116,-0.413,-0.22,-0.002,0.138,8039.49692416911,0.999732629864244
"72",0.034,-0.234,-0.069,0.134,0.318,15484.6057330545,0.99972494331209
"73",0.052,-0.204,-0.053,0.153,0.334,12356.1836365378,0.999663753524564
"74",0.075,-0.173,-0.025,0.173,0.343,10231.6341882087,0.999810217158956
"75",0.124,-0.12,0.007,0.225,0.409,7768.24854243018,0.999796322714867
"76",0.153,-0.098,0.031,0.261,0.452,6024.26121980919,0.999860278349983
"77",-0.019,-0.279,-0.116,0.077,0.239,15250.9806915769,0.999610749076488
"78",0.144,-0.107,0.024,0.25,0.444,7088.02672856456,0.999904166842883
"79",-0.191,-0.497,-0.304,-0.06,0.059,5283.48361524605,0.999791362828299
"8",0.062,-0.186,-0.038,0.16,0.323,12807.6515401196,0.999940923899342
"80",-0.111,-0.394,-0.21,-0.003,0.136,8140.1087294235,0.999845843059237
"81",-0.138,-0.431,-0.243,-0.019,0.113,7451.08378659234,1.00014042278606
"9",-0.139,-0.442,-0.246,-0.018,0.114,6898.88563523338,0.999827653379765
