"treeid","mean","p5","p25","p75","p95"
"1",0.256,-0.293,0.027,0.48,0.814
"2",-0.195,-0.733,-0.414,0.022,0.327
"3",0.188,-0.339,-0.037,0.409,0.721
"4",0.351,-0.181,0.13,0.572,0.898
"5",-0.02,-0.544,-0.236,0.195,0.504
"6",0.382,-0.143,0.16,0.6,0.925
"7",0.213,-0.326,-0.01,0.428,0.761
"8",-0.344,-0.889,-0.558,-0.122,0.179
"9",-0.606,-1.168,-0.835,-0.374,-0.044
"10",-0.417,-0.987,-0.642,-0.192,0.127
"11",-0.319,-0.847,-0.534,-0.105,0.206
"12",0.034,-0.523,-0.175,0.25,0.567
"13",0.219,-0.32,-0.004,0.439,0.757
"14",-0.197,-0.737,-0.41,0.021,0.333
"15",0.288,-0.239,0.073,0.5,0.825
"16",-0.046,-0.656,-0.298,0.206,0.566
"17",-0.013,-0.528,-0.222,0.196,0.524
"18",0.211,-0.334,-0.008,0.429,0.761
"19",0.23,-0.293,0.02,0.439,0.755
"20",0.377,-0.222,0.122,0.628,0.968
"21",-0.419,-1.013,-0.665,-0.178,0.182
"22",0.024,-0.495,-0.181,0.23,0.547
"23",0.54,0,0.311,0.761,1.095
"24",-0.017,-0.545,-0.236,0.196,0.518
"25",0.198,-0.404,-0.042,0.435,0.792
"26",0.194,-0.349,-0.035,0.418,0.743
"27",-0.401,-0.953,-0.632,-0.171,0.155
"28",-0.589,-1.135,-0.826,-0.352,-0.042
"29",-0.011,-0.614,-0.265,0.236,0.612
"30",0.155,-0.384,-0.078,0.383,0.705
"31",0.067,-0.467,-0.161,0.286,0.618
"32",-0.091,-0.648,-0.306,0.128,0.454
"33",-0.593,-1.162,-0.829,-0.36,-0.02
"34",0.657,0.115,0.43,0.875,1.204
"35",-0.752,-1.313,-0.987,-0.514,-0.181
"36",0.455,-0.108,0.233,0.685,1.01
"37",-0.093,-0.647,-0.314,0.132,0.454
"38",0.071,-0.472,-0.151,0.29,0.619
"39",-1.118,-1.694,-1.346,-0.884,-0.539
"40",-0.476,-1.042,-0.697,-0.248,0.072
"41",0.591,0.047,0.364,0.816,1.14
"42",-0.354,-0.896,-0.563,-0.141,0.176
"43",0.11,-0.439,-0.114,0.335,0.655
"44",0.401,-0.209,0.152,0.643,1.022
"45",-0.304,-0.833,-0.523,-0.081,0.239
"46",0.813,0.256,0.589,1.033,1.379
"47",0.104,-0.446,-0.119,0.33,0.648
"48",-0.11,-0.65,-0.329,0.113,0.435
"49",0.446,-0.084,0.239,0.655,0.955
"50",-0.087,-0.746,-0.348,0.182,0.576
"51",-1.511,-2.212,-1.798,-1.225,-0.836
"52",-0.099,-0.758,-0.353,0.165,0.549
"53",0.163,-0.422,-0.082,0.404,0.747
"54",0.252,-0.347,0.013,0.5,0.839
"55",0.259,-0.344,0.018,0.493,0.861
"56",0.9,0.279,0.644,1.155,1.526
"57",-0.38,-1.093,-0.661,-0.091,0.303
"58",-0.06,-0.647,-0.302,0.187,0.523
"59",-0.618,-1.226,-0.868,-0.383,-0.008
"60",-0.026,-0.556,-0.245,0.189,0.495
"61",-0.261,-0.781,-0.477,-0.052,0.282
"62",0.443,-0.147,0.198,0.686,1.052
"63",0.128,-0.407,-0.102,0.353,0.68
"64",0.574,0.029,0.357,0.794,1.111
"65",-0.189,-0.728,-0.411,0.034,0.354
"66",-0.032,-0.565,-0.25,0.185,0.497
"67",0.145,-0.396,-0.079,0.367,0.692
"68",0.122,-0.472,-0.119,0.365,0.718
"69",-0.764,-1.316,-0.999,-0.535,-0.203
"70",0.194,-0.345,-0.028,0.42,0.742
"71",-0.166,-0.717,-0.385,0.059,0.375
"72",0.443,-0.143,0.198,0.682,1.04
"73",0.253,-0.35,0.002,0.497,0.855
"74",-0.015,-0.544,-0.235,0.204,0.513
"75",0.748,0.19,0.511,0.98,1.313
"76",0.839,0.282,0.603,1.068,1.413
"77",-0.021,-0.561,-0.242,0.209,0.508
"78",0.418,-0.11,0.196,0.64,0.932
"79",-0.339,-0.87,-0.557,-0.117,0.182
"80",-0.593,-1.151,-0.821,-0.357,-0.046
"81",-0.849,-1.393,-1.068,-0.629,-0.304
