"treeid","mean","p5","p25","p75","p95"
"1",0.047,-0.184,-0.045,0.134,0.311
"2",0.012,-0.224,-0.072,0.093,0.261
"3",0.028,-0.205,-0.06,0.114,0.285
"4",0.028,-0.206,-0.058,0.113,0.274
"5",-0.135,-0.422,-0.236,-0.016,0.089
"6",-0.039,-0.294,-0.126,0.049,0.187
"7",0.034,-0.2,-0.053,0.121,0.285
"8",0.053,-0.179,-0.037,0.141,0.309
"9",-0.122,-0.411,-0.222,-0.007,0.105
"10",-0.02,-0.268,-0.106,0.068,0.216
"11",-0.074,-0.35,-0.166,0.022,0.155
"12",0.091,-0.136,-0.01,0.187,0.365
"13",0.028,-0.204,-0.059,0.117,0.274
"14",-0.057,-0.321,-0.146,0.034,0.175
"15",0.13,-0.093,0.014,0.228,0.425
"16",-0.005,-0.255,-0.093,0.081,0.248
"17",0.005,-0.238,-0.083,0.092,0.251
"18",0.064,-0.166,-0.029,0.152,0.326
"19",0.06,-0.164,-0.031,0.148,0.322
"20",-0.063,-0.339,-0.154,0.032,0.175
"21",-0.072,-0.352,-0.166,0.026,0.17
"22",-0.011,-0.258,-0.099,0.075,0.226
"23",-0.002,-0.245,-0.086,0.084,0.239
"24",-0.031,-0.286,-0.116,0.054,0.205
"25",0.044,-0.205,-0.048,0.135,0.32
"26",0.026,-0.221,-0.059,0.114,0.284
"27",-0.035,-0.29,-0.124,0.055,0.202
"28",-0.021,-0.265,-0.107,0.063,0.217
"29",0.054,-0.197,-0.04,0.147,0.337
"30",0.064,-0.166,-0.028,0.151,0.336
"31",-0.02,-0.267,-0.104,0.066,0.211
"32",-0.015,-0.259,-0.1,0.07,0.22
"33",-0.288,-0.66,-0.434,-0.12,0.006
"34",0.084,-0.146,-0.013,0.173,0.355
"35",-0.123,-0.418,-0.222,-0.006,0.108
"36",0.135,-0.095,0.013,0.237,0.43
"37",0.045,-0.184,-0.045,0.134,0.299
"38",-0.019,-0.266,-0.108,0.069,0.22
"39",-0.113,-0.395,-0.211,-0.003,0.104
"40",-0.037,-0.299,-0.121,0.05,0.198
"41",0.122,-0.109,0.007,0.222,0.41
"42",0.007,-0.234,-0.079,0.091,0.252
"43",0.072,-0.152,-0.019,0.163,0.333
"44",0.063,-0.176,-0.033,0.155,0.347
"45",-0.111,-0.389,-0.206,-0.003,0.113
"46",0.164,-0.071,0.034,0.273,0.47
"47",0.06,-0.171,-0.029,0.15,0.317
"48",-0.17,-0.483,-0.278,-0.04,0.062
"49",0.073,-0.148,-0.018,0.165,0.33
"50",0.118,-0.125,0.001,0.22,0.43
"51",-0.209,-0.576,-0.334,-0.055,0.053
"52",0.059,-0.179,-0.037,0.154,0.338
"53",-0.082,-0.358,-0.177,0.016,0.156
"54",-0.027,-0.294,-0.118,0.063,0.226
"55",0.035,-0.202,-0.053,0.12,0.293
"56",0.102,-0.134,-0.003,0.196,0.396
"57",0.062,-0.193,-0.039,0.16,0.36
"58",-0.055,-0.33,-0.145,0.037,0.188
"59",0.039,-0.209,-0.053,0.129,0.313
"60",-0.053,-0.3,-0.139,0.033,0.173
"61",0.003,-0.244,-0.081,0.087,0.243
"62",0.045,-0.199,-0.046,0.137,0.312
"63",0.032,-0.203,-0.056,0.118,0.288
"64",0.08,-0.147,-0.015,0.176,0.35
"65",0.008,-0.239,-0.08,0.096,0.254
"66",-0.055,-0.321,-0.144,0.036,0.177
"67",0.036,-0.199,-0.052,0.124,0.289
"68",-0.003,-0.261,-0.091,0.087,0.253
"69",-0.066,-0.334,-0.156,0.027,0.167
"70",-0.038,-0.287,-0.123,0.049,0.19
"71",-0.077,-0.342,-0.169,0.02,0.147
"72",0.021,-0.231,-0.07,0.114,0.287
"73",0.036,-0.206,-0.055,0.124,0.306
"74",0.054,-0.17,-0.037,0.14,0.315
"75",0.096,-0.135,-0.005,0.192,0.373
"76",0.12,-0.099,0.008,0.214,0.405
"77",-0.028,-0.279,-0.118,0.061,0.211
"78",0.114,-0.106,0.005,0.21,0.391
"79",-0.165,-0.479,-0.271,-0.034,0.068
"80",-0.081,-0.348,-0.17,0.013,0.147
"81",-0.124,-0.415,-0.222,-0.009,0.103
