"treeid","mean","p5","p25","p75","p95"
"1",0.049,-0.185,-0.046,0.142,0.316
"2",0.013,-0.232,-0.076,0.1,0.267
"3",0.027,-0.211,-0.062,0.116,0.275
"4",0.028,-0.213,-0.065,0.121,0.278
"5",-0.141,-0.433,-0.242,-0.021,0.089
"6",-0.046,-0.302,-0.133,0.044,0.183
"7",0.034,-0.206,-0.06,0.127,0.307
"8",0.056,-0.175,-0.035,0.145,0.317
"9",-0.132,-0.425,-0.234,-0.014,0.096
"10",-0.02,-0.277,-0.117,0.074,0.224
"11",-0.084,-0.359,-0.179,0.019,0.155
"12",0.093,-0.134,-0.008,0.188,0.364
"13",0.026,-0.216,-0.066,0.118,0.282
"14",-0.065,-0.326,-0.16,0.029,0.175
"15",0.133,-0.102,0.016,0.237,0.421
"16",-0.002,-0.273,-0.1,0.093,0.259
"17",0.005,-0.237,-0.084,0.093,0.255
"18",0.067,-0.174,-0.03,0.165,0.335
"19",0.062,-0.166,-0.034,0.153,0.332
"20",-0.067,-0.355,-0.161,0.032,0.178
"21",-0.078,-0.362,-0.177,0.023,0.164
"22",-0.01,-0.263,-0.1,0.08,0.238
"23",-0.008,-0.261,-0.097,0.085,0.245
"24",-0.033,-0.285,-0.123,0.056,0.206
"25",0.047,-0.201,-0.054,0.145,0.322
"26",0.026,-0.216,-0.065,0.116,0.282
"27",-0.036,-0.296,-0.128,0.056,0.207
"28",-0.016,-0.261,-0.103,0.074,0.224
"29",0.053,-0.193,-0.047,0.144,0.329
"30",0.067,-0.167,-0.025,0.156,0.334
"31",-0.024,-0.267,-0.115,0.065,0.218
"32",-0.017,-0.272,-0.107,0.069,0.227
"33",-0.309,-0.686,-0.453,-0.14,0.002
"34",0.087,-0.148,-0.015,0.184,0.361
"35",-0.128,-0.421,-0.229,-0.011,0.114
"36",0.141,-0.095,0.021,0.244,0.436
"37",0.048,-0.192,-0.043,0.139,0.306
"38",-0.02,-0.274,-0.108,0.07,0.223
"39",-0.118,-0.402,-0.219,-0.004,0.118
"40",-0.038,-0.296,-0.126,0.052,0.203
"41",0.13,-0.108,0.012,0.233,0.426
"42",0.014,-0.227,-0.076,0.104,0.265
"43",0.076,-0.147,-0.02,0.169,0.34
"44",0.07,-0.179,-0.03,0.166,0.359
"45",-0.12,-0.41,-0.218,-0.005,0.11
"46",0.172,-0.076,0.04,0.281,0.485
"47",0.063,-0.169,-0.03,0.154,0.332
"48",-0.18,-0.499,-0.295,-0.045,0.068
"49",0.079,-0.155,-0.017,0.172,0.358
"50",0.118,-0.135,-0.001,0.227,0.434
"51",-0.236,-0.601,-0.368,-0.077,0.038
"52",0.068,-0.179,-0.031,0.166,0.349
"53",-0.082,-0.365,-0.178,0.02,0.159
"54",-0.021,-0.285,-0.114,0.074,0.232
"55",0.036,-0.218,-0.056,0.129,0.294
"56",0.11,-0.13,-0.002,0.21,0.406
"57",0.064,-0.19,-0.036,0.165,0.353
"58",-0.058,-0.335,-0.152,0.041,0.19
"59",0.041,-0.224,-0.056,0.137,0.329
"60",-0.06,-0.323,-0.153,0.034,0.179
"61",0.003,-0.246,-0.088,0.095,0.249
"62",0.045,-0.206,-0.051,0.142,0.323
"63",0.032,-0.21,-0.059,0.124,0.297
"64",0.086,-0.146,-0.015,0.179,0.362
"65",0.008,-0.231,-0.079,0.096,0.26
"66",-0.056,-0.319,-0.148,0.036,0.171
"67",0.04,-0.201,-0.049,0.129,0.292
"68",-0.006,-0.273,-0.102,0.087,0.261
"69",-0.069,-0.339,-0.164,0.027,0.17
"70",-0.04,-0.294,-0.131,0.051,0.204
"71",-0.089,-0.366,-0.185,0.012,0.141
"72",0.023,-0.234,-0.071,0.115,0.292
"73",0.036,-0.223,-0.063,0.131,0.311
"74",0.059,-0.177,-0.034,0.148,0.328
"75",0.102,-0.13,-0.004,0.202,0.379
"76",0.125,-0.115,0.012,0.227,0.414
"77",-0.029,-0.282,-0.118,0.062,0.212
"78",0.119,-0.123,0.004,0.223,0.415
"79",-0.172,-0.471,-0.28,-0.043,0.069
"80",-0.085,-0.36,-0.18,0.015,0.151
"81",-0.134,-0.422,-0.242,-0.016,0.101
