"treeid","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.23,-0.294,0.015,0.44,0.766,4305.90064676274,1.00019471954375
"10",-0.373,-0.889,-0.588,-0.16,0.151,4418.32952060739,0.999428850137086
"11",-0.288,-0.809,-0.507,-0.075,0.222,4211.37995290483,0.999247530875873
"12",0.093,-0.436,-0.12,0.309,0.63,4168.32918050293,1.00038696925781
"13",0.23,-0.292,0.015,0.438,0.735,4380.60945583912,0.999911899914576
"14",-0.166,-0.671,-0.376,0.043,0.343,4045.94502128708,0.999932232519479
"15",0.298,-0.23,0.08,0.514,0.832,4304.51941233021,1.00131294942284
"16",-0.064,-0.632,-0.296,0.164,0.5,4734.0907033496,1.00049499707494
"17",-0.007,-0.533,-0.217,0.209,0.496,3801.50553825278,1.00034659203375
"18",0.235,-0.316,0.022,0.455,0.779,4159.3012677984,0.999890763271225
"19",0.227,-0.291,0.004,0.443,0.755,4031.83255851858,0.999409153025662
"2",-0.224,-0.749,-0.433,-0.005,0.297,3904.45801570091,0.999311474049066
"20",0.384,-0.191,0.145,0.614,0.976,4009.01666743074,0.999452987996341
"21",-0.368,-0.965,-0.613,-0.116,0.214,4731.04983332631,0.999733150346816
"22",-0.001,-0.529,-0.213,0.214,0.508,4127.06688792735,0.999450456151534
"23",0.482,-0.058,0.259,0.706,1.036,4260.66498437324,0.99987703083149
"24",-0.027,-0.547,-0.246,0.195,0.496,4042.52574922835,0.999715386046372
"25",0.178,-0.388,-0.061,0.404,0.769,4423.50507530909,1.00021907313905
"26",0.146,-0.376,-0.074,0.365,0.673,3819.09893540521,0.999668150519644
"27",-0.389,-0.913,-0.6,-0.178,0.133,4587.76513730645,0.999884622935788
"28",-0.551,-1.099,-0.775,-0.326,-0.012,3565.77603461183,0.999885136317694
"29",0,-0.574,-0.244,0.237,0.576,3741.11550886121,0.999701018980386
"3",0.129,-0.404,-0.085,0.345,0.658,4106.64895868847,1.00038001573096
"30",0.122,-0.425,-0.097,0.339,0.666,3954.00059782071,0.999296438351965
"31",0.045,-0.456,-0.162,0.256,0.545,4157.75229445793,1.00065219860244
"32",-0.074,-0.612,-0.291,0.148,0.469,3546.96990993346,1.00009274460108
"33",-0.63,-1.164,-0.85,-0.412,-0.099,3566.91198671738,0.999985307903939
"34",0.56,0.021,0.339,0.781,1.089,3908.39784868302,0.999916004969284
"35",-0.794,-1.389,-1.018,-0.552,-0.226,3794.98462029194,1.00027397338464
"36",0.359,-0.159,0.143,0.57,0.902,3739.74844062837,1.00039603595049
"37",-0.128,-0.66,-0.342,0.088,0.393,4325.17388761966,1.00020257657695
"38",0.051,-0.489,-0.161,0.264,0.58,4084.11838329542,1.00117672189113
"39",-1.033,-1.568,-1.255,-0.814,-0.482,3594.79096760701,1.00067333845858
"4",0.291,-0.225,0.08,0.501,0.828,3689.712457023,0.999460946061247
"40",-0.415,-0.959,-0.631,-0.187,0.11,4247.16355631817,0.999504939398641
"41",0.55,0.039,0.33,0.769,1.078,4124.74256064976,1.00086735740795
"42",-0.303,-0.854,-0.517,-0.086,0.219,4864.12927733738,0.999754877161824
"43",0.199,-0.333,-0.022,0.419,0.734,4843.81116129757,0.999587219706533
"44",0.339,-0.233,0.108,0.57,0.918,4826.0306855074,0.999728261256134
"45",-0.301,-0.826,-0.517,-0.089,0.213,4465.83436744707,0.999300053703718
