"treeid","mean","p5","p25","p75","p95"
"1",0.056,-0.187,-0.04,0.149,0.327
"2",0.012,-0.241,-0.077,0.101,0.267
"3",0.026,-0.213,-0.061,0.115,0.281
"4",0.026,-0.221,-0.065,0.119,0.281
"5",-0.131,-0.427,-0.238,-0.011,0.104
"6",-0.043,-0.313,-0.132,0.05,0.201
"7",0.039,-0.202,-0.052,0.129,0.301
"8",0.059,-0.176,-0.036,0.151,0.332
"9",-0.148,-0.462,-0.256,-0.02,0.093
"10",-0.018,-0.269,-0.109,0.071,0.225
"11",-0.087,-0.366,-0.184,0.012,0.152
"12",0.1,-0.144,-0.007,0.202,0.386
"13",0.029,-0.216,-0.062,0.121,0.286
"14",-0.06,-0.327,-0.153,0.036,0.181
"15",0.138,-0.101,0.014,0.246,0.444
"16",-0.007,-0.274,-0.101,0.088,0.249
"17",0.008,-0.246,-0.087,0.098,0.261
"18",0.072,-0.164,-0.027,0.17,0.347
"19",0.069,-0.173,-0.028,0.166,0.344
"20",-0.065,-0.35,-0.164,0.034,0.189
"21",-0.061,-0.347,-0.159,0.038,0.192
"22",-0.016,-0.272,-0.108,0.077,0.234
"23",-0.018,-0.27,-0.108,0.074,0.228
"24",-0.03,-0.292,-0.123,0.061,0.22
"25",0.046,-0.213,-0.051,0.142,0.328
"26",0.014,-0.237,-0.078,0.106,0.271
"27",-0.048,-0.312,-0.14,0.045,0.2
"28",-0.016,-0.271,-0.107,0.074,0.232
"29",0.058,-0.198,-0.043,0.157,0.352
"30",0.078,-0.164,-0.02,0.175,0.358
"31",-0.013,-0.269,-0.104,0.078,0.235
"32",0.002,-0.249,-0.087,0.091,0.253
"33",-0.313,-0.703,-0.459,-0.144,0.002
"34",0.094,-0.147,-0.009,0.189,0.382
"35",-0.159,-0.479,-0.266,-0.029,0.09
"36",0.138,-0.099,0.016,0.241,0.438
"37",0.045,-0.2,-0.046,0.137,0.309
"38",-0.016,-0.273,-0.107,0.076,0.232
"39",-0.123,-0.412,-0.223,-0.006,0.111
"40",-0.034,-0.301,-0.125,0.058,0.212
"41",0.113,-0.123,0,0.214,0.402
"42",-0.001,-0.26,-0.092,0.091,0.251
"43",0.084,-0.16,-0.016,0.181,0.363
"44",0.06,-0.191,-0.039,0.155,0.346
"45",-0.12,-0.412,-0.221,-0.006,0.124
"46",0.17,-0.07,0.038,0.282,0.483
"47",0.08,-0.166,-0.02,0.179,0.355
"48",-0.169,-0.48,-0.277,-0.04,0.068
"49",0.086,-0.155,-0.017,0.182,0.366
"50",0.113,-0.136,-0.004,0.219,0.424
"51",-0.247,-0.64,-0.377,-0.083,0.038
"52",0.088,-0.176,-0.023,0.197,0.391
"53",-0.079,-0.368,-0.177,0.023,0.164
"54",-0.034,-0.313,-0.131,0.061,0.23
"55",0.034,-0.214,-0.061,0.124,0.303
"56",0.134,-0.113,0.009,0.243,0.442
"57",0.071,-0.194,-0.035,0.172,0.38
"58",-0.05,-0.334,-0.148,0.05,0.203
"59",0.013,-0.249,-0.084,0.11,0.282
"60",-0.056,-0.319,-0.146,0.035,0.182
"61",0.007,-0.241,-0.079,0.096,0.255
"62",0.051,-0.201,-0.047,0.146,0.335
"63",0.047,-0.204,-0.046,0.14,0.319
"64",0.079,-0.163,-0.022,0.178,0.362
"65",-0.022,-0.287,-0.115,0.071,0.228
"66",-0.056,-0.319,-0.143,0.036,0.183
"67",0.049,-0.189,-0.045,0.142,0.315
"68",-0.008,-0.287,-0.104,0.088,0.266
"69",-0.067,-0.348,-0.165,0.029,0.175
"70",-0.047,-0.316,-0.138,0.05,0.195
"71",-0.081,-0.359,-0.181,0.02,0.16
"72",0.034,-0.23,-0.063,0.133,0.311
"73",0.044,-0.21,-0.053,0.142,0.314
"74",0.066,-0.178,-0.031,0.163,0.341
"75",0.105,-0.14,-0.002,0.21,0.39
"76",0.136,-0.104,0.014,0.238,0.438
"77",-0.024,-0.292,-0.114,0.069,0.223
"78",0.115,-0.124,0.002,0.216,0.409
"79",-0.181,-0.494,-0.295,-0.045,0.06
"80",-0.09,-0.373,-0.187,0.012,0.153
"81",-0.133,-0.422,-0.238,-0.011,0.103
