"treeid","mean","p5","p25","p75","p95"
"1",0.059,-0.186,-0.041,0.154,0.332
"2",0.015,-0.237,-0.078,0.108,0.272
"3",0.025,-0.227,-0.069,0.116,0.292
"4",0.025,-0.226,-0.068,0.12,0.283
"5",-0.137,-0.438,-0.241,-0.014,0.107
"6",-0.045,-0.313,-0.143,0.053,0.204
"7",0.045,-0.207,-0.05,0.139,0.308
"8",0.058,-0.186,-0.037,0.151,0.322
"9",-0.154,-0.459,-0.261,-0.029,0.097
"10",-0.019,-0.284,-0.116,0.08,0.236
"11",-0.091,-0.379,-0.191,0.015,0.15
"12",0.101,-0.145,-0.007,0.204,0.389
"13",0.028,-0.22,-0.068,0.12,0.293
"14",-0.066,-0.34,-0.164,0.035,0.178
"15",0.145,-0.101,0.024,0.25,0.443
"16",-0.005,-0.275,-0.101,0.09,0.261
"17",0.013,-0.245,-0.081,0.107,0.273
"18",0.076,-0.166,-0.026,0.175,0.347
"19",0.07,-0.171,-0.029,0.166,0.348
"20",-0.065,-0.349,-0.163,0.036,0.192
"21",-0.065,-0.352,-0.163,0.036,0.2
"22",-0.015,-0.272,-0.109,0.079,0.238
"23",-0.017,-0.275,-0.112,0.078,0.235
"24",-0.034,-0.305,-0.127,0.062,0.221
"25",0.049,-0.205,-0.051,0.147,0.329
"26",0.012,-0.245,-0.082,0.107,0.271
"27",-0.047,-0.308,-0.139,0.046,0.196
"28",-0.016,-0.273,-0.108,0.075,0.236
"29",0.059,-0.198,-0.041,0.155,0.348
"30",0.083,-0.158,-0.018,0.178,0.358
"31",-0.012,-0.27,-0.11,0.086,0.246
"32",0.005,-0.253,-0.085,0.098,0.254
"33",-0.321,-0.709,-0.469,-0.154,0.002
"34",0.099,-0.141,-0.004,0.196,0.379
"35",-0.163,-0.474,-0.276,-0.034,0.087
"36",0.146,-0.105,0.023,0.255,0.456
"37",0.048,-0.197,-0.049,0.141,0.318
"38",-0.017,-0.269,-0.112,0.075,0.225
"39",-0.131,-0.427,-0.233,-0.014,0.118
"40",-0.032,-0.293,-0.124,0.062,0.214
"41",0.12,-0.126,0.005,0.223,0.417
"42",-0.002,-0.262,-0.093,0.094,0.253
"43",0.087,-0.154,-0.017,0.186,0.364
"44",0.063,-0.195,-0.042,0.162,0.357
"45",-0.124,-0.424,-0.224,-0.009,0.121
"46",0.179,-0.067,0.048,0.29,0.491
"47",0.084,-0.161,-0.02,0.182,0.365
"48",-0.175,-0.487,-0.286,-0.046,0.077
"49",0.087,-0.155,-0.017,0.189,0.366
"50",0.113,-0.15,-0.005,0.221,0.431
"51",-0.265,-0.664,-0.405,-0.099,0.031
"52",0.089,-0.176,-0.019,0.193,0.391
"53",-0.08,-0.374,-0.18,0.028,0.168
"54",-0.035,-0.315,-0.134,0.065,0.236
"55",0.033,-0.226,-0.063,0.129,0.306
"56",0.136,-0.118,0.012,0.243,0.447
"57",0.073,-0.202,-0.039,0.177,0.388
"58",-0.049,-0.325,-0.146,0.051,0.204
"59",0.011,-0.269,-0.089,0.11,0.291
"60",-0.057,-0.325,-0.149,0.039,0.186
"61",0.006,-0.241,-0.086,0.096,0.261
"62",0.055,-0.205,-0.047,0.155,0.341
"63",0.047,-0.201,-0.049,0.142,0.321
"64",0.083,-0.163,-0.018,0.182,0.356
"65",-0.019,-0.281,-0.112,0.075,0.235
"66",-0.06,-0.332,-0.157,0.04,0.186
"67",0.052,-0.193,-0.045,0.146,0.321
"68",-0.009,-0.283,-0.109,0.09,0.262
"69",-0.069,-0.348,-0.168,0.032,0.177
"70",-0.047,-0.308,-0.141,0.048,0.196
"71",-0.086,-0.367,-0.182,0.016,0.155
"72",0.033,-0.228,-0.065,0.13,0.309
"73",0.046,-0.216,-0.058,0.145,0.33
"74",0.067,-0.175,-0.033,0.162,0.34
"75",0.113,-0.124,0.001,0.212,0.405
"76",0.139,-0.109,0.019,0.244,0.452
"77",-0.025,-0.28,-0.119,0.068,0.229
"78",0.123,-0.119,0.006,0.224,0.419
"79",-0.183,-0.5,-0.296,-0.051,0.066
"80",-0.094,-0.374,-0.191,0.01,0.147
"81",-0.137,-0.429,-0.239,-0.018,0.101
