"treeid","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.261,-0.249,0.033,0.476,0.787,4868.52715104896,1.00057106619578
"10",-0.366,-0.896,-0.584,-0.148,0.17,4123.01517219438,1.00010164764285
"11",-0.315,-0.868,-0.539,-0.083,0.218,4325.33855237862,1.00194826463199
"12",0.11,-0.43,-0.11,0.335,0.658,4664.84174175898,1.00009217307548
"13",0.239,-0.307,0.011,0.467,0.782,5281.97576266712,0.999942399212778
"14",-0.167,-0.695,-0.38,0.042,0.361,4962.68397744726,1.0001070794408
"15",0.317,-0.222,0.096,0.537,0.868,4634.54284826551,1.00086625337555
"16",-0.077,-0.685,-0.311,0.167,0.516,5038.49745869316,1.00014058429127
"17",-0.011,-0.524,-0.222,0.204,0.507,4349.43268705607,1.00014637578538
"18",0.248,-0.276,0.033,0.463,0.766,5158.87812533839,1.00078615961426
"19",0.241,-0.297,0.016,0.459,0.778,4904.0956741376,1.00042530524961
"2",-0.219,-0.736,-0.43,-0.006,0.306,4330.89901600552,1.0006730382444
"20",0.387,-0.205,0.14,0.626,1.011,5892.37288874031,1.0005927934675
"21",-0.336,-0.941,-0.589,-0.075,0.263,5915.61058662547,0.999369683432721
"22",-0.026,-0.559,-0.242,0.186,0.504,5534.3610827996,0.999363850489869
"23",0.453,-0.08,0.224,0.682,1.011,4843.43623151309,1.00004275698666
"24",-0.036,-0.583,-0.26,0.197,0.51,3865.17546109996,1.00113152524857
"25",0.18,-0.43,-0.066,0.423,0.798,5999.28580323306,1.00000494227805
"26",0.103,-0.432,-0.118,0.316,0.642,4203.4623045268,0.999903905529098
"27",-0.431,-0.977,-0.649,-0.209,0.136,4642.35300133778,1.00019133289994
"28",-0.554,-1.082,-0.78,-0.336,-0.021,4516.9443219473,1.00001418767932
"29",0.005,-0.587,-0.233,0.246,0.597,4807.10588782661,0.99945830738368
"3",0.134,-0.401,-0.088,0.353,0.68,4084.21631391493,1.00078185528178
"30",0.168,-0.378,-0.058,0.388,0.708,4594.06086427308,1.00018158001282
"31",0.085,-0.448,-0.131,0.305,0.616,3602.69687950529,0.999848552408557
"32",0.007,-0.553,-0.227,0.242,0.551,4019.07345786698,1.00008213985453
"33",-0.647,-1.222,-0.87,-0.418,-0.092,3560.86763293357,1.00142612141623
"34",0.616,0.08,0.387,0.838,1.167,4123.6610614694,0.999603121494525
"35",-0.889,-1.477,-1.13,-0.642,-0.31,3564.47574718723,1.00082387647321
"36",0.365,-0.17,0.14,0.58,0.925,4415.39530791775,1.00031979639758
"37",-0.145,-0.672,-0.362,0.073,0.38,4778.00454964828,0.999470516573789
"38",0.059,-0.487,-0.166,0.283,0.609,4093.05641644598,1.00046424966881
"39",-1.068,-1.646,-1.3,-0.829,-0.506,3856.34628131872,0.99991686964499
"4",0.297,-0.257,0.069,0.523,0.847,5179.4393493549,1.00039943607404
"40",-0.405,-0.951,-0.623,-0.185,0.141,4741.75957163329,0.99983831658883
"41",0.478,-0.071,0.246,0.701,1.045,3893.2203462262,1.00072293519643
"42",-0.361,-0.912,-0.588,-0.136,0.188,4268.14755251275,0.999692150221828
"43",0.233,-0.32,0.009,0.456,0.763,5080.63029355043,1.00035485515255
"44",0.289,-0.317,0.051,0.53,0.914,5528.1209647799,1.00116537058
"45",-0.317,-0.871,-0.53,-0.101,0.215,4458.12025950565,0.999133163276356
"46",0.717,0.16,0.489,0.946,1.273,4142.32089849037,0.999735418001795
"47",0.289,-0.252,0.07,0.507,0.844,3859.08892943169,1.00031345775792
"48",0.008,-0.53,-0.208,0.235,0.543,4760.88734654683,1.00022270167173
"49",0.489,-0.051,0.265,0.714,1.039,4146.24648151576,0.999605339792646
"5",0.05,-0.497,-0.164,0.272,0.582,4802.17764743634,1.00041231954419
"50",-0.013,-0.676,-0.282,0.255,0.654,4666.59441650816,1.00069003062691
"51",-1.329,-2.031,-1.616,-1.037,-0.641,1947.23819768049,1.00189886991077
"52",0.064,-0.562,-0.2,0.327,0.71,4575.76395234485,1.00041287721634
"53",0.085,-0.485,-0.158,0.327,0.682,4331.36636722875,0.999911522055569
"54",0.076,-0.592,-0.189,0.345,0.742,3602.33264833194,0.999920518667392
"55",0.203,-0.371,-0.035,0.434,0.788,4132.09413883356,0.999515181577441
"56",0.921,0.314,0.672,1.172,1.547,3475.96925036374,1.00009692558749
"57",-0.326,-1.02,-0.607,-0.04,0.35,5296.34917494036,0.999488230087565
"58",-0.058,-0.651,-0.297,0.177,0.524,4798.04123361562,1.00006713904976
"59",-0.591,-1.23,-0.846,-0.327,0.012,5147.61098278427,0.999922013945955
"6",0.343,-0.185,0.122,0.559,0.872,5022.07911932929,1.00004085925998
"60",0.001,-0.534,-0.216,0.216,0.526,5341.31933221747,1.00032518966166
"61",-0.152,-0.691,-0.372,0.063,0.367,5424.05435486889,1.0000630327147
"62",0.446,-0.164,0.199,0.7,1.036,5018.4345786417,1.0000080943405
"63",0.133,-0.418,-0.091,0.352,0.672,4567.48236654196,1.00071096560983
"64",0.605,0.044,0.376,0.833,1.156,3813.31018710052,0.999229917748864
"65",-0.212,-0.768,-0.439,0.02,0.347,4368.65494537308,0.999613689097266
"66",-0.038,-0.58,-0.263,0.19,0.509,4150.95188678349,1.00023135874207
"67",0.138,-0.407,-0.082,0.37,0.66,5243.25428342687,0.999960074044523
"68",0.092,-0.507,-0.161,0.343,0.711,5446.81236886838,0.999138482565552
"69",-0.727,-1.275,-0.955,-0.5,-0.188,3760.4054935221,1.00027579332057
"7",0.208,-0.338,-0.022,0.434,0.762,4370.17153238692,0.999914156013387
"70",0.161,-0.36,-0.055,0.377,0.714,4159.85878418542,1.00064202216139
"71",-0.073,-0.624,-0.291,0.153,0.461,4537.7035979293,1.00004322577614
"72",0.408,-0.182,0.16,0.66,0.994,4701.78570991408,1.00004785562826
"73",0.253,-0.328,0.018,0.489,0.835,5123.48484641625,1.00057502775028
"74",-0.021,-0.543,-0.242,0.201,0.519,4889.24706575166,0.999897699962321
"75",0.707,0.148,0.473,0.935,1.28,3203.32951071516,1.00140288780168
"76",0.802,0.258,0.565,1.027,1.367,3183.33610280508,1.00104332205408
"77",-0.052,-0.579,-0.272,0.169,0.475,4651.6720926878,0.999453255333228
"78",0.354,-0.214,0.131,0.578,0.903,4380.70512936412,1.00019869673129
"79",-0.337,-0.88,-0.543,-0.126,0.185,4879.43452986797,0.999362496659118
"8",-0.335,-0.891,-0.56,-0.11,0.192,4949.13659491823,1.00010828849126
"80",-0.518,-1.072,-0.742,-0.294,0.033,4341.1704623614,1.00140416412503
"81",-0.852,-1.44,-1.081,-0.617,-0.286,4471.49389142674,0.999748763761509
"9",-0.65,-1.212,-0.875,-0.42,-0.106,4317.22545668972,0.999944000668508
