"treeid","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.059,-0.211,-0.053,0.169,0.346,9895.42640605604,0.999915375545263
"10",-0.055,-0.338,-0.16,0.053,0.213,9322.8155430536,0.999871271417711
"11",-0.113,-0.406,-0.223,0,0.158,7752.35046721232,1.00031340435685
"12",0.095,-0.176,-0.018,0.207,0.391,9817.80457866471,0.999809478691145
"13",0.03,-0.243,-0.08,0.139,0.314,10475.4130377085,0.999643002725714
"14",-0.076,-0.367,-0.185,0.036,0.199,10293.3088310173,0.999764426369152
"15",0.155,-0.12,0.029,0.271,0.464,6948.42642696436,0.999703614980352
"16",-0.007,-0.306,-0.122,0.107,0.299,10900.7837017305,0.99991370239084
"17",0.005,-0.27,-0.104,0.113,0.284,11002.6163370964,0.999758526173833
"18",0.116,-0.155,0.001,0.227,0.409,7486.38920892204,0.999883564627433
"19",0.079,-0.19,-0.033,0.189,0.364,9187.13022489634,0.999881144594107
"2",0.021,-0.246,-0.084,0.127,0.293,9954.51332379002,0.999903411357398
"20",-0.07,-0.377,-0.186,0.048,0.22,9850.10418941279,0.999897783050756
"21",-0.12,-0.447,-0.237,0.003,0.172,8389.24677634989,0.999878370093406
"22",-0.005,-0.288,-0.115,0.106,0.28,10630.7523986266,1.00005907944967
"23",0.006,-0.272,-0.103,0.116,0.291,9812.60114833177,1.0006823526388
"24",-0.055,-0.343,-0.164,0.057,0.226,9325.34479689185,0.99961741733162
"25",0.025,-0.263,-0.09,0.135,0.323,9722.00336752692,0.999760449291676
"26",0.034,-0.252,-0.078,0.149,0.324,9145.97263261106,0.999960016715571
"27",-0.029,-0.308,-0.135,0.08,0.243,9271.04028945388,0.999638315392273
"28",-0.01,-0.292,-0.119,0.098,0.271,8957.4467541016,0.999943515896825
"29",0.051,-0.245,-0.07,0.168,0.36,10310.9203926595,0.999904867974931
"3",0.052,-0.214,-0.057,0.158,0.34,10097.9420641074,0.999840082253736
"30",0.141,-0.142,0.015,0.26,0.455,8680.77227630005,0.999704790903478
"31",0.02,-0.261,-0.086,0.129,0.3,9888.78390634553,0.999983532829104
"32",0.046,-0.227,-0.061,0.151,0.325,9668.05649816031,0.999795057151123
"33",-0.392,-0.764,-0.538,-0.234,-0.043,3140.15336310865,1.00058156934857
"34",0.123,-0.151,0,0.235,0.42,8331.28247120858,0.999860377177193
"35",-0.234,-0.557,-0.36,-0.095,0.053,4780.50986911273,1.00061497704004
"36",0.161,-0.117,0.036,0.278,0.471,7486.15495233179,1.00004904445283
"37",0.066,-0.204,-0.044,0.173,0.354,8882.86717336696,0.999806089301164
"38",-0.042,-0.324,-0.15,0.068,0.228,9474.245826599,0.999872255304927
