"treeid","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.267,-0.282,0.031,0.498,0.825,2769.3258815745,1.00101203687709
"10",-0.51,-1.064,-0.741,-0.28,0.055,3490.76529819997,0.999950606851435
"11",-0.364,-0.918,-0.588,-0.133,0.193,3540.24157015499,0.99924560033183
"12",-0.016,-0.582,-0.247,0.212,0.549,3824.14644990273,0.999734916899384
"13",0.211,-0.354,-0.027,0.447,0.785,3446.52942824576,0.999685775990038
"14",-0.219,-0.801,-0.455,0.016,0.347,3262.00643737475,1.00016743841244
"15",0.24,-0.317,0.016,0.468,0.779,3745.9548118016,0.99966891094592
"16",-0.055,-0.7,-0.31,0.204,0.561,4311.75863605205,0.999679637490999
"17",-0.025,-0.576,-0.256,0.203,0.546,3943.21197643654,1.00076478610636
"18",0.292,-0.27,0.062,0.53,0.858,3379.50461266215,1.00141151229451
"19",0.244,-0.322,0.012,0.479,0.816,3610.10593042258,1.00003038002939
"2",-0.194,-0.743,-0.425,0.038,0.362,2623.61906348391,1.00022985900408
"20",0.445,-0.171,0.183,0.706,1.075,3907.35036502855,1.00065236057741
"21",-0.47,-1.086,-0.721,-0.218,0.145,4160.30894392983,0.999511724382015
"22",0.041,-0.527,-0.186,0.275,0.599,3759.4911985,0.999491892355208
"23",0.586,0.001,0.342,0.827,1.174,3619.68885030708,1.00046737974137
"24",-0.073,-0.636,-0.301,0.155,0.477,2770.14610928067,0.999605069085336
"25",0.111,-0.515,-0.132,0.357,0.733,3421.25327153686,0.999909809570817
"26",0.15,-0.411,-0.096,0.383,0.718,3218.42133774981,0.999996482711578
"27",-0.412,-0.983,-0.647,-0.183,0.147,3240.09526317505,0.999451203562997
"28",-0.621,-1.188,-0.86,-0.386,-0.077,3422.83088963624,0.999943851304189
"29",-0.075,-0.684,-0.329,0.175,0.532,3811.73352349634,0.999501959543699
"3",0.221,-0.339,-0.008,0.449,0.779,3436.48695553127,1.00081177077204
"30",0.317,-0.258,0.085,0.542,0.88,3182.31026930056,0.999776925950476
"31",0.22,-0.35,-0.013,0.448,0.796,3274.02887181311,0.999501850911296
"32",0.15,-0.426,-0.087,0.381,0.725,3146.43575309141,1.0005547780263
