year,month,tmax,tmin,ppt,soilMoisture,vpd,pdsi,downwardRadiation,tmean
2016,1,4.4,-4.9,73.9,99.9,0.26,-3.34,74.2,-0.25
2016,2,6.5,-4.7,106.2,99.9,0.28,-2.9,106,0.8999999999999999
2016,3,11,0.7,77.1,99.9,0.44,-3.32,146.1,5.85
2016,4,13.9,2.5,84.3,91.8,0.57,-3.33,209.9,8.2
2016,5,20.9,8.8,62.1,58.4,0.79,-3.26,200.6,14.85
2016,6,26.2,13.8,38.8,32.5,1.1,-3.73,254.4,20
2016,7,30.5,18.2,65.6,23.5,1.36,-3.85,233.3,24.35
2016,8,30.7,18.2,46.8,18.6,1.28,-4.54,233.3,24.45
2016,9,25.4,13.9,61.8,15.4,0.83,-4.63,153.1,19.65
2016,10,18.5,6.6,118.5,56.7,0.52,-3.95,111.2,12.55
2016,11,12.7,1.9,67.2,71.1,0.41,-4.15,74.1,7.3
2016,12,5.3,-3.6,89.8,99.9,0.26,-4.18,59.7,0.8499999999999999
2017,1,5.4,-3.2,109.9,99.9,0.22,-3.74,61.1,1.1
2017,2,7.2,-3.3,82.4,99.9,0.3,-3.93,109.8,1.9500000000000002
2017,3,6.5,-3.9,105.1,99.9,0.37,-3.43,143.7,1.3
2017,4,16.9,5.2,143,99.9,0.57,-2.37,169,11.049999999999999
2017,5,19.1,8.9,119.5,99.9,0.62,-1.47,172,14
2017,6,26.4,14.3,91.5,69.7,0.94,-0.91,235.4,20.35
2017,7,28,16.7,168.8,95.8,0.92,2.89,219.2,22.35
2017,8,27.7,16.1,56.5,47.8,0.94,2.78,217.9,21.9
2017,9,24.8,13.8,75,39.5,0.68,2.45,157.5,19.3
2017,10,21.8,9.6,147.2,99.9,0.63,2.78,113.4,15.7
2017,11,11.8,0.7,71.2,99.9,0.39,2.26,75.7,6.25
2017,12,2.8,-5.7,72.2,99.9,0.21,1.99,61.8,-1.4500000000000002
2018,1,2.4,-7.6,110.8,99.9,0.18,2.03,68,-2.5999999999999996
2018,2,8.6,-2.3,120.2,99.9,0.29,1.84,91.5,3.15
2018,3,6.7,-1.7,170.8,99.9,0.29,2.47,132.9,2.5
2018,4,12.8,1.6,122.4,99.9,0.47,2.68,173.3,7.2
2018,5,23.5,10.5,69.4,64.2,0.85,2.18,221.4,17
2018,6,25.2,13.8,86,40.9,0.9,1.94,229.2,19.5
2018,7,30,18.5,102.3,27.1,1.09,1.87,250.9,24.25
2018,8,30,19.6,119.9,23.5,0.93,1.96,202.5,24.8
2018,9,24.7,14.6,146.5,77.7,0.61,2.56,133.2,19.65
2018,10,17.2,6.2,131.9,99.9,0.46,3,93.5,11.7
2018,11,9.6,0.5,204.3,99.9,0.32,4.36,63.2,5.05
2018,12,6.3,-3,70.4,99.9,0.27,3.56,66.5,1.65
2019,1,3.6,-6.3,118.3,99.9,0.25,3.53,72.4,-1.3499999999999999
2019,2,4.8,-4.8,93.6,99.9,0.31,3.21,105.7,0
2019,3,7.9,-2.5,81.2,99.9,0.36,2.37,162.3,2.7
2019,4,14.9,4.3,144.8,99.9,0.51,2.9,169.5,9.6
2019,5,19.3,8.4,102.4,95.2,0.66,2.96,191.5,13.850000000000001
2019,6,25.1,14,132.5,98.5,0.84,3.62,222,19.55
