treeid,year,spp,site,plot,replicate,lengthCM,sampleType,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,provenance.lat,provenance.long,BAI,pgsGDD5,pgsGDD10,fgsGDD10,fullGDD,pgsGSL,pgsGDDAVG,idyear,latbi
ALNINC_GR11_P1,2018,ALNINC,GR,11,P1,0.5977466666666666,cookies,107,NA,124,NA,NA,NA,NA,274,297,44.794942,-71.146683,185.99407410744394,2338.9111111111106,1605.816666666667,1701.5083333333332,2950.9972222222204,150,2467.5999999999995,ALNINC_GR11_P1_2018,Alnus incana
ALNINC_GR11_P1,2019,ALNINC,GR,11,P1,0.43688000000000005,cookies,NA,NA,115,NA,NA,NA,NA,249,245,44.794942,-71.146683,281.1186069634032,1932.7944444444447,1310.3500000000001,1274.6194444444448,2826.3750000000005,134,2235.227777777778,ALNINC_GR11_P1_2019,Alnus incana
ALNINC_GR11_P1,2020,ALNINC,GR,11,P1,0.21928666666666669,cookies,91,NA,154,NA,NA,NA,268,268,241,44.794942,-71.146683,184.6583931925429,1954.11111111111,1397.1111111111104,1173.5833333333335,3024.833333333331,114,2397.6388888888873,ALNINC_GR11_P1_2020,Alnus incana
ALNINC_GR11_P15,2018,ALNINC,GR,11,P15,0.4512733333333333,cookies,103,NA,124,NA,NA,NA,NA,268,NA,44.794942,-71.146683,63.97958875073858,2269.494444444444,1564.927777777778,NA,2950.9972222222204,144,2467.5999999999995,ALNINC_GR11_P15_2018,Alnus incana
ALNINC_GR11_P15,2019,ALNINC,GR,11,P15,0.37084,cookies,93,NA,119,NA,NA,NA,NA,263,240,44.794942,-71.146683,149.03550619204452,2077.855555555556,1404.7222222222222,1216.8472222222226,2826.3750000000005,144,2229.7861111111115,ALNINC_GR11_P15_2019,Alnus incana
ALNINC_GR11_P15,2020,ALNINC,GR,11,P15,0.2726266666666667,cookies,NA,119,143,NA,NA,NA,NA,282,263,44.794942,-71.146683,165.06908205063365,2249.36111111111,1586.7499999999995,1452.9999999999995,3024.833333333331,139,2481.333333333332,ALNINC_GR11_P15_2020,Alnus incana
ALNINC_GR11A_P3,2018,ALNINC,GR,11,P3,0.5274733333333333,cookies,103,NA,124,NA,NA,NA,NA,274,304,44.794942,-71.146683,151.6372801947172,2338.9111111111106,1605.816666666667,1705.9805555555554,2950.9972222222204,150,2467.5999999999995,ALNINC_GR11A_P3_2018,Alnus incana
ALNINC_GR11A_P3,2019,ALNINC,GR,11,P3,0.43518666666666667,cookies,NA,NA,112,NA,NA,NA,NA,274,240,44.794942,-71.146683,264.4715772501201,2267.730555555556,1518.925,1230.1222222222225,2826.3750000000005,162,2243.0611111111116,ALNINC_GR11A_P3_2019,Alnus incana
ALNINC_GR11A_P3,2020,ALNINC,GR,11,P3,0.24722666666666668,cookies,85,NA,154,NA,NA,NA,275,282,293,44.794942,-71.146683,208.67700331173646,2120.61111111111,1503.0555555555552,1548.6666666666663,3024.833333333331,128,2397.6388888888873,ALNINC_GR11A_P3_2020,Alnus incana
ALNINC_GR11B_P3,2018,ALNINC,GR,11,P3,0.7806266666666667,cookiesUnconfident,103,NA,124,NA,NA,NA,NA,274,NA,44.794942,-71.146683,280.95105569031506,2338.9111111111106,1605.816666666667,NA,2950.9972222222204,150,2467.5999999999995,ALNINC_GR11B_P3_2018,Alnus incana
