"","id","species","site","ind","Plot","cookie.","core","cookiescaned","corescanned","note","idfull"
"22","ALNINC_GR1","ALNINC","GR","1",3,NA,NA,NA,NA,NA,"ALNINC_GR1_P3"
"23","ALNINC_GR1","ALNINC","GR","1",5,NA,NA,NA,NA,NA,"ALNINC_GR1_P5"
"24","ALNINC_GR11","ALNINC","GR","11",1,"1",NA,NA,NA,NA,"ALNINC_GR11_P1"
"25","ALNINC_GR11","ALNINC","GR","11",15,"1",NA,NA,NA,NA,"ALNINC_GR11_P15"
"26","ALNINC_GR11","ALNINC","GR","11",3,NA,NA,NA,NA,NA,"ALNINC_GR11_P3"
"27","ALNINC_GR11A","ALNINC","GR","11A",3,"1",NA,NA,NA,NA,"ALNINC_GR11A_P3"
"28","ALNINC_GR11B","ALNINC","GR","11B",3,"1",NA,NA,NA,NA,"ALNINC_GR11B_P3"
"29","ALNINC_GR8","ALNINC","GR","8",3,"1",NA,NA,NA,NA,"ALNINC_GR8_P3"
"30","ALNINC_GR8","ALNINC","GR","8",16,"1",NA,NA,NA,NA,"ALNINC_GR8_P16"
"31","ALNINC_GR8A","ALNINC","GR","8A",5,"1",NA,NA,NA,NA,"ALNINC_GR8A_P5"
"32","ALNINC_GR8B","ALNINC","GR","8B",5,"1","1",NA,NA,NA,"ALNINC_GR8B_P5"
"33","ALNINC_HF1","ALNINC","HF","1",1,"1",NA,NA,NA,NA,"ALNINC_HF1_P1"
"34","ALNINC_HF1","ALNINC","HF","1",16,NA,NA,NA,NA,NA,"ALNINC_HF1_P16"
"35","ALNINC_HF2","ALNINC","HF","2",1,"1",NA,NA,NA,NA,"ALNINC_HF2_P1"
"36","ALNINC_HF5","ALNINC","HF","5",6,"1",NA,NA,NA,NA,"ALNINC_HF5_P6"
"37","ALNINC_HF8","ALNINC","HF","8",12,NA,"1",NA,NA,NA,"ALNINC_HF8_P12"
"38","ALNINC_HF9","ALNINC","HF","9",2,"1",NA,NA,NA,NA,"ALNINC_HF9_P2"
"39","ALNINC_HF9","ALNINC","HF","9",6,"0","1",NA,NA,NA,"ALNINC_HF9_P6"
"40","ALNINC_HF9","ALNINC","HF","9",9,NA,NA,NA,NA,NA,"ALNINC_HF9_P9"
"41","ALNINC_HF9","ALNINC","HF","9",15,"1",NA,NA,NA,NA,"ALNINC_HF9_P15"
"42","ALNINC_SH1","ALNINC","SH","1",1,"1",NA,NA,NA,NA,"ALNINC_SH1_P1"
"43","ALNINC_SH1","ALNINC","SH","1",12,"1","1",NA,NA,NA,"ALNINC_SH1_P12"
"44","ALNINC_SH3","ALNINC","SH","3",16,"1",NA,NA,NA,NA,"ALNINC_SH3_P16"
"45","ALNINC_SH4","ALNINC","SH","4",2,"1",NA,NA,NA,NA,"ALNINC_SH4_P2"
"46","ALNINC_SH4","ALNINC","SH","4",15,"1",NA,NA,NA,NA,"ALNINC_SH4_P15"
"47","ALNINC_SH5","ALNINC","SH","5",2,"1",NA,NA,NA,NA,"ALNINC_SH5_P2"
"48","ALNINC_SH5","ALNINC","SH","5",3,"1",NA,NA,NA,NA,"ALNINC_SH5_P3"
"49","ALNINC_SH5","ALNINC","SH","5",5,NA,NA,NA,NA,NA,"ALNINC_SH5_P5"
"50","ALNINC_SH6","ALNINC","SH","6",5,NA,"1",NA,NA,NA,"ALNINC_SH6_P5"
"51","ALNINC_SH8","ALNINC","SH","8",9,NA,NA,NA,NA,NA,"ALNINC_SH8_P9"
"52","ALNINC_WM1","ALNINC","WM","1",1,"1",NA,NA,NA,NA,"ALNINC_WM1_P1"
"53","ALNINC_WM2A","ALNINC","WM","2A",1,"1",NA,NA,NA,NA,"ALNINC_WM2A_P1"
"54","ALNINC_WM2B","ALNINC","WM","2B",1,"1",NA,NA,NA,NA,"ALNINC_WM2B_P1"
"55","ALNINC_WM5","ALNINC","WM","5",1,"1",NA,"yes",NA,"bad. Do again","ALNINC_WM5_P1"
"56","ALNINC_WM5A","ALNINC","WM","5A",2,NA,NA,NA,NA,NA,"ALNINC_WM5A_P2"
"57","ALNINC_WM5A","ALNINC","WM","5A",16,"1",NA,NA,NA,NA,"ALNINC_WM5A_P16"
"58","ALNINC_WM5B","ALNINC","WM","5B",2,"1",NA,NA,NA,NA,"ALNINC_WM5B_P2"
"59","ALNINC_WM5B","ALNINC","WM","5B",16,"1",NA,NA,NA,NA,"ALNINC_WM5B_P16"
"60","ALNINC_WM5B","ALNINC","WM","5B",1,NA,NA,NA,NA,NA,"ALNINC_WM5B_P1"
"87","BETALL_GR1","BETALL","GR","1",3,NA,NA,NA,NA,NA,"BETALL_GR1_P3"
"88","BETALL_GR12","BETALL","GR","12",1,"1","1",NA,NA,NA,"BETALL_GR12_P1"
"89","BETALL_GR12","BETALL","GR","12",3,"1",NA,"yes",NA,"bad. Do again","BETALL_GR12_P3"
"90","BETALL_GR13","BETALL","GR","13",1,"1","1","yes",NA,"ok","BETALL_GR13_P1"
"91","BETALL_GR13","BETALL","GR","13",2,"1","1",NA,NA,NA,"BETALL_GR13_P2"
"92","BETALL_GR13","BETALL","GR","13",15,"1",NA,NA,NA,NA,"BETALL_GR13_P15"
"93","BETALL_GR14","BETALL","GR","14",15,"1",NA,NA,NA,NA,"BETALL_GR14_P15"
"94","BETALL_GR14","BETALL","GR","14",16,NA,NA,NA,NA,NA,"BETALL_GR14_P16"
"95","BETALL_GR9","BETALL","GR","9",3,"1","1","1",NA,NA,"BETALL_GR9_P3"
"96","BETALL_SH2","BETALL","SH","2",6,"1","1","yes",NA,"ok","BETALL_SH2_P6"
"97","BETALL_SH4","BETALL","SH","4",3,"1","1",NA,NA,NA,"BETALL_SH4_P3"
"98","BETALL_SH4A","BETALL","SH","4A",9,NA,"1",NA,NA,NA,"BETALL_SH4A_P9"
"99","BETALL_SH4B","BETALL","SH","4B",9,NA,NA,NA,NA,NA,"BETALL_SH4B_P9"
"100","BETALL_SH5","BETALL","SH","5",6,"1",NA,"yes",NA,"ok","BETALL_SH5_P6"
"101","BETALL_SH5","BETALL","SH","5",9,NA,NA,NA,NA,NA,"BETALL_SH5_P9"
"102","BETALL_SH7","BETALL","SH","7",16,NA,NA,NA,NA,NA,"BETALL_SH7_P16"
"103","BETALL_SH9","BETALL","SH","9",6,"1","1",NA,NA,NA,"BETALL_SH9_P6"
"104","BETALL_SH9","BETALL","SH","9",9,NA,"1",NA,NA,NA,"BETALL_SH9_P9"
"105","BETALL_WM8","BETALL","WM","8",1,"1","1",NA,NA,NA,"BETALL_WM8_P1"
"106","BETALL_WM8","BETALL","WM","8",9,NA,"1",NA,NA,NA,"BETALL_WM8_P9"
"107","BETALL_WM8A","BETALL","WM","8A",5,"1","2",NA,NA,NA,"BETALL_WM8A_P5"
"108","BETALL_WM8A","BETALL","WM","8A",12,"1","1",NA,NA,NA,"BETALL_WM8A_P12"
"109","BETALL_WM8B","BETALL","WM","8B",5,"1","1",NA,NA,"writtent 8D, but assumed it was 8D","BETALL_WM8B_P5"
"110","BETALL_WM8B","BETALL","WM","8B",12,"1","1",NA,NA,NA,"BETALL_WM8B_P12"
"111","BETALL_WM9","BETALL","WM","9",5,"1","2",NA,NA,NA,"BETALL_WM9_P5"
"112","BETALL_WM9","BETALL","WM","9",9,NA,NA,NA,NA,NA,"BETALL_WM9_P9"
"113","BETALL_WM9","BETALL","WM","9",16,NA,NA,NA,NA,NA,"BETALL_WM9_P16"
"114","BETPAP_GR5","BETPAP","GR","5",1,NA,NA,NA,NA,NA,"BETPAP_GR5_P1"
"115","BETPAP_GR5A","BETPAP","GR","5A",2,"1",NA,NA,NA,NA,"BETPAP_GR5A_P2"
"116","BETPAP_GR5B","BETPAP","GR","5B",2,"1",NA,NA,NA,NA,"BETPAP_GR5B_P2"
"117","BETPAP_GR8","BETPAP","GR","8",3,NA,NA,NA,NA,NA,"BETPAP_GR8_P3"
"118","BETPAP_GR8","BETPAP","GR","8",5,NA,NA,NA,NA,NA,"BETPAP_GR8_P5"
"119","BETPAP_GR8","BETPAP","GR","8",6,"1",NA,NA,NA,NA,"BETPAP_GR8_P6"
"120","BETPAP_GR8","BETPAP","GR","8",12,NA,NA,NA,NA,NA,"BETPAP_GR8_P12"
"121","BETPAP_GR9","BETPAP","GR","9",9,NA,NA,NA,NA,NA,"BETPAP_GR9_P9"
"122","BETPAP_HF16","BETPAP","HF","16",2,NA,"1",NA,NA,NA,"BETPAP_HF16_P2"
"123","BETPAP_HF16","BETPAP","HF","16",3,"1",NA,NA,NA,NA,"BETPAP_HF16_P3"
"124","BETPAP_HF16","BETPAP","HF","16",5,NA,NA,NA,NA,NA,"BETPAP_HF16_P5"
"125","BETPAP_HF16","BETPAP","HF","16",12,"1","1",NA,NA,NA,"BETPAP_HF16_P12"
"126","BETPAP_HF16A","BETPAP","HF","16A",6,"1","1",NA,NA,NA,"BETPAP_HF16A_P6"
"127","BETPAP_HF16B","BETPAP","HF","16B",6,"1",NA,NA,NA,NA,"BETPAP_HF16B_P6"
"128","BETPAP_SH1A","BETPAP","SH","1A",1,"1","1",NA,NA,NA,"BETPAP_SH1A_P1"
"129","BETPAP_SH1B","BETPAP","SH","1B",1,NA,NA,NA,NA,NA,"BETPAP_SH1B_P1"
"130","BETPOP_GB5","BETPOP","GB","5",1,NA,NA,NA,NA,NA,"BETPOP_GB5_P1"
"131","BETPOP_GR3","BETPOP","GR","3",6,"1",NA,"yes",NA,"ok","BETPOP_GR3_P6"
"132","BETPOP_GR3","BETPOP","GR","3",16,"1","1","yes",NA,"bad. Do again","BETPOP_GR3_P16"
"133","BETPOP_GR5","BETPOP","GR","5",1,"1","1",NA,NA,NA,"BETPOP_GR5_P1"
"134","BETPOP_GR5","BETPOP","GR","5",6,"1","1","yes",NA,"bad. Do again","BETPOP_GR5_P6"
"135","BETPOP_GR5A","BETPOP","GR","5A",3,"1","1",NA,NA,NA,"BETPOP_GR5A_P3"
"136","BETPOP_GR5A","BETPOP","GR","5A",12,"1","1","yes",NA,"bad. Do again","BETPOP_GR5A_P12"
"137","BETPOP_GR5B","BETPOP","GR","5B",3,"1","1","yes",NA,"bad. Do again","BETPOP_GR5B_P3"
"138","BETPOP_GR5B","BETPOP","GR","5B",12,"1","1",NA,NA,NA,"BETPOP_GR5B_P12"
"139","BETPOP_GR5C","BETPOP","GR","5C",12,"1","1",NA,NA,NA,"BETPOP_GR5C_P12"
"140","BETPOP_HF1","BETPOP","HF","1",2,"1","1",NA,NA,NA,"BETPOP_HF1_P2"
"141","BETPOP_HF1","BETPOP","HF","1",3,"1","1",NA,NA,NA,"BETPOP_HF1_P3"
"142","BETPOP_HF16A","BETPOP","HF","16A",6,NA,NA,NA,NA,NA,"BETPOP_HF16A_P6"
"143","BETPOP_HF16A","BETPOP","HF","16A",2,"1",NA,NA,NA,NA,"BETPOP_HF16A_P2"
"144","BETPOP_HF3","BETPOP","HF","3",1,"1","1",NA,NA,NA,"BETPOP_HF3_P1"
"145","BETPOP_HF3A","BETPOP","HF","3A",6,"1",NA,NA,NA,"dupplicate?","BETPOP_HF3A_P6"
"146","BETPOP_HF3B","BETPOP","HF","3B",6,"1","1",NA,NA,NA,"BETPOP_HF3B_P6"
"147","BETPOP_HF4","BETPOP","HF","4",9,"1",NA,NA,NA,NA,"BETPOP_HF4_P9"
"148","BETPOP_HF5","BETPOP","HF","5",2,NA,NA,NA,NA,NA,"BETPOP_HF5_P2"
"149","BETPOP_HF5","BETPOP","HF","5",6,NA,"1",NA,NA,NA,"BETPOP_HF5_P6"
"150","BETPOP_WM7","BETPOP","WM","7",1,"1","1",NA,NA,NA,"BETPOP_WM7_P1"
"151","BETPOP_WM7","BETPOP","WM","7",2,"1","1",NA,NA,NA,"BETPOP_WM7_P2"
"152","BETPOP_WM7","BETPOP","WM","7",3,"1","1",NA,NA,NA,"BETPOP_WM7_P3"
"153","BETPOP_WM7","BETPOP","WM","7",6,"1","1","yes",NA,"bad. Do again","BETPOP_WM7_P6"
"154","BETPOP_WM7","BETPOP","WM","7",9,"1","1",NA,NA,NA,"BETPOP_WM7_P9"
"155","BETPOP_WM7","BETPOP","WM","7",15,"1",NA,NA,NA,NA,"BETPOP_WM7_P15"
"156","BETPOP_WM8","BETPOP","WM","8",15,"1","1","yes",NA,"ok","BETPOP_WM8_P15"
"157","BETPOP_WM8","BETPOP","WM","8",16,"1",NA,"yes",NA,"bad. Do again","BETPOP_WM8_P16"
"158","BETPOP_WM9","BETPOP","WM","9",15,"1",NA,NA,NA,NA,"BETPOP_WM9_P15"
"159","BETPOP_XX","BETPOP","XX",NA,3,"1","1",NA,NA,NA,"BETPOP_XX_P3"
"215","QUERUB_HF9","QUERUB","HF","9",5,NA,NA,NA,NA,"maybe ","QUERUB_HF9_P5"
"216","QUERUB_HF99","QUERUB","HF","99",5,NA,NA,NA,NA,"maybe need to check replicate number","QUERUB_HF99_P5"
"217","QUERUB_WM9","QUERUB","WM","9",9,NA,NA,NA,NA,NA,"QUERUB_WM9_P9"
"218","QUERUB_WM9","QUERUB","WM","9",12,NA,NA,NA,NA,NA,"QUERUB_WM9_P12"
