"year","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","leafcolor","provenance.lat","provenance.long","treeid","spp"
2018,107,NA,124,NA,NA,NA,NA,274,NA,44.794942,-71.146683,"ALNINC_GR1_P3","ALNINC"
2018,103,NA,128,NA,NA,NA,NA,268,NA,44.794942,-71.146683,"ALNINC_GR1_P5","ALNINC"
2018,107,NA,124,NA,NA,NA,NA,274,297,44.794942,-71.146683,"ALNINC_GR11_P1","ALNINC"
2018,103,NA,124,NA,NA,NA,NA,268,NA,44.794942,-71.146683,"ALNINC_GR11_P15","ALNINC"
2018,103,NA,124,NA,NA,NA,NA,274,304,44.794942,-71.146683,"ALNINC_GR11A_P3","ALNINC"
2018,103,NA,124,NA,NA,NA,NA,274,NA,44.794942,-71.146683,"ALNINC_GR11B_P3","ALNINC"
2018,NA,NA,142,NA,NA,NA,NA,246,304,44.794942,-71.146683,"ALNINC_GR8_P16","ALNINC"
2018,107,NA,124,NA,NA,NA,NA,274,297,44.794942,-71.146683,"ALNINC_GR8_P3","ALNINC"
2018,114,NA,124,NA,NA,NA,NA,263,NA,44.794942,-71.146683,"ALNINC_GR8A_P5","ALNINC"
2018,107,NA,124,NA,NA,NA,NA,268,297,44.794942,-71.146683,"ALNINC_GR8B_P5","ALNINC"
2018,114,128,128,89,NA,151,187,297,NA,42.531705,-72.18992,"ALNINC_HF1_P1","ALNINC"
2018,NA,NA,142,NA,NA,NA,NA,263,NA,42.531705,-72.18992,"ALNINC_HF1_P16","ALNINC"
2018,114,NA,124,NA,NA,NA,187,297,NA,42.531705,-72.18992,"ALNINC_HF2_P1","ALNINC"
2018,110,82,128,58,121,151,NA,239,NA,42.531705,-72.18992,"ALNINC_HF5_P6","ALNINC"
2018,110,82,124,58,NA,151,184,274,NA,42.531705,-72.18992,"ALNINC_HF8_P12","ALNINC"
2018,110,82,121,58,NA,151,180,246,NA,42.531705,-72.18992,"ALNINC_HF9_P15","ALNINC"
2018,110,82,128,58,NA,149,180,288,297,42.531705,-72.18992,"ALNINC_HF9_P2","ALNINC"
2018,114,NA,124,NA,NA,NA,NA,263,NA,42.531705,-72.18992,"ALNINC_HF9_P6","ALNINC"
2018,110,96,128,58,89,156,180,268,NA,42.531705,-72.18992,"ALNINC_HF9_P9","ALNINC"
2018,103,NA,124,NA,NA,NA,NA,277,NA,45.932675,-74.02507,"ALNINC_SH1_P1","ALNINC"
2018,110,82,124,NA,58,151,180,263,NA,45.932675,-74.02507,"ALNINC_SH1_P12","ALNINC"
2018,NA,NA,142,NA,NA,NA,NA,274,297,45.932675,-74.02507,"ALNINC_SH3_P16","ALNINC"
2018,110,NA,124,NA,NA,NA,NA,274,297,45.932675,-74.02507,"ALNINC_SH4_P15","ALNINC"
2018,107,82,124,NA,58,149,180,260,297,45.932675,-74.02507,"ALNINC_SH4_P2","ALNINC"
2018,114,NA,124,116,NA,NA,NA,253,NA,45.932675,-74.02507,"ALNINC_SH5_P2","ALNINC"
2018,114,89,124,NA,NA,151,180,274,288,45.932675,-74.02507,"ALNINC_SH5_P3","ALNINC"
2018,107,82,124,NA,58,NA,166,288,NA,45.932675,-74.02507,"ALNINC_SH6_P5","ALNINC"
2018,103,NA,124,NA,NA,NA,NA,263,274,45.932675,-74.02507,"ALNINC_SH8_P9","ALNINC"
2018,114,NA,124,NA,NA,NA,NA,274,297,44.112337,-71.230138,"ALNINC_WM1_P1","ALNINC"
2018,107,NA,124,NA,NA,NA,NA,270,297,44.112337,-71.230138,"ALNINC_WM2A_P1","ALNINC"
2018,103,82,124,58,64,NA,187,288,NA,44.112337,-71.230138,"ALNINC_WM2B_P1","ALNINC"
2018,114,NA,124,NA,NA,NA,NA,281,NA,44.112337,-71.230138,"ALNINC_WM5_P1","ALNINC"
2018,NA,NA,142,NA,NA,NA,NA,288,288,44.112337,-71.230138,"ALNINC_WM5A_P16","ALNINC"
2018,100,82,124,58,64,NA,NA,263,NA,44.112337,-71.230138,"ALNINC_WM5A_P2","ALNINC"
2018,NA,NA,142,NA,NA,NA,NA,263,304,44.112337,-71.230138,"ALNINC_WM5B_P16","ALNINC"
2018,114,NA,128,NA,NA,NA,NA,253,274,44.112337,-71.230138,"ALNINC_WM5B_P2","ALNINC"
2019,100,129,119,NA,NA,155,NA,274,240,44.794942,-71.146683,"ALNINC_GR1_P3","ALNINC"
2019,97,125,119,NA,NA,147,NA,263,240,44.794942,-71.146683,"ALNINC_GR1_P5","ALNINC"
2019,NA,NA,115,NA,NA,NA,NA,249,245,44.794942,-71.146683,"ALNINC_GR11_P1","ALNINC"
2019,93,NA,119,NA,NA,NA,NA,263,240,44.794942,-71.146683,"ALNINC_GR11_P15","ALNINC"
2019,NA,NA,112,NA,NA,NA,NA,274,240,44.794942,-71.146683,"ALNINC_GR11A_P3","ALNINC"
2019,97,100,119,NA,86,214,NA,274,240,44.794942,-71.146683,"ALNINC_GR11B_P3","ALNINC"
2019,97,NA,127,NA,NA,NA,NA,263,240,44.794942,-71.146683,"ALNINC_GR8_P16","ALNINC"
2019,97,123.5,119,NA,NA,150,221,274,240,44.794942,-71.146683,"ALNINC_GR8_P3","ALNINC"
2019,107,103,129,NA,86,211,NA,274,240,44.794942,-71.146683,"ALNINC_GR8A_P5","ALNINC"
2019,97,119.5,119,NA,NA,142,228,263,240,44.794942,-71.146683,"ALNINC_GR8B_P5","ALNINC"
2019,107,122.5,119,NA,86,147,NA,249,249,42.531705,-72.18992,"ALNINC_HF1_P1","ALNINC"
2019,107,100,119,86,NA,168,228,249,232,42.531705,-72.18992,"ALNINC_HF1_P16","ALNINC"
2019,107,125.333333333333,135.5,NA,NA,147,NA,249,263,42.531705,-72.18992,"ALNINC_HF2_P1","ALNINC"
2019,103,124.5,129,NA,NA,147,211,263,240,42.531705,-72.18992,"ALNINC_HF5_P6","ALNINC"
2019,103,127,127,NA,NA,147,221,263,249,42.531705,-72.18992,"ALNINC_HF8_P12","ALNINC"
2019,97,133.333333333333,119,NA,NA,142,211,253,245,42.531705,-72.18992,"ALNINC_HF9_P15","ALNINC"
2019,100,124.5,132,NA,86,147,228,253,240,42.531705,-72.18992,"ALNINC_HF9_P2","ALNINC"
2019,100,121,123,NA,86,147,232,253,240,42.531705,-72.18992,"ALNINC_HF9_P6","ALNINC"
2019,100,125,123,NA,NA,147,218,253,232,42.531705,-72.18992,"ALNINC_HF9_P9","ALNINC"
2019,93,NA,119,NA,NA,NA,NA,274,267,45.932675,-74.02507,"ALNINC_SH1_P1","ALNINC"
2019,103,121,123,74,NA,142,211,263,245,45.932675,-74.02507,"ALNINC_SH1_P12","ALNINC"
