"","ID","doy","bbch","year"
"1","BETPAP_GR_5",58,"",2018
"2","ALNINC_SH_1",58,"",2018
"3","BETPAP_SH_1A",58,"",2018
"4","ALNINC_GR_11",58,"",2018
"5","BETPOP_WM_7",58,"",2018
"6","BETALL_WM_8",58,"",2018
"7","ALNINC_WM_2A",58,"",2018
"8","BETPOP_HF_3",58,"",2018
"9","BETALL_GR_13",58,"",2018
"10","ALNINC_WM_5",58,"",2018
"11","ALNINC_WM_1",58,"",2018
"12","ALNINC_HF_2",58,"",2018
"13","ALNINC_HF_1",58,"",2018
"14","BETALL_GR_12",58,"",2018
"15","BETPOP_GR_5",58,"",2018
"16","BETPAP_SH_1B",58,"",2018
"17","ALNINC_WM_2B",58,"51-M,",2018
"18","ALNINC_SH_4",58,"65-M,",2018
"19","ALNINC_SH_5",58,"",2018
"20","AMECAN_WM_1",58,"THIS IS SPI",2018
"21","BETPAP_GR_5A",58,"",2018
"22","BETALL_GR_13",58,"",2018
"23","ALNINC_WM_5A",58,"51-M,",2018
"24","BETPAP_HF_16",58,"",2018
"25","BETPOP_HF_5",58,"",2018
"26","ACEPEN_HF_12",58,"",2018
"27","BETPOP_WM_7",58,"",2018
"28","ACEPEN_WM_5",58,"",2018
"29","BETPAP_GR_5B",58,"",2018
"30","ALNINC_HF_9",58,"51-M,",2018
"31","BETPOP_HF_1",58,"",2018
"32","AMECAN_GR_10",58,"",2018
"33","ALNINC_WM_5B",58,"",2018
"34","ACEPEN_HF_12",58,"",2018
"35","BETALL_GR_9",58,"",2018
"36","BETPAP_HF_16",58,"",2018
"37","AMECAN_GR_10A",58,"",2018
"38","ALNINC_GR_11A",58,"",2018
"39","BETALL_SH_4",58,"",2018
"40","BETPOP_GR_5A",58,"",2018
"41","BETALL_GR_12",58,"",2018
"42","ALNINC_SH_5",58,"",2018
"43","BETPAP_GR_8",58,"",2018
"44","AMECAN_GR_10B",58,"",2018
"45","BETALL_GR_1",58,"",2018
"46","BETPOP_HF_1",58,"",2018
"47","ALNINC_GR_1",58,"",2018
"48","BETPOP_GR_5B",58,"",2018
"49","ALNINC_GR_8",58,"",2018
"50","ACEPEN_HF_12",58,"",2018
"51","ALNINC_GR_11B",58,"",2018
"52","BETPOP_WM_7",58,"",2018
"53","BETPOPX_X",58,"",2018
"54","VIBCAS_SH_1",58,"",2018
"55","VIBCAS_GR_9",58,"",2018
"56","SPIALB_GR_12",58,"",2018
"57","SPITOM_WM_5A",58,"",2018
"58","SPIALB_WM_2A",58,"",2018
"59","MYRGAL_SH_1A",58,"",2018
"60","AROMEL_WM_2",58,"",2018
"61","AROMEL_WM_7",58,"",2018
"62","SPIALB_SH_9A",58,"",2018
"63","SPITOM_WM_5B",58,"",2018
"64","MYRGAL_SH_2A",58,"",2018
"65","MYRGAL_GR_8A",58,"",2018
"66","SPIALB_HF_1",58,"",2018
"67","SPIALB_WM_2B",58,"",2018
"68","SPITOM_SH_99",58,"",2018
"69","MYRGAL_GR_8B",58,"",2018
"70","SPIALB_HF_4A",58,"",2018
"71","SPITOM_SH_9",58,"",2018
"72","SPITOM_WM_5C",58,"",2018
"73","SPIALB_SH_8",58,"",2018
"74","MYRGAL_SH_1B",58,"",2018
"75","SPIALB_GR_3",58,"",2018
"76","VIBCAS_WM_4",58,"",2018
"77","VIBCAS_GR_12A",58,"",2018
"78","MYRGAL_WM_6A",58,"",2018
"79","AROMEL_WM_15",58,"",2018
"80","SPIALB_SH_4A",58,"",2018
"81","SPIALB_SH_7",58,"",2018
"82","MYRGAL_WM_6B",58,"",2018
"83","SPIALB_GR_7",58,"",2018
"84","SPIALB_SH_4B",58,"",2018
