 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_GR11A_P3_guides.tif:2022,6.274E-6,128.137,79.000,155.667,180.000,0.040
2,ALNINC_GR11A_P3_guides.tif:2021,1.500E-5,137.203,111.128,166.879,-179.621,0.095
3,ALNINC_GR11A_P3_guides.tif:2020,2.155E-5,137.294,110.000,167.000,180.000,0.137
4,ALNINC_GR11A_P3_guides.tif:2019,3.678E-5,132.274,105.217,163.814,-179.923,0.233
5,ALNINC_GR11A_P3_guides.tif:2018,4.013E-5,124.948,99.788,159.659,-179.717,0.255
6,ALNINC_GR11A_P3_guides.tif:2017,1.166E-5,115.732,68.500,149.971,-179.878,0.074
7,ALNINC_GR11A_P3_guides.tif:2022,1.880E-5,106.974,85.068,150.860,57.128,0.119
8,ALNINC_GR11A_P3_guides.tif:2021,3.383E-5,129.278,101.903,161.759,57.709,0.215
9,ALNINC_GR11A_P3_guides.tif:2020,1.436E-5,140.452,115.723,168.372,57.574,0.091
10,ALNINC_GR11A_P3_guides.tif:2019,2.542E-5,140.850,111.178,163.951,57.520,0.161
11,ALNINC_GR11A_P3_guides.tif:2018,2.735E-5,132.718,97.118,162.403,57.521,0.174
12,ALNINC_GR11A_P3_guides.tif:2017,1.133E-5,114.763,67.428,159.442,56.902,0.072
13,ALNINC_GR11A_P3_guides.tif:2022,6.448E-6,122.049,81.333,149.740,-57.291,0.041
14,ALNINC_GR11A_P3_guides.tif:2021,1.523E-5,127.121,107.068,146.174,-57.321,0.097
15,ALNINC_GR11A_P3_guides.tif:2020,1.004E-5,130.365,106.667,164.620,-56.703,0.064
16,ALNINC_GR11A_P3_guides.tif:2019,1.895E-5,128.787,85.182,163.707,-58.019,0.120
17,ALNINC_GR11A_P3_guides.tif:2018,3.065E-5,126.404,98.703,161.817,-57.468,0.194
18,ALNINC_GR11A_P3_guides.tif:2017,1.176E-5,118.365,68.694,172.498,-56.646,0.074
