 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_HF5_P6_guides.tif:2022,1.793E-5,133.750,105.333,169.535,179.683,0.114
2,ALNINC_HF5_P6_guides.tif:2021,3.532E-5,120.016,86.128,156.889,-171.881,0.224
3,ALNINC_HF5_P6_guides.tif:2020,1.577E-5,130.347,88.655,181.187,-167.912,0.100
4,ALNINC_HF5_P6_guides.tif:2019,3.226E-5,133.008,86.743,184.945,-175.189,0.205
5,ALNINC_HF5_P6_guides.tif:2017,5.828E-6,90.050,63.595,132.462,-179.510,0.037
6,ALNINC_HF5_P6_guides.tif:2022,1.649E-5,127.357,78.267,171.766,57.171,0.105
7,ALNINC_HF5_P6_guides.tif:2021,4.717E-5,141.512,85.822,168.976,52.973,0.299
8,ALNINC_HF5_P6_guides.tif:2020,2.383E-5,140.670,93.068,168.306,52.832,0.151
9,ALNINC_HF5_P6_guides.tif:2019,2.827E-5,136.390,71.879,169.344,57.259,0.179
10,ALNINC_HF5_P6_guides.tif:2018,2.914E-5,126.428,85.272,157.891,57.664,0.185
11,ALNINC_HF5_P6_guides.tif:2017,5.679E-6,100.303,68.220,132.593,59.381,0.036
12,ALNINC_HF5_P6_guides.tif:2022,1.302E-5,133.892,85.000,152.291,-56.674,0.083
13,ALNINC_HF5_P6_guides.tif:2021,5.000E-5,142.721,105.252,175.868,-57.319,0.317
14,ALNINC_HF5_P6_guides.tif:2020,2.168E-5,136.634,114.653,166.448,-57.257,0.137
15,ALNINC_HF5_P6_guides.tif:2019,2.500E-5,132.805,85.000,166.616,-56.909,0.159
16,ALNINC_HF5_P6_guides.tif:2018,2.428E-5,133.137,91.953,168.390,-57.237,0.154
17,ALNINC_HF5_P6_guides.tif:2017,5.654E-6,107.006,76.004,157.679,-56.659,0.036
18,ALNINC_HF5_P6_guides.tif:2018,2.854E-5,124.031,81.962,165.093,179.900,0.181
