 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_WM_2A_P1_guides.tif:2022,8.060E-6,116.501,76.401,143.741,178.939,0.051
2,ALNINC_WM_2A_P1_guides.tif:2021,2.706E-5,122.797,85.000,153.431,179.474,0.172
3,ALNINC_WM_2A_P1_guides.tif:2019,3.053E-5,124.280,94.288,159.545,179.814,0.194
4,ALNINC_WM_2A_P1_guides.tif:2018,3.569E-5,121.773,95.598,162.830,-179.920,0.226
5,ALNINC_WM_2A_P1_guides.tif:2017,1.347E-5,108.017,62.459,151.574,-179.577,0.085
6,ALNINC_WM_2A_P1_guides.tif:2022,4.365E-6,114.445,81.910,146.095,57.579,0.028
7,ALNINC_WM_2A_P1_guides.tif:2021,1.255E-5,119.758,87.548,153.457,63.942,0.080
8,ALNINC_WM_2A_P1_guides.tif:2019,2.351E-5,127.283,102.133,159.449,57.687,0.149
9,ALNINC_WM_2A_P1_guides.tif:2018,3.698E-5,127.346,95.991,161.956,57.163,0.235
10,ALNINC_WM_2A_P1_guides.tif:2017,1.471E-5,106.311,73.905,143.471,58.405,0.093
11,ALNINC_WM_2A_P1_guides.tif:2022,1.198E-5,115.710,82.422,150.869,-56.508,0.076
12,ALNINC_WM_2A_P1_guides.tif:2021,3.286E-5,125.171,85.520,162.289,-57.774,0.208
13,ALNINC_WM_2A_P1_guides.tif:2019,4.109E-5,124.351,102.219,154.136,-56.924,0.261
14,ALNINC_WM_2A_P1_guides.tif:2018,4.504E-5,120.952,93.689,150.140,-57.325,0.286
15,ALNINC_WM_2A_P1_guides.tif:2017,1.391E-5,109.140,62.466,155.581,-57.019,0.088
16,ALNINC_WM_2A_P1_guides.tif:Real,0.005,118.497,58.000,170.000,0.000,0.000
17,ALNINC_WM_2A_P1_guides.tif:Real,0.005,130.319,93.000,184.000,0.000,0.000
18,ALNINC_WM_2A_P1_guides.tif:Real,0.005,130.958,93.000,192.000,0.000,0.000
19,ALNINC_WM_2A_P1_guides.tif:Real,0.005,126.794,89.000,182.000,0.000,0.000
20,ALNINC_WM_2A_P1_guides.tif:Real,0.005,119.674,79.000,182.000,0.000,0.000
21,ALNINC_WM_2A_P1_guides.tif:2020,1.029E-5,128.622,103.333,159.000,180.000,0.065
22,ALNINC_WM_2A_P1_guides.tif:2020,6.870E-6,127.364,85.000,161.646,70.123,0.044
23,ALNINC_WM_2A_P1_guides.tif:2020,1.478E-5,99.205,85.000,128.560,-57.218,0.094
