 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_GR13_P15_guides.tif:2022,2.604E-6,125.469,99.333,145.910,178.898,0.016
2,BETALL_GR13_P15_guides.tif:2021,1.272E-5,145.196,114.667,179.333,180.000,0.081
3,BETALL_GR13_P15_guides.tif:2020,1.357E-5,148.063,129.000,175.667,180.000,0.086
4,BETALL_GR13_P15_guides.tif:2019,1.099E-5,143.633,126.333,175.000,180.000,0.070
5,BETALL_GR13_P15_guides.tif:2018,4.124E-5,131.960,84.136,172.789,179.897,0.262
6,BETALL_GR13_P15_guides.tif:2022,7.217E-6,138.293,109.940,177.230,57.407,0.046
7,BETALL_GR13_P15_guides.tif:2021,2.346E-5,139.340,116.319,177.296,57.352,0.149
8,BETALL_GR13_P15_guides.tif:2020,1.419E-5,139.026,114.674,168.125,57.590,0.090
9,BETALL_GR13_P15_guides.tif:2019,9.275E-6,128.489,105.347,173.093,56.821,0.059
10,BETALL_GR13_P15_guides.tif:2018,3.576E-5,120.056,84.758,157.279,57.700,0.227
11,BETALL_GR13_P15_guides.tif:2022,7.911E-6,152.831,96.417,175.995,-56.810,0.050
12,BETALL_GR13_P15_guides.tif:2021,1.964E-5,147.661,128.546,170.244,-57.657,0.125
13,BETALL_GR13_P15_guides.tif:2020,1.014E-5,143.404,122.448,176.473,-57.206,0.064
14,BETALL_GR13_P15_guides.tif:2019,6.423E-6,139.993,122.991,167.450,-56.864,0.041
15,BETALL_GR13_P15_guides.tif:2018,3.239E-5,126.887,84.094,165.126,-56.821,0.205
16,BETALL_GR13_P15_guides.tif:Comment 1,0.004,131.118,72.000,185.000,0.000,0.000
