 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_GR5B_P2_guides.tif:2022,3.497E-6,158.941,145.333,179.333,180.000,0.022
2,BETPAP_GR5B_P2_guides.tif:2021,2.497E-5,157.332,131.484,185.230,-179.886,0.158
3,BETPAP_GR5B_P2_guides.tif:2020,3.043E-5,155.084,124.576,184.322,179.907,0.193
4,BETPAP_GR5B_P2_guides.tif:2019,1.922E-5,147.124,85.582,178.091,179.852,0.122
5,BETPAP_GR5B_P2_guides.tif:2022,2.182E-6,158.693,132.277,172.798,56.310,0.014
6,BETPAP_GR5B_P2_guides.tif:2021,1.012E-5,157.219,141.317,181.244,57.248,0.064
7,BETPAP_GR5B_P2_guides.tif:2020,2.101E-5,158.084,137.768,214.662,57.362,0.133
8,BETPAP_GR5B_P2_guides.tif:2019,1.830E-5,137.111,85.612,173.126,56.741,0.116
9,BETPAP_GR5B_P2_guides.tif:2022,2.207E-6,147.544,100.818,170.576,-41.309,0.014
10,BETPAP_GR5B_P2_guides.tif:2021,7.564E-6,150.897,86.471,184.927,-49.808,0.048
11,BETPAP_GR5B_P2_guides.tif:2020,2.897E-5,147.742,86.400,178.549,-56.964,0.184
12,BETPAP_GR5B_P2_guides.tif:2019,2.026E-5,150.765,85.000,179.195,-59.349,0.129
