 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_HF3A_P6_guides.tif:2022,3.899E-5,137.433,85.866,168.960,-176.826,0.247
2,BETPOP_HF3A_P6_guides.tif:2021,9.573E-6,136.386,86.552,164.903,-175.385,0.061
3,BETPOP_HF3A_P6_guides.tif:2020,3.425E-5,136.801,111.667,176.667,180.000,0.217
4,BETPOP_HF3A_P6_guides.tif:2019,1.572E-5,138.545,111.333,172.000,180.000,0.100
5,BETPOP_HF3A_P6_guides.tif:2018,1.781E-5,146.795,121.146,177.379,-179.760,0.113
6,BETPOP_HF3A_P6_guides.tif:2017,2.473E-5,129.881,82.790,168.224,179.770,0.157
7,BETPOP_HF3A_P6_guides.tif:2022,3.085E-5,125.487,85.000,174.592,57.281,0.196
8,BETPOP_HF3A_P6_guides.tif:2021,1.012E-5,142.238,114.676,172.545,57.248,0.064
9,BETPOP_HF3A_P6_guides.tif:2020,3.145E-5,135.513,91.164,168.028,57.151,0.199
10,BETPOP_HF3A_P6_guides.tif:2019,1.761E-5,145.729,114.066,167.040,57.207,0.112
11,BETPOP_HF3A_P6_guides.tif:2018,1.820E-5,113.433,85.000,167.266,57.133,0.115
12,BETPOP_HF3A_P6_guides.tif:2017,3.110E-5,129.102,66.274,163.698,57.248,0.197
13,BETPOP_HF3A_P6_guides.tif:2022,3.288E-5,134.939,85.032,174.112,-57.449,0.209
14,BETPOP_HF3A_P6_guides.tif:2021,1.017E-5,105.615,85.000,141.797,-57.164,0.064
15,BETPOP_HF3A_P6_guides.tif:2020,3.085E-5,137.514,85.617,174.978,-57.448,0.196
16,BETPOP_HF3A_P6_guides.tif:2019,1.441E-5,133.715,85.714,164.033,-57.597,0.091
17,BETPOP_HF3A_P6_guides.tif:2018,1.932E-5,145.629,116.023,176.451,-57.495,0.122
18,BETPOP_HF3A_P6_guides.tif:2017,2.805E-5,131.693,83.346,162.024,-57.435,0.178
