 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_GR8A_P5_guides.tif:2022,1.116E-5,168.000,88.080,199.628,-169.866,0.071
2,ALNINC_GR8A_P5_guides.tif:2021,2.061E-5,187.570,92.374,224.490,-169.584,0.131
3,ALNINC_GR8A_P5_guides.tif:2020,1.233E-5,186.470,91.299,227.395,-169.778,0.078
4,ALNINC_GR8A_P5_guides.tif:2019,3.226E-5,179.893,147.667,219.333,180.000,0.205
5,ALNINC_GR8A_P5_guides.tif:2018,3.269E-5,137.687,85.069,195.195,-179.782,0.207
6,ALNINC_GR8A_P5_guides.tif:2017,6.870E-6,119.545,83.873,169.024,179.792,0.043
7,ALNINC_GR8A_P5_guides.tif:2022,7.242E-6,170.641,110.447,218.360,57.348,0.046
8,ALNINC_GR8A_P5_guides.tif:2021,1.709E-5,187.381,85.949,225.620,57.765,0.108
9,ALNINC_GR8A_P5_guides.tif:2020,1.138E-5,196.753,167.370,223.348,58.114,0.072
10,ALNINC_GR8A_P5_guides.tif:2019,2.966E-5,185.846,89.710,217.844,60.303,0.188
11,ALNINC_GR8A_P5_guides.tif:2018,4.149E-5,148.673,106.113,201.208,57.355,0.263
12,ALNINC_GR8A_P5_guides.tif:2017,1.056E-5,121.724,85.000,161.202,56.908,0.067
13,ALNINC_GR8A_P5_guides.tif:2022,2.554E-6,156.215,82.000,174.532,-67.467,0.016
14,ALNINC_GR8A_P5_guides.tif:2021,8.606E-6,164.303,85.000,193.899,-64.693,0.055
15,ALNINC_GR8A_P5_guides.tif:2020,9.226E-6,165.079,118.603,188.171,-57.339,0.058
16,ALNINC_GR8A_P5_guides.tif:2019,3.115E-5,158.821,130.263,197.679,-57.298,0.198
17,ALNINC_GR8A_P5_guides.tif:2018,4.499E-5,133.611,85.120,181.983,-57.362,0.286
18,ALNINC_GR8A_P5_guides.tif:2017,8.382E-6,131.905,86.429,183.000,-55.886,0.053
