 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_SH1_P1_guides.tif:2022,8.085E-6,157.959,87.671,191.439,-173.640,0.051
2,ALNINC_SH1_P1_guides.tif:2021,1.892E-5,137.121,85.000,193.953,179.774,0.120
3,ALNINC_SH1_P1_guides.tif:2020,1.262E-5,150.909,122.861,190.535,-179.887,0.080
4,ALNINC_SH1_P1_guides.tif:2019,2.515E-5,160.875,107.640,195.544,-179.887,0.160
5,ALNINC_SH1_P1_guides.tif:2018,3.365E-5,146.600,85.000,206.696,179.831,0.214
6,ALNINC_SH1_P1_guides.tif:2017,1.027E-5,85.046,85.000,95.000,180.000,0.065
7,ALNINC_SH1_P1_guides.tif:2022,6.126E-6,191.721,89.096,235.755,51.921,0.039
8,ALNINC_SH1_P1_guides.tif:2021,2.143E-5,199.351,87.168,234.897,55.666,0.136
9,ALNINC_SH1_P1_guides.tif:2020,1.309E-5,174.305,86.151,217.911,57.787,0.083
10,ALNINC_SH1_P1_guides.tif:2019,2.609E-5,182.870,105.449,235.491,57.278,0.165
11,ALNINC_SH1_P1_guides.tif:2018,3.164E-5,132.116,85.000,198.065,57.170,0.201
12,ALNINC_SH1_P1_guides.tif:2017,1.022E-5,131.544,66.861,173.484,57.005,0.065
13,ALNINC_SH1_P1_guides.tif:2022,7.142E-6,127.323,85.000,188.670,-57.253,0.045
14,ALNINC_SH1_P1_guides.tif:2021,1.922E-5,176.971,123.066,231.380,-57.234,0.122
15,ALNINC_SH1_P1_guides.tif:2019,2.510E-5,169.336,85.000,226.374,-57.112,0.159
16,ALNINC_SH1_P1_guides.tif:2018,3.281E-5,115.643,85.000,183.131,-57.260,0.208
17,ALNINC_SH1_P1_guides.tif:2017,1.183E-5,121.698,64.072,181.497,-57.011,0.075
18,ALNINC_SH1_P1_guides.tif:2020,1.220E-5,157.427,85.247,220.433,-57.475,0.077
